name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Hotel de Nesle;7,8;;102;6e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/de-nesle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=85037103_110610606_0_0_0&highlighted_blocks=85037103_110610606_0_0_0&matching_block_id=85037103_110610606_0_0_0&sr_pri_blocks=85037103_110610606_0_0_0__10200&from=searchresults#hotelTmpl
Verlain;7,8;3.0;103;11e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/verlain.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=5932001_237931770_0_2_0&highlighted_blocks=5932001_237931770_0_2_0&matching_block_id=5932001_237931770_0_2_0&sr_pri_blocks=5932001_237931770_0_2_0__10276&from=searchresults#hotelTmpl
Angleterre Hotel;7,5;1.0;65;18e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/angleterre-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=27035505_341380441_2_2_0&highlighted_blocks=27035505_341380441_2_2_0&matching_block_id=27035505_341380441_2_2_0&sr_pri_blocks=27035505_341380441_2_2_0__6458&from=searchresults#hotelTmpl
Motel One Paris-Porte Dorée;8,8;3.0;108;12e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/motel-one-paris-porte-doree.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=306580402_326766627_2_2_0&highlighted_blocks=306580402_326766627_2_2_0&matching_block_id=306580402_326766627_2_2_0&sr_pri_blocks=306580402_326766627_2_2_0__10776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Simon's Boutique Hôtel - Ice Bar;8,3;3.0;108;18e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/simon-39-s-boutique.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=553076209_258584907_0_2_0&highlighted_blocks=553076209_258584907_0_2_0&matching_block_id=553076209_258584907_0_2_0&sr_pri_blocks=553076209_258584907_0_2_0__10776&from=searchresults#hotelTmpl
Solar Hotel;8,0;2.0;111;14e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/solar.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=145587702_194203858_0_1_0&highlighted_blocks=145587702_194203858_0_1_0&matching_block_id=145587702_194203858_0_1_0&sr_pri_blocks=145587702_194203858_0_1_0__11126&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Victoria;7,4;2.0;110;9e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/victoria-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=27561202_321646255_2_2_0&highlighted_blocks=27561202_321646255_2_2_0&matching_block_id=27561202_321646255_2_2_0&sr_pri_blocks=27561202_321646255_2_2_0__11026&from=searchresults#hotelTmpl
Grand Hôtel du Bel Air;7,5;2.0;87;12e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/grand-du-bel-air.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=160605302_342047927_0_2_0&highlighted_blocks=160605302_342047927_0_2_0&matching_block_id=160605302_342047927_0_2_0&sr_pri_blocks=160605302_342047927_0_2_0__8726&from=searchresults#hotelTmpl
Hotel Americain;8,0;2.0;127;3e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/americain-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=17194003_216688480_0_2_0&highlighted_blocks=17194003_216688480_0_2_0&matching_block_id=17194003_216688480_0_2_0&sr_pri_blocks=17194003_216688480_0_2_0__12740&from=searchresults#hotelTmpl
Hotel des Carmes;8,1;2.0;127;5e arr., Paris;;10-11-2022;10-12-2022;1;0;1;https://www.booking.com/hotel/fr/des-carmes-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=24452ce982793a2cb05517660a830708&aid=304142&ucfs=1&arphpl=1&checkin=2022-10-11&checkout=2022-10-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d9529d0abe010162&srepoch=1649024407&all_sr_blocks=194615401_108239027_0_2_0&highlighted_blocks=194615401_108239027_0_2_0&matching_block_id=194615401_108239027_0_2_0&sr_pri_blocks=194615401_108239027_0_2_0__12726&from=searchresults#hotelTmpl
