name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Crowne Plaza Paris - Republique;7.9;4;212;10 Place De La Republique, 75011, Paris, France;[48.8673446, 2.3653087];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=
Ibis Paris Eiffel Tower Cambronne 15th;7.1;3;139;2, Rue Cambronne, 75015, Paris, France;[48.8472571, 2.3013183];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_ehaQpveujXN6qP1rQ45lF2G0qNw368Bi9ir55bOi0orlypUH3gvvi-K4GZgAEiv4PCMU9.AGpX9dcJTea1YvJw-UcDvsiSfIDVEyFWzcCpnnsYKLFmSh8KHz1fea63vsOm5rl46qwqKW49lsISSWZv-lNXyFqAU1T9lHTQZht1ByDvp.QYYUjZydJwVXVQYeCTNfT4Fa8BCRRPRezlHaUnJiZf5Q6ZBJDdp3OvRtvpQq9N.UxcPoEnNJBEdXkwuNYng1wJYOTgPRNRNyCl.OEHivTPxvayKTO40tMLaRl03IrPEBq1l.NtJZhwQToy8GjvsAGF.dyH2A6VqsJ3aD0KbtDes=
Hotel Mercure Paris Centre Eiffel Tower;7.8;4;183;20, Rue Jean Rey, 75015, Paris, France;[48.8553642, 2.2922576];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_m2Lbjtu2QCJLw42lwtrsichQAJFUq5o9J2sfV99jinq1vWJu9veOV9BFxG2sxCgS2-.3R69aUXnJaKGDWbcHixROHIDNzIePyoRGu1Pn9zdWKsixbmrop3edILpEnJO2TyoadVNDpg31KX74pOaANuSBP9.Q2BgUDV8ALq3T7IIkfBnu0k4h5nDyNTN1XC4zs4D-M4rX7ju3SdYRN8FuxC7h21AraJhPkDx6M-95p1R8nKlIFq2LW3Lvyr9.LcDFd.SxCimqzu1Zz255InUWsim3zj5DY3x9UYnacI04sWs2vR8qP7ir6MbCJqPsJ46ETqZdfAwrFMPqPtwQhmrmkHrYciU=
Hotel Novotel Paris Centre Tour Eiffel;7.4;4;186;61 Quai de Grenelle, 75015, Paris, France;[48.8496595, 2.2837038915934476];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_IPb5T1G7D8zHMLdVfSBZGM5o2SjlI91SlveuujQG9sVwiqVSOTJiehEaDd1x-ks7X8AIQsWeb1I78vVT9SQixfxriD.A4zPZfAZgsreZ0-h3hBrT7aWyfkkScACA11fLs8gnPHptmwFmWmk9kw0HkPdoGu1xPb1tOMZsdN7YA.Gu5ba2vVeK3lqnl81BhQSyA.uJXrogDD6si2b-USiX5xD9bQ17URB11xG-nKAtbyNzfBmREgPV5uWVBGb.DPaFh.qViU6rG8tzNu.mrL7TonuseeF2o0KVQ9TFRqXCfUuFyanem6b6cG.RO0HTc6zd4bkwKaHHbyIRFaVHIFUoqCLAlWuHZA==
Vip Paris Yacht Hotel;8.1;4;140;7, Port de la Rapée, 75012, Paris, France;[48.8406437, 2.3733778];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_tGb8SVr6AmY0mDCmHgnQC4cBzO0DhXV4dWxiN8gbC2EofIWLbSaHTOK0X0gJxM.S7BqogRhs2PV7TNr4o6sfhEHGhVFdnvkiPngn6U.QabKejQySUs9kKn5gygFHSb0DsOUWPUY.hY6ihvpKTDglPMuaq6BMzg==
Hotel Eiffel Trocadero;8.2;4;195;35, rue Benjamin Franklin, 75016, Paris, France;[48.8612886, 2.2863619];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_UhHCLR.otrIy.gkwQNLwcmre2iC0VENDExLBepUbgwUlK4u.jrVlVndZT5Ei.84JATnDolwCehweSpYWTTAXf2N.bvwN1jCXgqDCXpTbcWiSshXpXMXBKSn2iF5NLa1mgZLo8KS40jn29Tl5PDoDxExbmNbzSyPinw==
Mercure Paris la Défense Grande Arche;7.5;4;207;17/20 Esplanade Ch. de Gaulle, 92000, Paris, France;;11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_GpUWghzfXEL6FFmw.J0iWEDHemptRY0AZi1vmHZ6ZxvatIe5EV19av0iBFO-u3ZrtA8LE4.t5oMsHHGiFZy40aW7WaUAWMfpe5yCNUiS0SnhUtWfpNApYOdNejF8HEBoJKntIu4ZqqXP1BzyKLiwERG7hokWsZDoJWWatFcDTbzqLjROXaxU.6UdJzxk2.fAlvasqSzNjlWTfrlmYAaqtVjbDIOtFaLolzRtGqmPQLJuv.WIFDZuHHCdfP7auQra902zxguxU08KoYif.bt5Roq7Fj65yOflo3CroidVXExwVNBjudiwGT.dX6i6z-Nb319gskmb2t8g9YQ.ZySwoDdeGKwEVw==
ibis Styles Paris Nation Porte de Montreuil;7.7;3;118;36 Rue De La Croix Saint Simon, 75020, Paris, France;[48.855097, 2.4094641];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_1jqsZCBn.ydzvezcjaBWUIQ2DJpF15A6xBljpqNuNMO9cIRNPieMq4p9yGBYJpaxCodvr31x6e8CPVT3Hy0EOCzBYdzsmhJS2NdfXZZL4WJ6dygHAap5IaLrfsQSWJH.sPyNtmFbcWxpkx3NrR2KYMHKptL5imN1nj2AJyE6S5CKjM37dIFU1HLKmyxVyaWhtW56sFqIghzFCYy-fDBGJNcvUXdEyvDp036zS9d.vMS7cZB22qK8zDJ8UNU1IWZaN5Qti3gL59jhDWolYJr1HuUv0OoqCVhdTptQg8CbehUe1.6tPZN3-pEY3hGEbojQ695tCBtNAh.ZReLIDnXQYE.pAozaFw==
ibis Styles Paris Bercy Hotel;7.6;3;117;77, rue de Bercy, 75012, Paris, France;[48.8384022, 2.3811331];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_qv1YbaNz9bs0B3aBRjUDHNeaMKmzQj1RJrp3Sqt4IOAvvCSaxkNGC3NMXDaF4xdzB-qxhrmVjklsqXLbAGp6m-uDVYGS0rOGZy.HH9tXIzlK9MVX-hPp3zBqykw1lidfOjZGyAxBvE0Mqt6pyXw3qY9OYdzs0su3Z.PZRa9qPbBEaxbDAjROnmQsUDW008zNUeY7tBUx.VJrqnLfMPL1rg93bMY.vPeEGTEZEf4-FRT-tEsiOQMc27avNyp8H.LhGsZqW0nHfr2iMboRsHCqRCLVD3DdNrKslJOOQxEoQ.8CJaNknSaq6lyEnJU52Y-4hz4aOfR8gqLU.oeo5jR49D2t73E=
Crowne Plaza Paris - Republique;7.9;4;212;10 Place De La Republique, 75011, Paris, France;[48.8673446, 2.3653087];11-04-2022;12-04-2022;1;0;2;https://www.trivago.fr/forward.php?enc=
