name;grade;stars;address;gps;link;prices
Aparthotel Adagio Paris Buttes Chaumont;8,0;3.0;19e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/pvbutteschaumont.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=1&hapos=1&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5178201_243817202_4_2_0&highlighted_blocks=5178201_243817202_4_2_0&matching_block_id=5178201_243817202_4_2_0&sr_pri_blocks=5178201_243817202_4_2_0__17352&from=searchresults#hotelTmpl;
Aparthotel Adagio Paris XV;7,2;3.0;15e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/parisxv.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=2&hapos=2&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5177902_101014732_4_2_0&highlighted_blocks=5177902_101014732_4_2_0&matching_block_id=5177902_101014732_4_2_0&sr_pri_blocks=5177902_101014732_4_2_0__16952&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;
Citadines Les Halles Paris;8,0;4.0;1er arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-les-halles.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=3&hapos=3&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=22001302_204494193_4_2_0&highlighted_blocks=22001302_204494193_4_2_0&matching_block_id=22001302_204494193_4_2_0&sr_pri_blocks=22001302_204494193_4_2_0__26652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;
Citadines Saint-Germain-des-Prés Paris;8,3;4.0;6e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-saint-germain-des-pres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=4&hapos=4&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=66849_204494138_4_2_0&highlighted_blocks=66849_204494138_4_2_0&matching_block_id=66849_204494138_4_2_0&sr_pri_blocks=66849_204494138_4_2_0__31662&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;
Hôtel Vivienne;8,2;;2e arr., Paris;[6.15466, 1.2391666];https://www.booking.com/hotel/fr/vivienne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=5&hapos=5&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=25848605_242690766_2_2_0%2C25848605_242690766_2_2_0&highlighted_blocks=25848605_242690766_2_2_0%2C25848605_242690766_2_2_0&matching_block_id=25848605_242690766_2_2_0&sr_pri_blocks=25848605_242690766_2_2_0__10500%2C25848605_242690766_2_2_0__10500&from=searchresults#hotelTmpl;
Angleterre Hotel;7,5;1.0;18e arr., Paris;[48.8870221, 2.3478318];https://www.booking.com/hotel/fr/angleterre-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=6&hapos=6&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=27035502_341380441_2_2_0%2C27035502_341380441_2_2_0&highlighted_blocks=27035502_341380441_2_2_0%2C27035502_341380441_2_2_0&matching_block_id=27035502_341380441_2_2_0&sr_pri_blocks=27035502_341380441_2_2_0__6636%2C27035502_341380441_2_2_0__6636&from=searchresults#hotelTmpl;
Staycity Aparthotels Gare de l’Est;7,9;3.0;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/passagedubail.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=7&hapos=7&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=21756404_265668902_5_0_0&highlighted_blocks=21756404_265668902_5_0_0&matching_block_id=21756404_265668902_5_0_0&sr_pri_blocks=21756404_265668902_5_0_0__23352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;
Aparthotel Adagio Access Paris La Villette;7,1;3.0;19e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citea-la-villette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=8&hapos=8&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5358807_104616096_4_2_0&highlighted_blocks=5358807_104616096_4_2_0&matching_block_id=5358807_104616096_4_2_0&sr_pri_blocks=5358807_104616096_4_2_0__17452&from=searchresults#hotelTmpl;
Citadines Bastille Gare de Lyon Paris;8,1;3.0;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-paris-bastille-nation.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=9&hapos=9&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5443902_204494376_4_2_0&highlighted_blocks=5443902_204494376_4_2_0&matching_block_id=5443902_204494376_4_2_0&sr_pri_blocks=5443902_204494376_4_2_0__20452&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;
Citadines Didot Montparnasse;7,8;3.0;14e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-didotalesia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=10&hapos=10&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=65780_204494229_4_2_0&highlighted_blocks=65780_204494229_4_2_0&matching_block_id=65780_204494229_4_2_0&sr_pri_blocks=65780_204494229_4_2_0__17752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;
Motel One Paris-Porte Dorée;8,8;3.0;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/motel-one-paris-porte-doree.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=11&hapos=11&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=306580401_326766629_2_2_0%2C306580401_326766629_2_2_0&highlighted_blocks=306580401_326766629_2_2_0%2C306580401_326766629_2_2_0&matching_block_id=306580401_326766629_2_2_0&sr_pri_blocks=306580401_326766629_2_2_0__10776%2C306580401_326766629_2_2_0__10776&from=searchresults#hotelTmpl;
