name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Le Royal Monceau - Raffles Paris;4,6;5.0;1 260 €;37 Avenue Hoche, Paris, Paris, 75008;[48.8757736, 2.3002863];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho177619/le-royal-monceau-raffles-paris-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867106&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212956116&trackingData=AAAAEF5ggwMIaGj2CWzUvQBB8gh3hA7R0UYyDzlrdppu58yl7WiXpigviQHibOR31E1jWlNsxgZVX_7HUem42JYvL75_847xW4j3oTuG_OrASn8soQauc_VjzlhLbi4fGrpzcES54FJFm5jUQqWgYN8wC2o8dovl2RjNnYo1Yllu771o9rBb2vYrIaSdMXt63AeBwFhp0sP9PmAnJj3nGvO6Er3_riYQYbFXyDPA6kJFS0bOcadNPVEaS-HT4SjwLTxkwQXhqI-T3dgeQn2rRF03JhlI8eL8Xe5z1mLfhWqpVDX9-xMRZIEJMBcJh3AGe9pOQIQsxcR1uc0PmXrJT-Ma8ibfZCLdSlGf6Nx2wHYyyyavNpx_V33OufdiLlTfjZcHlKjVMkNybmwiS9SCRvjl304TDEXprPsdmZGzsF7A_yHpR5JtFImTIPGT8Mm1XEhgF6obVmauhxLTIgtx6ZUkkZCnV9uajyyrUqCmzlrcnmBEGaMAjgHoj6CK-NDsEtoxJLtuf0pgWOyuTjDPdx3FoFVABc_7ItWl8bo7mwzPJUGd2KitN4InObeDxtZ31wywZKYNn6bmozW4pJ7WhSoOKAE7dv5Y1PmfDYuC_ki3y_JVgKXGI-BPp4C1M86LoS_RYI6etLklc7NhvAO-qcXw85Eiu6bSrFeEp_s5e1GCRtqkO_D72hoAuPHgLLGdCoOppQic8GejbY4oNywX-Y5lBHch5ItMBKE1i8yFyUMp7HBg62JEiFgt0VrP3kPJx5z9-QU4CofXr-yG-qbHnLEztGUZ9LE2tddjj2IXhRCMRkgWTOMhdmSTR0BI7F3TX8G9Fra9xqe1aeAuv8eBBPMcYB862lbeT51nJJnHv84Zgpn26qWPAHaP759158-cqEWeTxKhoDja3UpYKYNk5R74UGXzHPzmPsnhZpdhj28PNZeNy1kvgtk_mibOg-5uYXk7fueY1EXwHo1DQ0DaIChuL38z_1kFna-skWCMoopFe9JuWzqFbs1G7S8cvpnLg2iwOw%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.2%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-30T08%3A11%3A05&sort=RECOMMENDED&top_dp=1260&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316034187&selectedRatePlan=385291157&expediaPropertyId=14582
Hotel Le Mareuil;4,6;4.0;382 €;51 Rue De Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho417512/hotel-le-mareuil-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867106&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=382&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200211268&selectedRatePlan=228006317&expediaPropertyId=1382678
Hôtel Gabriel Paris;4,4;4.0;235 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867107&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=235&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=352387&selectedRatePlan=200939991&expediaPropertyId=2499092
Hotel Des Arts Paris Montmartre;4,5;4.0;154 €;5 Rue Tholoze, Paris, Paris, 75018;[48.8861964, 2.335248];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho207815/hotel-des-arts-paris-montmartre-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867113&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=154&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=43940&selectedRatePlan=207502445&expediaPropertyId=565298
Lautrec Opera;3,5;3.0;192 €;8-10, rue d'Amboise, Paris, 75002;[48.8709361, 2.3394643];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho282303/lautrec-opera-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867106&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957563&sort=RECOMMENDED&top_dp=192&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200653063&selectedRatePlan=383689521&expediaPropertyId=562160
23M Appartments;4,0;0.0;127 €;23 bis, rue des Messageries, Paris, 75010;[48.876137, 2.3508617];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho709699040/23m-appartments-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867106&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=127&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202425536&selectedRatePlan=212336681&expediaPropertyId=22146845
La Belle Ville;4,9;0.0;383 €;349 Rue de Belleville, Paris, Département de Paris, 75019;;04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho2408257568/la-belle-ville-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867110&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952452&sort=RECOMMENDED&top_dp=383&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316130939&selectedRatePlan=385490142&expediaPropertyId=75226799
Grand Hotel Nouvel Opera;3,3;3.0;81 €;152 Avenue Ledru Rollin, Paris, Paris, 75011;[48.8553767, 2.3786616];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho135373/grand-hotel-nouvel-opera-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867106&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953134&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200820365&selectedRatePlan=204125370&expediaPropertyId=64872
Maison Axel Opera;4,4;3.0;143 €;15 Rue De Montyon, Paris, Paris, 75009;[48.8731151, 2.3433356];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho193828/maison-axel-opera-ex-hotel-axel-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867107&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=143&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200816716&selectedRatePlan=204101375&expediaPropertyId=12898
Citadines République Paris;3,9;3.0;218 €;75 Bis, Avenue Parmentier, Paris, Paris, 75011;[48.8611455, 2.3778135];04-11-2023;04-12-2023;2;0;1;https://fr.hotels.com/ho206334/citadines-republique-paris-paris-france/?chkin=2023-04-11&chkout=2023-04-12&x_pwa=1&rfrr=HSR&pwa_ts=1648627867111&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=218&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=210308992&selectedRatePlan=222211617&expediaPropertyId=457360
