name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;141 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAELkmai0Y5GRdvJKs-lNNWcNAlEdJexGQVm3uAe3NA10akIZAHzonQ2mW71iVhoGd4Sb3_MzMfSO_9y3y49_T6ykRSEekYa7MVOBVXBOUL43KxTBrRB2S_z0Qgux_lGHRvS0WU1JGPfslZqj7KL7u0Nv8rIC-yjZzB_hM2H0qjf5_-QLVhZofO0CkEnglJSa3uGg7gr2SgZ9yd9M79LbSATKzueA9ZGAoDEfXPNuuanVYBv9KqnmSi-L5OMF7liCoXnjcDlOzketVFBm8qB8mXlU3uXdfeuuFEk04W1db1wWERZkDX65NsNv8_iJ_kcECxbLjPQqpxD_WYliuBiGNcxKCXsxSGJFeNzb54BxbyUrmOanrnua9s9JCQi-JoEogRQUITSjRhLNRpvl519AavJUs7Fk7po5URQYSKQ-mGZZ0WelMBmPmC9arNNhYWt9dYum-TwMiv4cy6UrXEMMbYWAO3siGw94wohEYNsls4Pif4ZhKRoks4Pm8aj6NxXXAhMIXEoWkj-xkIm8Ng9pt6h5a3Ptj6va9Mxw_zcHGiKmKKmaKw4WSo09t_5Np3gBo8M_SatDuzF6MgTIPLKmO42x5_Utr0fLhrbi4z1s4wxlZs84QH32_T9YvlfLEHudPglB8XWLB5hSR1f6sDgO73FzvnC0y4p1E_iRmiimgtNucyhabhhXfGhHgbDTJqcehW4DXKdmJ4akE5lD8G18ed801uao0S_S-DCe9kJaETBFhKcBXn7lVyKMDWExWyHjczxy2cj7sGZB6_yBzoTKMTfNxVQ0zWnp6PxQ3HPSBcJ2S0E668ze_SnyhRcUqhoBcUfY_6fzNHFhN3XBBYdSfLf9xIyNV4aIZYFOxbkdLH0ifCLJMZgABeyIDGRELeDiBmZqFS-4f_7yMcBJGiQgDlXpt8XACQ2TV0GEYDLXderkkBrZGDm5ewjKZkbukaDHMH8a900R7h906eltiim4cHz1hyfGptFDG_lakqpMqVCTqg2htecko_n522Wz8sFQHsg%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T17%3A17%3A56&sort=RECOMMENDED&top_dp=141&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;93 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEKkkYGHdJOn34E22YHoggKGADyynGTRjTqgEl6OSQq9HuS5ylhFRMffMb3cpeCjXibKpQ92hqlCCNtnVw61F4XB6e71eI_qrPmi4z3XvSn5t3bAjflsZxCQJSPItfvLRW8BgVQ9m8-8b0y8qjdpkOtfLQ_7aWd9UaqSSrCuVchIckFYiwt0xpEsELvvNIRnkCvQ_0khJwy9jcsZIAkIyVtY-mMMNvRo4fCBANnvkNjc7KD4JVpPyPj7zGKACuX_tW5CaV9GEUc088oj-gIwFu6TR_IYfUSKjevOZHWLc1RJAd4Rzfq2VcHG6Vb2d-VCaxW2zRzfwXX5oYOak8OJ8MYYII0ZwVNDf861h4Zg4jBQTyNLKwg31eMbRcm3zNsuUdom6hUOKCvbcibvzdgZ_L1i9AGKLx0wN2vZIngybcsVIEdy59ihGMPgddPesUrV_C7W97sOXKOtKvF2LaJrd1IrwvNjlveyhhhwlvkffHw1dulwPuEzh78Z7emFIjkPVvw9qUT3eXl6LM9RD-FsWfMuVJJZ3vD00SgfVnGvo-PfvRJw_FQ8gQSgi37Y-gsNN-h9g1_lKiMiD0KKUXch2u2SP8TIVYDlz54AS4uDj34tr1Wo8-We3giu2xU7AMQpP7vgSJqAiHfk1l5nxT4cWXgVLF8BekwwcIYQPBY_HTyFS4Ltr22-rHqW6i0KCEzCrszJ3OY1GPkhiJYFq3xL-e8XwE4pOvA6VznXwne7t5o-VbEJS1CQhe9SyBSb2QS67G6FgUb1eQ_AySmWoSStp1TCtTCdX0ndtxTpKGHs6Oz_FCxq2HR2UIul-uBW0Fn2ju1foADwxGmGmZMy1IPG-HZubJXVMcAxcuVKnw-ZO6Lul8Y9KCs9XpYlalyyeeKUeAbEwcBjaZvtR5heyfOH3ZiVwYgUWBHK7NviRKQhIvSIP-cjGspVmtG7tKI8Du33eN56meDdRXvdI7t47mld9Xw4bKre9SLwDhKOkKKed4zCPGpwN210fdG07CrxIv7HkzA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T17%3A17%3A56&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
CADET Residence;4,1;0.0;109 €;7 Rue Cadet, Paris, Paris, 75009;[48.8747685, 2.3427513];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho323230/cadet-residence-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278101&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=109&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201710587&selectedRatePlan=208532397&expediaPropertyId=1633756
Hotel Libertel Gare de l'Est Francais;4,2;3.0;93 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Libertel Gare Du Nord Suede;4,2;3.0;84 €;106 Boulevard Magenta, Paris, Paris, 75010;[48.8780017, 2.3547519];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho126956/libertel-gare-du-nord-suede-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278101&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=84&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201212300&selectedRatePlan=206256353&expediaPropertyId=1872
Holiday Inn Paris - Porte de Clichy, an IHG Hotel;4,0;4.0;117 €;2 Rue Du 8 Mai 1945, Clichy, Hauts-de-Seine, 92110;[48.8977239, 2.3105703];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho264512/holiday-inn-paris-porte-de-clichy-clichy-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAENAaanTSeE-E_qiyNuaU_By1C0FvwApm964dWDUc5bEZHk11lzm7nu_vciBjUEoJ1rbfIX4z9-xJm20fUqkzl93z4JCc6e7UJIslD0JtWD2Uwv9vr8spIQRfA3IM7D3IwUF3y_hxrILZygltuRD_513CbGHwv3ur-VJyRmHAiXPJAQ2SQVuI2Y-SX9xrcE3KH_5lWQbcB0C5Fv0WHHmU6WhKswIBJEWaOnVnNoUJLvaYDsdimr-dJB4EO8xpkKONfvSnJEpdp1fZwW1wJ87hWgnblvqm0KRH4g_8XHvqGdGmsoA0yiPJRY7DNo9VUj4GM-_fvH6-qgLUY6AcbtM0v013tyLnuzotJKbsAtTQT_eLnD3CIotyCr55cbXN5WiV6cldqsi2TLO89pJaKohfUAwLYLfVSCk7sD53ufBlhWF5iGWJBsZcvXNqt5eYFJ5UQhC1GFoMpxKMI6TwCW0YLGjqU_OODc7baOT4UC-_rrVtIMVnWnVqOtYGMUIoT0gbBJhCAYWRFRuIRPDHK7R9_KvncHYbnnAb613vCaG4ga6skNs2zWvEqBYfinuRtQJoqFLtjTDdo8qSPGYMCAkl2AuTUIhLFqQh3JJTj1xPDHo8DlpXcf2LBI2rCSnb65OnenLGCUixEQuDrv1ghd0ODylm7EAr5vAsbG6EeqvM8ERCMNBDOlrb4gGywrHXiUqplSAlhV561jsXtkZI9diCrAPRNYVTfwY4wMqa0oF05up9TAlVt5TAw_03oO56TXlW-ejZ_FZuPmHO6sJl1Es4OQV7WrNZxnludznNnC3hv1I9QOk_ahHep6kUjc-mwviBTpOzDQeRNB7ZkbOSTs322DvqRp8yjvzn9Pm6wAB8nuRXRZhghciGPzNPChzuhrbySf0MA_q74GRmMk-RptgwCCaWpOEtplrgrRD6xpSa3y0CwJ5yUiOsHLf2yuUyHp6DR_9g5tbww3by2ifuiH5f841Vg2z6IRKNtYJoIE6UD40_BTuE_cJLubcGRpZWEWmBHw%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T17%3A17%3A56&sort=RECOMMENDED&top_dp=117&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315915525&selectedRatePlan=385056738&expediaPropertyId=1604695
Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;234 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEK7Js-wCC45g4YOUGLNWI_3zR6YyknBP9U7wsEWOqgdz8GQbRfeF4MMeM3YubvTdTCxITbC6GWTjNTXtHBtFaYAMfX39rL7z1tHP56Gwb7by2MwZr0QmQgR7nzDwWJ3xWVY5INhORUBY57-dWC3UvRk7thuiRpnZQrnTKteQTyLBbNECdCy4aFzvz1OhF3RgISvHoXRRxYtyOPCoOOA_ij20lZ5fU3M45-TyAc2ZXzOOC4Wpwxt6jf0ElNhKprEHZXMZHlBgz0yDmtQuvhnz9ZNth43eiLaHmGpuk14aFs6cAfBIQOmb_gsoFSo543nlwplOlrO8EZpfZj-CdfW1M6HWEWik-3QXUrHX18Aq8qDMej5kqkekGU2F1bdjdk-_fzYrS8a4BV1OQJJK2gp9a06u5l6mjafhkivIGZEYlQmAV56mnWtxvvRIqj2habAZveca_Av_XkV-9p5pNP1ET0hNPeaQ1Kt6YrNpf3tWo5JJ_Uslj-rilkdRKBeAJkX6IftYoU-ShJpcl99_1tGmJuZdeCvbBSnMDIgYNpWlkSIR82CxQ95N7-km67R1oZkWxvnAf6gfIrhMnyZKVnqOFS_eg0HSYo2AeK1W81YCcLqQS2_Tgv_2dzAdygyEYus7C5WfEd6sNWF_Dsvn5MAGEYrroU2XZJTvPpcWgf_cfPsUZAwv0UZ9pO0CkWECaDuEWVbEU1rbyRwgUqlAD2cMiSPCLLUZZez4CSd8ZZtvus_gMePCoMAh1hCNwYms08GdtDBrDiGpt114D9rrW6ZBWF38TrjQYYUmgwNcXcKPOIPVQT4ymB0txSCAy3ALuXfmkbQql-bfDnzn14Vao29WUjgXzHjnLpCPfQXsu0I6tbj-VFpvG5XZbZ-_BtEVgFbbTMa7Wye0SpcIMxourmLhIKBHUyOiHI3wEoQhliEm6iyau0Z4ibZDSFhohoBr8vpcvbPm9RBGKlvg8o-wBB3qT2RjqPP4wkDox5dto9IaPkwHP1WpILke1g_1woRiUr1OXA%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T17%3A17%3A56&sort=RECOMMENDED&top_dp=234&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231873&selectedRatePlan=380855321&expediaPropertyId=17013
Hôtel Victoria Paris;3,5;2.0;81 €;2 bis Cite Bergere, Paris, 75009;[48.8719956, 2.3432857];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho578883/hotel-victoria-paris-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201464150&selectedRatePlan=208119537&expediaPropertyId=14777624
Odalys City Paris Montmartre;4,3;4.0;125 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278097&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=125&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
Hôtel Arotel;3,7;0.0;507 €;74 Bd Edgar Quinet, Paris, Département de Paris, 75014;;12-11-2022;12-12-2022;2;0;1;https://fr.hotels.com/ho2352771904/hotel-arotel-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648574278099&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=507&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315880548&selectedRatePlan=384914231&expediaPropertyId=73492872
