name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Holiday Inn Paris - Porte de Clichy, an IHG Hotel;4,0;4.0;126 €;2 Rue Du 8 Mai 1945, Clichy, Hauts-de-Seine, 92110;[48.8977239, 2.3105703];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho264512/holiday-inn-paris-porte-de-clichy-clichy-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485787&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEOf4tkfrb9nEweB1vJEMCRVNmAnvUIZzlf7ezVYMhvXYICbtHxTHgJSmD-jdQqpOzdLhGJQmcKZt_CKotzrcCSMmYTy2QAXqLeMv-owfg045GBsYwrSERaBzA3od04UEUEC4kYxu92OnY9kqK_MZLb08b_7b94PWnegU7EsP1XAq-8--4J3XAoH_SUfU9KGrqUM_HeFNfbKypHG4UNxck69egF4A37NxJMPcqtqpnBPl_HATipL8eAUQ9tNodzvgMQMP2VW3NM_UfHJXRpivwl8a3tHMCh54SSDeE-mbApBRo6oFxdA87D4irTJKBn5Dj37TZbUwiAqZjUmqn9EUcO1VhLzfGEWux6v6RkymRtYB0C2vPxwdyf8R5NdPUAoQGw47MmRmjpCAihWvndE4e92vGaFApZoCLws-VyVB_FYYjgTXC07qJF7Y1weN_P2OTfriJ-TFbTATtkyfY4hmG21mT8DOJkepoHSQgBT9BK1uJ-05Wk22XePG8Dbv4sts8aG5HO8jB27wZTqmyudZ8DUU_NDYc9dl0h9pP4z7gTKWiGERcJXvjObtJudO7PRq4afcUjAXKsJOestaeVK7XjjbJlVHMEbCW7v2viPt9h6KC02cTzBoGJALdPONeSmAfKvqkmbVpuM_aAxB8xMXw_gfMJ8bbjLODdTffW4RAGYfEv08WmrVKnIIOimkysDpqFddy03eZDD6Z5x5d_CfQPc4Dj4h8n_Hxy00Wftyi5h_FnC_N3EngXAufMrMIwTQV3USlajsFN9tpSdhQcB4Tf5qLK3QGKL73OXtcsfALdhFQN5Q8Ii_7qQy1c5I2pfkMCewGbL2AVBTwpndQx5gpIYdpJTlwLbQEtPJ3Um1bp67ahERdRsMNGVEtoPRzzN2Oe-QS9aOidQeNU13YVvN-Kp_TCJyZFLP4MI806K5LxMf-Ld8Sm0Utj_ZNxJCd68JHSnKRwQNH-abCfPNbrjIKH8biuABmcusIN7QL8h5qqqwMsiUOTmsEyk-eCoaPmnszw%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-29T22%3A21%3A23&sort=RECOMMENDED&top_dp=126&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315915525&selectedRatePlan=385056738&expediaPropertyId=1604695
Disney's Sequoia Lodge;3,9;3.0;122 €;Avenue Robert Schuman, Disneyland Resort Paris, Chessy, Coupvray, Seine-et-Marne, 77400;;01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho230009/disney-s-sequoia-lodge-coupvray-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485787&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEGf0u3S2krBci76WfmhXL3UQSLtxPe9WlO-70olbsiioN9RE8LE1sxu22MqpJAhqj97TVn2FQciX4OjDN1kGY20RNB074HPjpbWJEsPbgIBfh4V1_alIQk79m8zZ91MudrpiSt5mTgIn4Jnwn-zJCWNERCk8_3Nd9ZltZKIbJhgS6-ct3obBDO6HxrIwY-KMPDqARxDOCvZ86q8T7rhaQdBUStd7PkOcFqn0iWUu2p8UQALvC8eMqmJA3llQq1D0owMeU7Qx978QgEeArYLUDfRIYswU4S3u9WKsei-vgOwG0-S-bQbn-taQrh5XK6Edc5f6xMQNYufS7JTwenm1UikFwXlb7Kanq_LmOnPu3PAPnGRO3SPqH75O8zm9cFNwIWlh6R_nNVRpcrTdmPlnc09ttWLnAORITKX0XxyGVuMQcpm7JDVkx-WVMv-T-p1BaFL6hyXziWr2p8EAcxy8J5-9qVU347RertJ4FI3qdz5BlM5voGi2drrQZ4si3S1wZcwHHFC469sbTWLYJXzyBbVxOsjNolLmE8i_pjqLPxufh_jBxp7jDdyYMtvenYHcpXtBguOhs15_XAruMYN0RqvyCi8Vm5Q88UPKipx0S0lCseXbasi7EG18xcZnJIwrLqt_qJDx8_WNJPJ1WCROzc8j3I9DX-NOTFutPg2vcREcscSCFgrAB6CP4svROarfQC-gVRehG43EeZUNrGCTrdRX9D1ZwFBVDyRcLxN2XztHggr1YK2Yy-8fXv678Lfwu2smtpcZkKOL-4dQlZ_sH-Xu5dQjc0HiEGgfNQ4W262KTSq-3ZP7qCh7uIemYvsplzRGPqDJ9BwvloYpQhpO-7n40yEwpx-FPM1d1aCdCpnwLjUiUaaJIcw4cXqmpuYULr-cNcpWbpt6MFXhuekdbMYIbgn8WL-qgbEM3aPDQ1ryOUND4ilpgm9uK0vSrgVfXuwm07LOganVdo20UALRSrDldxHO4WVU9jcqGPfU_gj7fb-I1dja_0ykuOKohBJBdA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-29T22%3A21%3A23&sort=RECOMMENDED&top_dp=122&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202162500&selectedRatePlan=384799947&expediaPropertyId=1102910
Hotel Le Mareuil;4,6;4.0;163 €;51 Rue De Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho417512/hotel-le-mareuil-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485787&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=163&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200211268&selectedRatePlan=228006327&expediaPropertyId=1382678
Hôtel Victoria Paris;3,5;2.0;81 €;2 bis Cite Bergere, Paris, 75009;[48.8719956, 2.3432857];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho578883/hotel-victoria-paris-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485787&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201464150&selectedRatePlan=208119537&expediaPropertyId=14777624
Libertel Canal Saint Martin;4,1;3.0;93 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485791&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Disney's Newport Bay Club;3,9;4.0;177 €;Avenue Robert Schuman, Coupvray, Seine-et-Marne, 77700;[48.8630773, 2.7902574];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho230007/disney-s-newport-bay-club-coupvray-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485791&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEN6BaMJY6S_2dTHwNFHunEpEQARSdHJwugEAsTsx9X7_lMyXh8y0RJ0Yd5WqXgJsLs8OTsv8lAeDwSBsRRKC06Gqht4r6_XaZzII2gl2yXKSs7K8f-psB7qOUHmyYmUpz8v7g9dMDBPJpNWn1ZhoE1lA2F8sNccvvD2PMCp6EbszUkDDDqptpmm2UH7eAefE0XBLSaVAZV-T_bQAuh4MxJ35YmE9gkzncxu3PZFSK_pBR6m4mrwPIXHvY6mh4FTnyzysuAXp5BaGW00vO10vqPJ6ie57_NUji7JQXjp5wRtCDh_XKFGnAY2wSkK-iZ7UMe5jb-YqzehRTF7qTKjpIW5Ha_XzzbyKCRWhul4nb4tHpdXKTql1C2Q5kXgvX2zbjGsVqCKhBXr2gBxWN4SQSvAWvXJQHdO95GcS1geLlQob0C6FF0tDmLytN_baoxnDAuAKU2f_hE4oaT4deaC2bMAb5bOEWMMT3vClBh-XbVkmp66TYSGF7PuWBY968-EsKw0uHdk9aRqwtsiMW3DYBZiznRsowl8LNnCqUCHl86uAWAERbdvZOe2kkp2ewnsdWSCuuORn6buE0zfcNLbkst7O_KKoDMx5OdvgsdW7pLfRM-13_nKiY0xdIvOk4GKiw0wBAfiINTag1eA2D07JYhP4hKlNIY5NNASnfa6ng-hLRkbrk1qRfE-KdbEvuWWwO7f_Lv-DYeYIXiLEsqRP-00ZasCEZhm4R9Rx_pppU1HOo2lkWEs226tYAEHOH_EUf5osRLSt2DNhzKL3Zl_UYBn-W8Y_XaDSTsam_wXaiTDBhMGpa8YuR_2RnaavMVfQJ6FzmmMAzHJU_3uT8z5NVF1Y_QtoiJnAIvBEw1maFMsouJTRJuYts7kjnH0MuUOP3Ga_ZBATNYB6DdOgFMVEmvL3ZeujyTQsq6cdeOP_iG8m3a454BRMvalU7iQBq_SP8jlHUtHsRu57-1myRGZV05cJcNaIbV9iQYPBLpHqIJbLHgyvBwmue00JKDeKYPSDEQ%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T22%3A21%3A23&sort=RECOMMENDED&top_dp=177&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202160552&selectedRatePlan=384800750&expediaPropertyId=1102912
Campanile Paris Est - Pantin;3,9;3.0;84 €;62-64, Avenue Jean-Lolive, Pantin, Seine-Saint-Denis, 93500;[48.8911493, 2.4034084];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho249589/campanile-paris-est-pantin-pantin-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485787&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEPaXu_S5ONhf6oJlQ8OU6xfSoQW9B1yPHHsny2du-70pTOgMivlQhMi2q4w7bDNPPtGmuT1MtSu0feUcuBdiUQZauUwlYAH4CLbU5Nwl7crxPAOupmyII8qVVDxVcoUJQJjxYrZSym3CajuOvIjVYInv3bDpE9NUOc8JXQBtf7hEZVyBs0AePSNpeYlBGghUU6AyJSTkYlXvYsCj7VytKc7Cfj_QQgml59SuL0ScHsMtfV9Dwn8shJjzZ9il1MnCA9xnl48R1bkuJD6pHc1ZShe7I_eIy0rWmEMMLtE6Qr9y--LirWdDC4Y32Yenkn8m5qKweoSJD1VvAgL6inPXTkXwU-_JxKzWOfCCQSEcydSNrRMmoyfFy6izLGZek36OGQma8hmpcQLA5fYfbbUG3dW5xZgyqkJ3O3hB1PJdHtnM79lBpUvQ-J_BZ3MXIU6_4ti1yJHxEMC8iyesJ3IcOqypmmBVhnumyEQbMczfbT44_V_1WRmK1zY1sYg8sQEtEJwAnKLwW2Hcnkl6ONxgNpbR6n0LHHPglKO6jeYV7TmJ8SkCcfxIdKNkbpRt8iOuZwdFu2Wl3S7LlN2EntovsCrsQ0PNibuFHPDX6pcxKxZ9dpyiZcJfKVHCXGlT1UljSzMXUX10yzjmx9ULMxml6m4zoRCva9uAdt7AeUvKDCPnnIRRU3ok7XBua-4oH0AhW6cWLKJ1zsMC235ZoimUAxQwBwQbmoYXXjbP81WNDheRsF1HQayXZ559_LMp6qmHLoeYqklAe72y5wudedORi_BQ9twFvwuzAcMPdtcmgF1LX-48eJDkhVcCkovtF2lxlP_VoPt0-3lIwMXMGuWkguWiEnOoomX-NxszEk9brMbb64EAGl-ZdbaqJLMOLWywmJSKt0w3wWF7zf0NP4NzI1FgHzGqUCl_soBMbf_B27D98uX_8vZzn-rZCW8EiA8pPC9C3B2nTXfg9qTpKeb_bJ5ajEbsl8x7vV8FcSM_-Y1XUu9oiaiMuoNcGxOfRVe8-A%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-29T22%3A21%3A23&sort=RECOMMENDED&top_dp=84&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200230212&selectedRatePlan=384120304&expediaPropertyId=1150135
Hôtel Gabriel Paris;4,4;4.0;189 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485791&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=189&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=352387&selectedRatePlan=200939991&expediaPropertyId=2499092
23M Appartments;4,0;0.0;110 €;23 bis, rue des Messageries, Paris, 75010;[48.876137, 2.3508617];01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho709699040/23m-appartments-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485791&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=110&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202425536&selectedRatePlan=212336681&expediaPropertyId=22146845
easyHotel Paris Charles de Gaulle;4,3;2.0;49 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;01-11-2023;01-12-2023;2;0;1;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648592485792&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=49&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892958&selectedRatePlan=384961106&expediaPropertyId=73212200
