name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;117 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956870&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEPsx_oaAkQZGkaEM1BUCUjAHIVcbX1bXvcpxzu7HOtKxsRurFDfO5RwCBYzzv76mfXj-2kHya0nmX-Tw75x8DwJaDA_c9iXJ1WNR8IJUULpQUGlAFPyZE0aPUtliegHxGR7GikI6K2Zqqnwr0wC0sbuWBf-BKYlhZzxdWpjbjutAiozhlaAkzAmIfj9Y1XDqRq7HN-s7UWCTQ6Uk5UZRwCCNwafo9xB4kkXNcnpZ8Ub3xxe5Prca-jC0kRBAhG25vaUMWHLcRpsGmD_J96SqrKARqU2hkJGEr62EIaxQEyCOPPK8tBQQKQKs62WPNxIHWPP1hMr8NkE8Z1f2UI_r7QtpJylK7TlK02sxKs_b4GGy6hd1QTPLjEfFCRGmDBCsDaLdDhJBkp6hkLjtJh1xQmNQlIBkoQAR6zWGk7oyOV_7BcR3LN3B2S48IqgkZSYF53DerutTTEZ5lDUOMtUL7nIx2Dpd-f4nymwfBoWETm2vbypy_QAvEd3BopUhynanNj58Fho00SH3jUf6GS40lv1vn98_RmfRJ9-WHu2MiJh6n24Wq0A0XrT_SsjuO_F44zEpOs6x8EgZ1lU0xSjyc-D-aGbwj8LuB14FWfhXZzbaq1z77anP3BfmUF7XQ7nFyK00Jn_a0A4rE8AIc4epio-5-gi0F0sv_4ju89_JDECCSMDtEn_DS5dAgi1EzNlxoyK8nPe6hO0qYcpVJXgI1HYQ6_CiW27krxX8HLz-GoG7oPvnBYXtt1oZiH0L8IeQbkDsiW0tXWEiAKjwFFFkNBGqGlOAlXXM2mNE2frXSrITZRNOGpbEO7_ZfHAhsdxDRq1ehOCa0spgU1P_YFOBdqca7gaRzfyg_bBspIHHIKIme3__jeNoQGb4ZDJu_SuZbvR_cE0_cDT2Ba1vkaWZPT3bNaQf3Gt37lstvnyeeZSdiWe-2Izi4KMRMOFkbv2jV882kHwBcdhRiEVuxfNIeAuQXb2VnGUjKJPDYl_vuwAMUx0o9KEngf3iqebSTrFfFQ%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-28T22%3A02%3A35&sort=RECOMMENDED&top_dp=117&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
Holiday Inn Paris Gare De l'Est, an IHG Hotel;3,9;4.0;235 €;5 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8759599, 2.3587689];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho272404/holiday-inn-paris-gare-de-l-est-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956867&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&trackingData=AAAAEK_y8PFrWy2_Mw842TU5Ea3VbaoHbXB6Hlv5q07qsZTAnJSPGxFT6E7Wuz_d9EJSUjqwaIcc1Y0q4o7itoZkCJHPwnGOG5627HYSnQOiM7Liq4pfrO-Lx8_687kwL9QOQ_lQoc89nDsq0y6wPTii7lxFGPV2n2QY3mcYEoM2bIiG3AuaZ-p6BDymr34wjLkxijJRgjNRqSHwhU9Kgj_httgHouURG1MTBOUCZNM20e4sKVS896y-XU5VpRCOtGfXKAObedYLsipOvvX8CntjqarnXmCPgGmDfuhPjcwm1_fiSmwkcbFLivyrTWL90W9Yn3yzpxaKpR1dd_hc3bl4CFzg0CsW0AZn53zkDYz0xnLc26b6IZCxpyZ5CndpFAH_j92gDuSYsSz_MlG2YjoE_Re2vPm5GBOUkQwmf382pF4_3HJfOVYwI7ClUEZz_vvxbpoWYu1yoyLc73_58ye9gLiCg1mHFem0u9eQr4RtfLxjMTA8Z2fVcmwOVBm6MMowaMdmZaFCXjjJ3VJRQyWfGpIla5tdcQ-qOoWfZPtV6r-0TqckyFaNm31mTepLwwZDpxWlTvHjtYZZ2nmrC1HNW6CWDxW5BmP1Xoh6nFTmO3uV-hHfogAtvTeALUJDYsrbGdxzl4IICji-YWaOI51P7729XFXlC109X7v0C8P6dr8I1EczG8E97JFRy08lrwubVhN0fWUsmz4UaqMjS_g2MPOzBNUNQmdPZf1iRnaVTIe6In0m41eyzqZI6qYv5jFFn0leVsItbr-LCDQE38__ppsJ00fTOaPF8wQ-TOS92e88GnA8PekLUiPevoJnySKoww1NcSNCoJzepLaFpPW09KAI0ZyZzxyqiXX19-8rQfvEcGGkcsgWyernXjb8NMrxUsb4w2XUz3aWq6vMnvPVBKCP-vHQlWJB02kjQw3EXZ3jH9fqUL0qR1SG5nBijpgKBfH_UCDK3i1dJzn788f6yWRgxb6k_jKJ5ZHIxPjJbqklF90SC08SIwj9hWBxCJKsmw%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-28T22%3A02%3A35&sort=RECOMMENDED&top_dp=235&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=277566&selectedRatePlan=381005793&expediaPropertyId=517050
Secret de Paris - Hotel & Spa;4,7;4.0;188 €;2 Rue De Parme, Paris, Paris, 75009;[48.8813448, 2.3282384];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho340463/secret-de-paris-hotel-spa-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956867&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=188&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=473628&selectedRatePlan=204916771&expediaPropertyId=3414209
Jeff Hotel Paris;3,2;2.0;72 €;53 Rue Richer, Paris, 75009;[48.874004, 2.3426637];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho592291/jeff-hotel-paris-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956871&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=72&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201518564&selectedRatePlan=207622832&expediaPropertyId=15148116
Hotel Libertel Gare de l'Est Francais;4,2;3.0;129 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956867&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Disney's Newport Bay Club;3,9;4.0;380 €;Avenue Robert Schuman, Coupvray, Seine-et-Marne, 77700;[48.8630773, 2.7902574];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho230007/disney-s-newport-bay-club-coupvray-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956867&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEB7ZPAwvJKrkuYDW09cwqcswXYKu-YGqgbA0uhBOUnMoBX3ud3qukoRErZLhJ_9RkBXBc0qE8iZ-GopTv1uwufQRyKg6zchD2E1mN-F_y6o8H-l2xIX9egIDTFQVABRwSAnJv6p0KRD80Qmm8430eyVdEB5Flc1B0zv0QYWQNChiDzB3cURQQxeEVjomIC9ij6cC0DZvdJneeuFZrE4uOxo2II4QIhqgoeSirPfuHoCxENi-nlxSgvUiu1Ox_hJCXPNyIajuH1oepkTDOVIGyavQBH7IUfWK6h0XTwdnCjvsUhvBVXwiJa-5aLQzm0ifRoFNG20uMIRXe_U3p_3Q39xrjMgQBCwf2569c3VQWwCZ4zBqTU6w5jTyV14l_OeJVob8LazGUNZ4vcXsCw__ZDCqnHlTpWIl_viK55I0hxqR2wRM3ajHmYZV6SbPgjb-PETOqDg2L0SRhhnyjdyC0oMi9gaB1_vXcWTSPPfIZZKAP4fR1UhDZ00J6cvBwCeP_zhyZpVyFSvIimEMeqs5JCOm6sfo0NbZKeyDm2QOMkkpJLtnhWkMgcpv8u9NR1G6iS4A9VfUhGORYcuj9zSWcf0YorAcpRElvMyioobc8U7oT3yYFHX4pmrNhdX-5b1l_ACfPrn5e5e7miXmtyoNPQYHLiSF-IEyTVQ6S4rIhUtLEKF_6oE7OKD6ZViXABdwKQ4WfP48kCvuqL8gt1MN8WKGUk5phxtUcqfj1ZqVBqPYpisGV7o5OB6LqrnlB8bWHjW6UWPTMUfhwA3MtFCeueo2NFUIB_dXwRM66zPiy0jM5YDy7ZGFXuVb8n7uP2hKIsufpvtlb_DiUiVHsADjFINq3RESqtQQKqoaPhiUwHYEBpNBpJsfdRZXHz6nB4hPRgf6upwOLfkK6egRpDVsq7TVNVUQ3JLA2HdKLYoOEQqd7I6oiR4AfvFYbTdsdy6Sz-ZJQbomxyJ36cPBDJeyBEtFoOFqW0B0PMSwee4QEXOQ_QZ5jNOZ0f2uuK1lBum3wj5EyRQ92lw-OEn3t7dj-Fy1UKZSYxMVsJfkPfm9GUNaOR1AgDXSJ_Vboi3H46639A%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-28T22%3A02%3A35&sort=RECOMMENDED&top_dp=380&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202160553&selectedRatePlan=384800898&expediaPropertyId=1102912
Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;234 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956867&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAENZ8sfQM8bOabSmxggtH6_NH8C-DEvTwQnxor2eLLiEIbBU7xG3OwwUFDan3iBWuviw8HIdQpzxF1QyIZdpVFnKNShSH27DbaRM2cMmB65Dda9mQK4LdiLdhgiRIIAhsXHM4rKgjr9NVfugW_ZeG-ejdQUzvHwlcc5FMLlDwD-4ijmRCxuQQ4z5HLy6L3XSefL38GE0F0eZIi22cFOjW2u6zlrnbCN6p7DuPRjc1C9kvUorMcWZW5I_P14rJRWmhwfOYZrp1-9ukevG_RFEfJdVCHG0iy0mS_GAIUe5h4q_X9Bs5s5eJ_pA3mSO5TYTZTe0X1nBFFfYOvX6X4SN8fRhvseNJ7N3LeDoNdHL1FD51GN0vPfSQdUSMLpSWcyBE7QPtDSG7-syq1D-VpkB29iDhrABR2r04EDcFibczoRJuMHZes_Otpmb6R-dADKqSs4CqfkfpBfHGZF8TiJK93t37G402NjosCUTjTT9j-969CqCNR_dcK7CyZjFk4Rtr0ybHZ_R9fe1eb6YsMORxUdN8rn7pts9RcTHTBPFdYVsmNNjCrzeEkRzdZy7LlUlApsv36OKfUl_fivo-ML04-jUWuHRKVWb-SHBVWkJQ3hAcXf-Np-3di0O3MSHmTgPmuCEvjvdyq8ATrVG9eKxVj4mGJN5RwVgXvKhfbc9hvyL3mtCqhFz8L_hjxWDkeECoARH7dAputtAAsRVPrVcVUDy-DpXZVQvh4A6KLDj2Tps_sOHZNVL81rmVeMXxF6hJ0c2i8iTWkJlsXJpJfF-geEHj9Gq4cLy_-BKfOl6FllqubNwIdZdodjjdiEJ0Lz3fzBYXFDtbgIm93Kmbt21LO8R24Xy2n_VkUyh23XcPWtT9REjQH2B0MhYe6T7tiXN0TPPgvhlI0ugHJNCBDxDGeb2n95M59AlcO_Zw-eIDISJD3E_ZNK2LNXebVpMD6IjMkXP_8jFSieQ-yOuzjtDYDe7hcG8P9mROuLUZzuHZmjsJr2MFOrGjol8rs6WaDlLGsg%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-28T22%3A02%3A35&sort=RECOMMENDED&top_dp=234&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231873&selectedRatePlan=380855321&expediaPropertyId=17013
Libertel Canal Saint Martin;4,1;3.0;120 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956870&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=120&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Odalys City Paris Montmartre;4,3;4.0;157 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956870&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=157&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
easyHotel Paris Charles de Gaulle;4,3;2.0;117 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;05-11-2022;05-12-2022;2;0;1;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-05-11&chkout=2022-05-12&x_pwa=1&rfrr=HSR&pwa_ts=1648504956870&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=117&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892958&selectedRatePlan=384961106&expediaPropertyId=73212200
