name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;285 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEJWHb4sZCJ6EyGGJltBJPW9IqtVKNJ3GIwqq4WvpIykT2wtoXf-cpPiw2K6n9g9vQkHcgZfi0GD29Y3RicJUiGY-yIQm1PXRLFthholxKMIf35oY1jOmxSvAc7pxoWHFdixALzBxCW071lKQTKoOxORmbuh8W2H_g_W-eLh3BW0ZF7xAbSZhSyRXTn5lwJpRpCM2iTMB3zaqgvC2sTS9AHl4tChz93OGgfKNDJEArBr6mG8o6w5HbQOWA3cVDvZNvzSlWWMTtJjtksz3Mur8xiCZZ5I5yNuMdxpw7iBkESN5nawlOYIx86LoILq0woM3FwY2M2JcaKtmmjL1AyawNrwYKyvfNNVHXZ9ahPyTjR8xT5rGSR7ayiYz07UfTCOxo1XxkBEXhvGxswgeDHILSKg59H41H7LEToE6kphDiOiyebOfDx2rU5cuHb_bbtcv2BvZEaxviiVZTRGWB0s8YdWJzWL6VC3rmXlEedy6NYNkwSXmKhKsC55JEDq9b2bI5pruYc93WEW6Ri2AYls6waNi_i2kzzDlBCOMpF-7u9ZH6nYUs0llO_wxNA6vpf4YE5au2-azn0FobuGisiLA7PAIDk1y1PjBkJNMVyJJmBc6Pdc4OClktKVmhoNWZTnnCMmBAuSU_BmIvkqXDYwLZCKs8B4uTzWa6TWSCJ5SNp2gcQT6H19mkFPA55Fc3A-sDvlN9znThku4aYd9iHrKO7a2EvLH8mx420FOmxNNRZHvCM78J7xHPg-Qy9vtNiBsUR-iaY0bI1dHOme9L9ohrBGJ3-OqF0tu5FvnITzjYjCDVVJiGZsv-cb2pYLKbgvltMacwUQbGfpiXXNfIDzeA2By2bXtOlWbu1Gfoik9V9iZqJO9CtVRBUlt1ibEUjXbS9KgLHvlCXqO4VylthjnwjvANqsHLc5STWxRruyccTLOpYP7SHFW6OuifAMUoFTIEC5x6MHve7kpdY3sBDcld8sElzev-CEMQUJhNQiSZ9CBOiaASQuohEtuVZC-n81Z4Q%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.2%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T16%3A21%3A58&sort=RECOMMENDED&top_dp=285&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
Hotel Campanile Paris Ouest - Chaville;3,9;3.0;83 €;1 Parvis Robert Schuman, 885 AVENUE ROGER SALENGRO, Chaville, Hauts-de-Seine, 92370;;11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho250341/hotel-campanile-paris-ouest-chaville-chaville-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919885&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEFboCIpypM96UiPPcHc0dDMz4ssvdEefgtFv3Cc4FNv40A2uBVgnMVmKXRDx_eQQ3EzYl60cWAczam8JqFdrsskj5efAb6J5T9daeobmZ3DJT9Y5-zWzSL_5TTmEo_YrEESGwJXlJh41qT9Ga2VOgjKJW0hlTbkUybaD6oR9uOdS-4ccEIb-Tn9_MikdDbNbnp3UJ2ilS7H6OKzhMhnjcs4sSFa9k1xV-JLZdNQnZ1L7bKMRLskLJaG5XObqD1lU5RjyeRv3yAfU04YtuYad2bbXdn7eENa6L2kcEymSU9aGQjobNb2PaAx6z8io4AWsi9f56W8bsLlQRg3nYIFzcjKEPwNyf9nR-Tige1ZxoQ7nER_D7ZgO9bdSAS0q13_SpnaLHJ_U2pUCjGcxCDKirCxgtW-uOl_gZtmctT52fv-P-0yVcAlEX8u5kjpl8yDJY-HTdiYeLoqmEIl3skCdpHk_0XhIn9vrHlE1y3wn9O_Wzog8P7tJcx1nCZ9y3d_yw3WUUMKMCPlyyQe0QktBxifKrtGEeW3TLhLodXs9KfZUQHA97rc9LTOYOEgvlyCHaVXl7dOjk5GhSenwTcjdAMDpIneflM1TCMSQMnzqST1hfFg-ywRZyW3PoqHozBWKvfWc6_oBm3BjaoiGOt58QKkd2M30849W9XKJSCAvNyv4lqFTmLUQvtXL-MDtJb6CnS5bGuSV9s35_FbprDWxfdgK4C7rdsDa04oW2cgI6PcoJVo6dg3-Ch5er89Wvdh140rC338o5O7sbujksLouYfsXfWbayn3Q0NPIuYePzRtkKyqYI77LVckjB6s3oBr0jpXjt3J-ZtuBSU6C1WG92h1oobrZrknoEkc7SMEhbcV2yTg5izje103JsvXirZNftQcaOZgKfL7kCGm8cF0jc1rcXV8IaeQoFjyt63pFKedxiwS2W4jcsfwKSoo4d5Azwo1W2jVDL6mxNB9UqgQEgKd7LM-JiVlqgbAZMP99vCr5uTo2Q7z2q0E69W4kH6GPcQ%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.2%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T16%3A21%3A58&sort=RECOMMENDED&top_dp=83&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201562711&selectedRatePlan=384123111&expediaPropertyId=1177528
Hotel Migny Opera Montmartre;3,3;3.0;313 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=313&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
Hôtel Vacances Bleues Villa Modigliani;4,0;3.0;135 €;13 rue Delambre, Paris, Paris, 75014;[48.8416283, 2.3279666];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho241383/hotel-vacances-bleues-villa-modigliani-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=135&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213005414&selectedRatePlan=240077166&expediaPropertyId=201121
Hôtel Gabriel Paris;4,4;4.0;349 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=349&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;319 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEIxFk1NVdgswgUBRzdtC_HoKznN6WnLCtA0Qa4lPfSI9fUO8nYRtSweOe-ErSqdr_9QLzbrSGjSauYfGQi_tww7RD0ustZmw2CK5XyzBbzrrSP6Qo5fO2OxaaRJtN3_q0A07nfDBNupnE5WjWhLJBhOhrR9LoSqNWfncZUSiLSxGRKw5XE3L3PplteQlNUsE1Zbv_aJzQTPNwPAFOI8L2J8HiLNUO2WmNXSsx449a3AAys6gO__9f1j2iSPRpNgxeAOSsTLcRtjDWemzD-SCUVytYPQ5fArvKj89xYPwnmkfXEiw5qzoElDSLAEV_1a6rMb_36gkBCdsUhujpKIWFZdBuZ-JHq2yl8A4ROMZjqM7GZUoXzfsQ6RZigexkkwyzVZex4wYD1ujVgpGtAB75PEKLG3Ae5fSQ29o1wIVHNdVz0zdgg0Bir55t33i8WliOQ6qX4kL4eEEO2QUDLUEgl6eJ5wwAIFdD71ymx4Gg7sZVdV4AHBjN7rdq74tl8psSZCPhDXeCvR5EI3bZSct1QeeDDNflxuPZ-x7pw3N-atr0LS_n_XouPzsFKymHJ_bt3dj0cZQtQnqLsWk_xqqS9-Up45xhz6TYCrA_kbfU00PkJkAksDe4vRzdhka8izS9_IsvJkM8iYWZHgAspJ7AOaLCbrbVJYDqdxKGyTX_W7MWg7DC7Y6I1IWb_PCXIw9413bT9J2XzbBBZ1Y6JCWrEGSXFxhX7IXPMeATnei0Ejk_PmX1kIGaQHCB57xnV6WhT3RmQmtd57QU0AP1lR_Jc5pDzO5bmP1SonZrz6LYfQf8ijRpOTxhoepPuZRUy5t0KNxTqSMP8h2_B-EPL7Vu8EdGsu1eFR2RG-l6sCBYTh_14etAckWiaZgyraJAFsw0qcI7tqf4GsY_Kji8obci9hQMQknxejI4UQEC7uLJxA3lUNsW2h_TQ2pWN2gBLSIewBYrm-r15_1Liauddk-i1Xfl4pjDk1lWwf5T8f_1UecKvw1jt3zCKns87DjnsnKWg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.2%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T16%3A21%3A58&sort=RECOMMENDED&top_dp=319&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
Campanile Val de France;4,0;3.0;123 €;10 Avenue de la Fosse des Pressoirs, Magny-le-Hongre, Seine-et-Marne, 77700;[48.8711175, 2.8088325658567728];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho241317/campanile-val-de-france-magny-le-hongre-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919885&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEI2AfJ0P1xH3Ti0Mu_iWBHyYTz-TJ_P2DS5DFNrjYpkq8wE1yw_frfAf1niaWO141Ab98B72GlZdQi2WU9GFS7OZhtJgYzIK-IwjFqrPA28OogjW6KoDpIqD64K1K4xItOR7Bq_OuvyQ_tjtE1bhiWCymnQwe-N_c94FNjv09FJZc17f7Tv2fZ-uSXJmbwMfim2_yP1GE5Pv5Ykh6xAWH5G5rMAV4jppBDHDXbJ_lbRr04URINiB3ejI4Si_hjenUkuamxJga7EOjqZwE7Km79sPBWS4nj2aK9ezfoRBi52efvEl8HJpEApyBRapviD73aDxoYOJyaVS0CCTXx28W-dGuCbVmZlhD60NYdheM7HTTKLqmp8iFr8ttKAju--1ox-4erUWzQ_OKdKq8e3x6ri_9qb0wDVo7rgyB2TMPaSCbbxq78cI3-IqECbWEdhgZyjx4kI-FyCT3zyOScg8anoJn9zer5sBV6IDSSC1lJ7g2Etp8MXVEzzR0AxssS6ZLWmJV1b1ZjbHqBwew5YvwZOub5rRkqcaIKZZICUfx39FhZ0mItLP29LykYT_Cb1wx2GXjpPGrk4eKcJ2-B_t6At-rq2upFEJ4ExgUcMj9DtNFJ9GGVtLsKQrnycmQGKJm6kHZ6Jj-kWki6ZULxkf09-3gOHjY7p1IRIyBsaTuU8b-WpIkS2RMcV3yPm5Cpoynyn07g3zsCG3BRs8cLg8EYbmnkldQYOiNKnIGk205ECOsHdBp5OsIchpZ4U3hKAaiiucqV0yYlbQ-Dt93hLIYnXq27I9VvtqCRXaTDjp0yIGM6hkkyghICXYtVOPyyShVxttwgehav_kuJabnU4Bck8wSazSB3TLa8r2KQKWT6pO4uVTNPEDpFxH18rQbeJJ-qbBRRiC6t8hfStRduOOPfOmuyyXxwMWi-JoRFV1BMZqdA5QdGzVJqSB4mHhjjbHQ6sGiWETf4u03Z5PmKrkCfHj7kmI1aAVxkt0KFL2LwqeqF-sGz_0LlRBdHBpsFJnqA%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.2%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T16%3A21%3A58&sort=RECOMMENDED&top_dp=123&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=151220&selectedRatePlan=208579397&expediaPropertyId=1133407
Residhome Paris Opéra;4,1;4.0;271 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=271&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215153954&selectedRatePlan=254255379&expediaPropertyId=1584249
Chabrol Opéra;3,6;3.0;184 €;46 Rue De Chabrol, Paris, Paris, 75010;[48.8771944, 2.3511106];11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho391643/chabrol-opera-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919883&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=184&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200541104&selectedRatePlan=209228217&expediaPropertyId=860317
easyHotel Paris Charles de Gaulle;4,3;2.0;97 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;11-11-2022;11-12-2022;2;2;1;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648570919885&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=97&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892973&selectedRatePlan=384961113&expediaPropertyId=73212200
