name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;211 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636894&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEK4a8LL9xV5KIdTa2oL_mfghU1i44nZJAV0Rw1uDnvb76pkeDkYiis3F5-clWSoTB4l5JNKePIVy78xVxwd8DeMa0KWFYqzQj2DmiAnN7P9f1Vc2pjAiwlTiAYlNWVXeMLg7qe-HtAxXdj5y9Mzbfylhk_Z7OUjEmttGzMn77Oh89W423OcmNYCen3v-40wfPxQhuRdqx6POFRF583zsP-Zf1CpZ9ouToxuimWRRqnOFecR-buuAO6Cz-2B9qnOkjUOVjl7fZjfp8mD9iTSE6izk8RG8M1eh0idFV1qfM12zwruL_-O0spQykvEyQyzLUEijTsh0M5-8ANhkjWBlaXevoWSLlnnJF3qjUgMr2qxHEM2xr_72xTlcAS6QlK-9GVgMxjVvqzTZXVJxmlTjaxjkHcHn8fDQ0CY4dOsa0cXUzZo1dWR-nOGS3im2ojuWNxcqEi7GxlRmW_i8kJA0ymvw-OV9TN-_P0rdq0idj-xemLGoZYQT8NfssRgjsE6CwaEDKz8r7ZCdLgNEcjnUmhfiXBTu2HAfQf85ZiJFnLZoFwlsEHQ2-m3P1ZVyBAEtVmphV7vIgSmUuCXafu-ofPiP97GkWWyiP1MggkyvFPkP7570OgoAhdJ14BBbXihpnTck1rH892fEhQC3qwUUIlEMVyzrMKicKiqVnNjhkqsfm8x79uRdcdBca1E2sOkqQTxKMYY8DUqvuODg-tOjwJZ-e3R3my2lfXQ-GsX0MH3ez4rMLKETiqJrRpjX5cCdoWPIxpSHbCTiyi-wlZx7dHJdbB9bhzfWGANPo62yqZw8iVbQfbl99Qf1Yve9q9q1Gm1AiFKURsKcEQopwcq-zkGbrm5cxXKozcKfO1OikMQv6Ubhug3IEbnxmiLhPLvFLsowE9vSI3fEHq0xBqQjpJ0k-RKRON2JoXMJrQ521hBWTgqDZEGkl-K8KjKkceQ-xBj5RRkvyyIUEDie41NA8P1C2guVn-jPVCfeLrjvyGRMNTR4J1ey8y-lDiECePVj_Q%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T15%3A10%3A35&sort=RECOMMENDED&top_dp=211&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315755176&selectedRatePlan=384519200&expediaPropertyId=1845330
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;336 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636894&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAELm242mPxRNKOwIETqB11i2D25F2hNYQAsYOqzR0FbUzST8gb4ckLIGukJZTzFoVmPE5rq3sYId8gX6-LOIieL7lDsXGivgNBbPXmyrhwwIkTDnHjNcBGL9bdoOzlDlDsl9vtMV60qv1wxg0gDpvqSzTYgw1U648XTZEcQ6RnTRyXuAkL0orTSqJfvAxC5i86_FB_PsCVNz--jZ4Ik9V9Col3hyYMpS7FbDDKYqftXohnC97Bs2LDJE5Pp1wr4V_FApcyYsVq7KzFiQ6zjXPwlWQShz-EFj0wUMh44Seg_JXJ0OVW_9HN1_czQmd2u9G-SBIPT54RlattwtUQPAoAK-pQqkY2kf8BQqZhkSHd2j-4axrPGvX6ZVTawLOrqnpEcrxONLZKMZAQB22FmK9qfjzVa6YYvw26EGV02IVayoAzoQfF6_A7Y2iClgJkQCqmE62zzHdvdaQ4ppRUXZl9QTuExKdvOJWPPLfrxxwuNFndVDsF0CmSZ5pFPz6axtiNWJGUmeGEFUwr5kEvrrP2F6igJbVDEGfoSfGkhWFBuGGWamD8sXYbsJKEk5-3BCRLbEZ4iZSK9CZ64khhjjIS3AalLJisHI9VeDhSz-1dNxc-iTlXf9ZV8Jh5ZXc1fA0wrGLTlOuQ7il0yi6qC-hoUUV05dgDSIVu6Iry-R8U7Uckzj72endovYUWuhySz51YcXUl5d3QRtYyJPHhCWUnsM67ulprsFdEHvyKzo5535ArlBlahdRo6OPNrm9PD9N60PuDpATwkRrkqiznnxCuwsLG17TsTx71QTkv-zB1SwPV5M9ng_kM6yLKnScNZlROmEJagMXR6T74WVwU40GT5iE8m7nQbOrJNlzIsgUbbNivQ-X_cCCF5DVZOxw9mP7-lY2FrcRBliIsSkrszeun_S2AldPYwmBN17llPZGleyE6BWqo4QpuIlEDd_p_SLj9NHUiHh78GltB1fmXdPsKzofZp1tAhYKVFBcgMoyGt2PGLbpmEQFDGtiLQ6T9FYs-w%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T15%3A10%3A35&sort=RECOMMENDED&top_dp=336&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
Hotel Migny Opera Montmartre;3,3;3.0;313 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636892&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=313&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
Hôtel Vacances Bleues Villa Modigliani;4,0;3.0;170 €;13 rue Delambre, Paris, Paris, 75014;[48.8416283, 2.3279666];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho241383/hotel-vacances-bleues-villa-modigliani-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636896&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=170&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213005414&selectedRatePlan=240077166&expediaPropertyId=201121
Chabrol Opéra;3,6;3.0;184 €;46 Rue De Chabrol, Paris, Paris, 75010;[48.8771944, 2.3511106];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho391643/chabrol-opera-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636892&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=184&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200541104&selectedRatePlan=209228217&expediaPropertyId=860317
Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;319 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636894&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEKS9kee7oiyqorezu4ZX4VyuQ-VZEWtlrJFQXx7rL6pHEsIKuHfq5iMLCQFwspaq8nkTk4GW_NG9WtSOcUm1SvNBJhT4lm5VRL6bR3zJbvNdAeH18AZgC-9GGb3rm5JUI07yFgb5Muu1_aQgAugPHebqoamOujHQUzWC_RhumL24E4FmmVwVcvAq4DI66Oh2LSd8rcL3uVlaN_jtLawQ0RREFJ5LEqElqSF9gFqUW7C9wUMI9WEL7O1Xhx4GZD-CVcQRv3lWZV06KAbjxz5DiwcTG4qIfsxTym-_ThIGB2bhxDLzhXu2yjzzm5kpWjgPkjiNJ06qcDaW4MBNKSs8AFvQCRo4j4EfDZzgS7t72cq9KqT0se8lH3IHYHzw-e0onsTg_FQSLTFNYkdKmRcVkTKwTfG8q9xHwOyUrSiwvMQzI3HzWtqHhYA_cG4mVcVKL4IX-oRAB6i1KDQW2hLPdhJwPVnYc00MXWZyosi89sQxNaMXqAy1FerzAh9SXPZeSmnbdQSBxhkS3SXmEl2qRirNXL-avIAC3h04RYzPpcIVpCjg_7YmFdP7dJGg1bkDrVO5dVp35LmfoWbFl5ZncEDP9Rvaeg38dDRWd2HPLwbjcrgvsXUMnDZMAS8toTMEbC8XR5Ggf28qcFFGOtKX4g9Ao--3RdA3sr9v0fNMrx4HJQATIWLkBndnb59e7Cl-o3MuKOkxVLL-93CnXw8k4UxpEkdbMm7_SP1_4aYuq-cY6oz26o9UpnJxEJsEqXBJ05pY4MDNxJtSEkP0exHsTmaGFHJTECBFUfRH7O8dny1hFQxYuvviUgdjRcFritqDWdUVQRn-6v2zfA7IIUrHFiqAYNMoEqz4mz-GYlYAuRbFCW3JEWFPtFChBdo0wZQieoTJ2apzfT-qWPwEVZzgioNyBQSpoC2wpj6mPKSoBI6IaXuoGhCidn1e2jXCl3f6vt3y_2oPmdOYCq0Sr0APK97i2FTUlw7606xn70ZIeFQ9myo_493AT_9WalPI4zuVzA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T15%3A10%3A35&sort=RECOMMENDED&top_dp=319&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
Zenitude Relais & Spa - Paris Charles de Gaulle;4,2;4.0;201 €;8 Allee du Verger, Roissy-en-France, 95700;[48.9981835, 2.5150959];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho371971/zenitude-hotel-residences-paris-charles-de-gaulle-roissy-en-france-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636896&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEI9tmJDWE-VxO-E1qmdB1gvHCmnNSuNymLxTfrZ7LzdtKAU4X3n0jGu-lfiRfhg70YIFYeCYsvSqBc_rBLB3Je64wXy3WKCumJU3jRj4_PQrfOlZNAKzXd-xtsN3koSBAHJRdiY5fUafKX-DxR1x3AOq__pV6PpyOL6gDkFUTAsO4FbpHF2MsWaZ3SvizXSwbuLfyuVbxDHhx6aaGqzPnzcDf81tHrPfZsY4miW1As_2dt9pV-7niaBXo0_Itm843oiSggcDg1O0llDGlYCwbov_xsrYW73ghLsqfyCK26x2wXhAq9JsDD-_tmSvc_88aLBcAGQP0pYgjt0n6UhnmILtu7Bp8eX6oz_Br5pXgzFuUKPw5zmCx-boZJcupxEQ3c2sP9aZRYatc5l7D_-a5Il8G0rI8xpbJ5lRRzf54Keihag_i8m4SOWPR_JmP4Inve4t5OcAahX-L5hLMEHHISSlnPNYyyjo2MD-ynLRd7gLlsqZkNgEG859isstdS_AZXtIDe1SU0148OhXxmhKAfo7FFKbJ-8kr6bqu-AiMQ3gePhuS3C3taS92_EwDoAo-rsPAoxDyXEel3jDXBt5m_BKa1WpgjNjCTLKjqrlEZYnC8-v5jcvDfrpguA1_K1esnL6JSO75eX3OVI2enVahyoTWxzaaKxENlqS72-abVavCBboMOrh5uce54QDbA0xU8nVJmDfcmFNdeQ6qsPWj8xW9bxJpceLYOk4hwivTDe8z7Q3dqxoDMhgi2m5ZvehK4ZupQ1fXfeihWyCx7FqNVSDSN6PQvgtK9rtjrb4dWC5VYpxwz8YXJcieTe3AwjFzJAFYRXbbY9vNFL0Lbvoq73BYxAZ-8PZy2PNm3lnc9xfK0_evdfQXnWHYMxx5vVlAz9XdXymZ7IanntbeyXs2Y6bPulqsyl1UR-k4oNiSSSuhglD-IA1snsovljFZdzNG8JEG7vA2XEQwhOikJDuriE5ncuhPTBZnu_G7OuuFZ3_xH26BqBTYDpmrfxah1Vu2Q%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T15%3A10%3A35&sort=RECOMMENDED&top_dp=201&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314164610&selectedRatePlan=382578987&expediaPropertyId=4223609
Residhome Paris Opéra;4,1;4.0;331 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636894&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=331&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215153954&selectedRatePlan=254255379&expediaPropertyId=1584249
Hôtel Gabriel Paris;4,4;4.0;441 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636901&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=441&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
PAX HOTEL;4,0;0.0;95 €;7 Rue Simart, Paris, Département de Paris, 75018;;10-11-2022;10-12-2022;2;2;1;https://fr.hotels.com/ho2421176960/pax-hotel-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648566636894&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634834708500&sort=RECOMMENDED&top_dp=95&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316170597&selectedRatePlan=385555293&expediaPropertyId=75630530
