name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Hôtel Cluny Sorbonne;7.6;2;114;8 Rue Victor Cousin, 75005, Paris, France;[48.8479851, 2.3424476];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_JUDNXPjvM95UkLwBn62yBcXXncjP0pQ8HUceV-bKISydUYZ7PJnnV6P1hyJCryeCwwTlk7uP21vqe2QFozhe4NCer65v1KYRTB7taWsN9mkMA0VwzhWG.AACsSNblAhrvN8wf0nbC2s6DXrQHvgRpliw
Hôtel Résidence Montebello;8.6;3;201;18 rue pierre leroux, 75007, Paris, France;[48.8491566, 2.3191172];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_GRC6urkgFf1f3Xgwde89xnF0IiAYXgb0FhrXlfQJuEo34-C6pZNIH2sFtFmRm86z443XQUoxuxp3T.7ZbLOIZgX6ohsaaZOfhnyaYHocPTvfvBykoIDdxACSSxw2OjQE0HSe97QrJ6K160kVFqU1JXzutvXN
Ibis Paris Eiffel Tower Cambronne 15th;7.1;3;121;2, Rue Cambronne, 75015, Paris, France;[48.8472571, 2.3013183];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_cGFe0WkUtYn-aKhiLy4wiTORAQ6bn9FGJOZh3psw-rQfMGp7IwKkKsyZROvzb4ZzELIilygfJ6qBO6YNtAt-6RR6AsWCmB8-0aHQzeU3knMKiTM8Ai7KCza0CPI-h65x0IsF3EYfLOUR.fStAXu6JTvZbVSHvfnHJ.PJQK6HPSCFquD43IqFD0gsGANsBPdsj9W4-Dw-0hlAI9MO4ATtZwdaenFjlLANxrLML4XtqZ-SjO9w.LRQcLl.oHFSA1wdbk7go5XbGgwl8WnI7P3RBzY2Gd3JMtwIVsAxMGQHOrDTLY3nTBNnsHzp4TuNsEiZVEpI5XYBYGewv-X90o.bgO98.SQ=
Ibis Styles Paris Meteor Avenue Ditalie Opening May 2019;8.8;;116;18 20 avenue De La Porte DItalienull, 75013, Paris, France;;05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=
Le Bristol Paris;9.5;5;1 695;112 rue du Faubourg Saint Honoré, 75008, Paris, France;[48.8717179, 2.3148011];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_5wmsX2q7TfuuM4HHHKFk0PwjEChhFQHXp-tJTDjr19ExvKRh2QaqkfIdjdxHNZjhPPYb.KZ-IoDp6tFVlAko9Z2QrjIcB23y4VMlaNS52DlX45r5FL3Mr9h7AVnI6UycMaCg7XhhHv89pfLF8LIhszZk461zSWMBG2eaWLFHNZa5Uz8=
Hotel ibis Paris Avenue d'Italie 13th;7.4;3;126;15 Bis Avenue d'Italie, 75013, Paris, France;[48.8267543, 2.3570898];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_cAPSJziR5XTtdSI51bGt.U1nPKSfIdkYjd9Mu9DF5a2lbaezftvoZRD96o9m5SBjEshFB0dLWPMczw6qfDAcjzWO039TkwZG4lFu-c.sKdCjbmODSp5cVF3WK8TbSynq58k5awOPCqJIU7yjDAHfUPdDJRTNFlwfcADdVj4.0qfIH6CiieEOvCT6Tc4FxUKfsrnf3.rxug9EahQMxndudZg8SmlXBoRxfbKJz21Flnx1ukpgGTU4ka3cp9RztrKeO1i0PA1QYXADYZbE4qQ8cuEfvlqc9XTlE4Ho7jXwr-K2UMb3N5Wd0HuZ6PtKBLn9KCLiqNTAE7kNT-gcyRVPL76E4co=
Hotel Mercure Paris Centre Eiffel Tower;7.8;4;218;20, Rue Jean Rey, 75015, Paris, France;[48.8553642, 2.2922576];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_4wkvFhPwXqSIcf9C5oZ6o5YIldMlpqbzdm6scSauWxE5NBg2de2Abfatjh9bAX8qPaH10Uc7L1rmBsLvxVbecQg0WtHFg2Ctd1uD47URIahmuxsOpzMn-5Nya.uxeIa4HJ09x79SX8bwSAKcJMetNQWdMcpTFWpPSbMDcoCARwmUkq9KWr-Klr9fOJcVX6funb9LALCoTATvpRcwIfU5js5wHWWw2vzp9-XnoJKHOPb-y.Z9.yaMxeWm8D35XotTTPbiG9RS4cj.dMuMYAb9TM3oo7nZ8CqSbDS5Yp7DVDFjT-0jrLegKOrap7CKV13UNfYsLNy1XjzqvsT.-Vo1hZEupjk=
Vip Paris Yacht Hotel;8.1;4;170;7, Port de la Rapée, 75012, Paris, France;[48.8406437, 2.3733778];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_fZm0omAoCgEwbKyw8XMva1UDLf-td6qI2v1xmZ-98CUXwUZ9WUw3vmIG1Hnso2WG0mHjR0V2J.Tn-ejywfkhcNpCBAd-L3Li7w8D1bC6UktAmJ7jS8cionh5h3qD07W3VgPHVqlQFxV5EbtMu9xcQaqGPFOAgg==
L'edmond;8.4;4;211;22 Avenue de Villiers, 75017, Paris, France;[48.8821707, 2.3131889];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_k696QZ7J.UZTDcxFwSSphMxrLHu358cesTVKi2aHRE.-TfkYJJeMXv3gpdHule1C4l1MXNI2wPS5WbaOo7tO8Tq4SdvekbRY-fRvcUcm5TZExk.9G19YFk9SaCV5QBxoK8CNkYIjeZdiaZpIEtgiXG5M
Love A Paris - Adults Only;6.7;;113;88 Rue Saint Denis, 75001, Paris, France;[48.8624107, 2.3495792];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=
Hotel Fertel Maillot;7.4;3;132;269 Boulevard Pereire, 75017, Paris, France;[48.8781397, 2.2852446];05-11-2022;05-12-2022;1;0;2;https://www.trivago.fr/forward.php?enc=_UUjOqG6TaWw.UTMXPVWLE1LAxWJavEviimD3fSDDL1badeoGO7YEUXYTiPelDTQEZuy8cgjx7CJqdCHybx4Nqw3xJFgS89h5CUAQibXX6mq1he.IoGh3c.Jq.NLWY411cWWKA6StbEtyH87ZJl9AsA==
