name;grade;stars;prices;address;gps;start_date;end_date;link
Hotel Korner Eiffel;8,6;2.0;232;15e arr., Paris;[6.1337777, 1.2259398];07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/idealhotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=1&hapos=1&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=5043303_264990422_2_2_0%2C5043302_264990422_2_2_0&highlighted_blocks=5043303_264990422_2_2_0%2C5043302_264990422_2_2_0&matching_block_id=5043303_264990422_2_2_0&sr_pri_blocks=5043303_264990422_2_2_0__11586%2C5043302_264990422_2_2_0__11586&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aparthotel Adagio Paris XV;7,2;3.0;139;15e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/parisxv.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=2&hapos=2&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=5177902_349029563_4_2_0&highlighted_blocks=5177902_349029563_4_2_0&matching_block_id=5177902_349029563_4_2_0&sr_pri_blocks=5177902_349029563_4_2_0__13852&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Belle Ville;9,0;;200;19e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/la-belle-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=3&hapos=3&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=817582902_344316804_2_2_0%2C817582902_344316804_2_2_0&highlighted_blocks=817582902_344316804_2_2_0%2C817582902_344316804_2_2_0&matching_block_id=817582902_344316804_2_2_0&sr_pri_blocks=817582902_344316804_2_2_0__9976%2C817582902_344316804_2_2_0__9976&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lennon Hotel;7,7;2.0;165;10e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/lennon-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=4&hapos=4&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=807528701_342209978_2_2_0%2C807528701_342209978_2_2_0&highlighted_blocks=807528701_342209978_2_2_0%2C807528701_342209978_2_2_0&matching_block_id=807528701_342209978_2_2_0&sr_pri_blocks=807528701_342209978_2_2_0__8226%2C807528701_342209978_2_2_0__8226&from=searchresults#hotelTmpl
Hotel de Flore;8,8;3.0;208;18e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/de-flore-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=5&hapos=5&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=42824405_326720343_0_2_0%2C42824405_326720343_0_2_0&highlighted_blocks=42824405_326720343_0_2_0%2C42824405_326720343_0_2_0&matching_block_id=42824405_326720343_0_2_0&sr_pri_blocks=42824405_326720343_0_2_0__10376%2C42824405_326720343_0_2_0__10376&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aparthotel Adagio Porte de Versailles;7,6;4.0;156;Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/portedeversaille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=6&hapos=6&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=5178010_266278186_4_2_0&highlighted_blocks=5178010_266278186_4_2_0&matching_block_id=5178010_266278186_4_2_0&sr_pri_blocks=5178010_266278186_4_2_0__15552&from=searchresults#hotelTmpl
Hôtel Korner Etoile;8,5;3.0;187;17e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/le-villiers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=7&hapos=7&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=5459203_264988894_2_2_0%2C5459203_264988894_2_2_0&highlighted_blocks=5459203_264988894_2_2_0%2C5459203_264988894_2_2_0&matching_block_id=5459203_264988894_2_2_0&sr_pri_blocks=5459203_264988894_2_2_0__9336%2C5459203_264988894_2_2_0__9336&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel des Carmes;8,1;2.0;190;5e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/des-carmes-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=8&hapos=8&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=194615401_108239027_0_2_0%2C194615403_108239027_0_2_0&highlighted_blocks=194615401_108239027_0_2_0%2C194615403_108239027_0_2_0&matching_block_id=194615401_108239027_0_2_0&sr_pri_blocks=194615401_108239027_0_2_0__9226%2C194615403_108239027_0_2_0__9726&from=searchresults#hotelTmpl
Porte de Versailles Hotel;8,1;3.0;158;15e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/portedeversaillesparis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=9&hapos=9&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=5110204_214680645_0_2_0%2C5110204_214680645_0_2_0&highlighted_blocks=5110204_214680645_0_2_0%2C5110204_214680645_0_2_0&matching_block_id=5110204_214680645_0_2_0&sr_pri_blocks=5110204_214680645_0_2_0__7896%2C5110204_214680645_0_2_0__7896&from=searchresults#hotelTmpl
ibis Styles Paris Eiffel Cambronne;7,7;3.0;175;15e arr., Paris;;07-11-2022;08-01-2022;https://www.booking.com/hotel/fr/relaiscambronne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=dfbb00ed41d5d70a1bf6adbad54ea432&aid=304142&ucfs=1&arphpl=1&checkin=2022-08-01&checkout=2022-08-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=10&hapos=10&sr_order=popularity&srpvid=c84b8b1e0476000b&srepoch=1648583230&all_sr_blocks=5083318_333879691_1_1_549755813888%2C5083318_333879691_1_1_549755813888&highlighted_blocks=5083318_333879691_1_1_549755813888%2C5083318_333879691_1_1_549755813888&matching_block_id=5083318_333879691_1_1_549755813888&sr_pri_blocks=5083318_333879691_1_1_549755813888__8738%2C5083318_333879691_1_1_549755813888__8738&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
