name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
ibis Styles Paris Bercy;7,7;3.0;234;12e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/mercure-paris-bercy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=5369009_333878385_1_1_0%2C5369009_333878385_1_1_0&highlighted_blocks=5369009_333878385_1_1_0%2C5369009_333878385_1_1_0&matching_block_id=5369009_333878385_1_1_0&sr_pri_blocks=5369009_333878385_1_1_0__11688%2C5369009_333878385_1_1_0__11688&from=searchresults#hotelTmpl
The People - Paris Bercy;8,9;;78;12e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/the-people-hostel-paris-12.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=488809208_346552283_1_0_0%2C488809208_346552283_1_0_0&highlighted_blocks=488809208_346552283_1_0_0%2C488809208_346552283_1_0_0&matching_block_id=488809208_346552283_1_0_0&sr_pri_blocks=488809208_346552283_1_0_0__3890%2C488809208_346552283_1_0_0__3890&from=searchresults#hotelTmpl
Hôtel De Reims;7,4;2.0;208;12e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/de-reims.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=19171803_88985263_0_2_0%2C19171801_88985263_0_2_0&highlighted_blocks=19171803_88985263_0_2_0%2C19171801_88985263_0_2_0&matching_block_id=19171803_88985263_0_2_0&sr_pri_blocks=19171803_88985263_0_2_0__9865%2C19171801_88985263_0_2_0__10898&from=searchresults#hotelTmpl
Hôtel Paris Voltaire;8,5;2.0;181;11e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/paris-voltaire.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=43011201_88930035_0_2_0%2C43011202_88930035_0_2_0&highlighted_blocks=43011201_88930035_0_2_0%2C43011202_88930035_0_2_0&matching_block_id=43011201_88930035_0_2_0&sr_pri_blocks=43011201_88930035_0_2_0__8730%2C43011202_88930035_0_2_0__9360&from=searchresults#hotelTmpl
St Christopher's Inn Paris - Gare du Nord;7,6;;61;10e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/st-christopher-s-inn-paris-gare-du-nord.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=49490806_93761553_0_0_0%2C49490806_93761553_0_0_0&highlighted_blocks=49490806_93761553_0_0_0%2C49490806_93761553_0_0_0&matching_block_id=49490806_93761553_0_0_0&sr_pri_blocks=49490806_93761553_0_0_0__3064%2C49490806_93761553_0_0_0__3064&from=searchresults#hotelTmpl
Nouvel hotel;8,2;3.0;219;12e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/nouvel-paris1234567.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=319720601_114145785_1_2_0%2C319720602_114145785_2_2_0&highlighted_blocks=319720601_114145785_1_2_0%2C319720602_114145785_2_2_0&matching_block_id=319720601_114145785_1_2_0&sr_pri_blocks=319720601_114145785_1_2_0__9572%2C319720602_114145785_2_2_0__12336&from=searchresults#hotelTmpl
Metropol;6,8;3.0;159;10e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/hotelmetrosarl.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=5115901_88921224_0_2_0%2C5115902_88921224_0_2_0&highlighted_blocks=5115901_88921224_0_2_0%2C5115902_88921224_0_2_0&matching_block_id=5115901_88921224_0_2_0&sr_pri_blocks=5115901_88921224_0_2_0__7806%2C5115902_88921224_0_2_0__8124&from=searchresults#hotelTmpl
citizenM Paris Gare de Lyon;8,6;4.0;380;12e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/citizenm-paris-gare-de-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=233773501_275703727_0_2_0%2C233773501_275703727_0_2_0&highlighted_blocks=233773501_275703727_0_2_0%2C233773501_275703727_0_2_0&matching_block_id=233773501_275703727_0_2_0&sr_pri_blocks=233773501_275703727_0_2_0__18976%2C233773501_275703727_0_2_0__18976&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Agora;7,2;2.0;225;1er arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/agora-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=4655304_91901598_0_2_0%2C4655302_91901598_0_2_0&highlighted_blocks=4655304_91901598_0_2_0%2C4655302_91901598_0_2_0&matching_block_id=4655304_91901598_0_2_0&sr_pri_blocks=4655304_91901598_0_2_0__9399%2C4655302_91901598_0_2_0__13065&from=searchresults#hotelTmpl
Arian Hôtel;7,8;2.0;193;13e arr., Paris;;04-11-2022;04-12-2022;1;0;2;https://www.booking.com/hotel/fr/arian.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=f8d61b3ad25172d13e00fb7113bc6f19&aid=304142&ucfs=1&arphpl=1&checkin=2022-04-11&checkout=2022-04-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ac429529b881019b&srepoch=1648674772&all_sr_blocks=190396902_116172044_0_2_0%2C190396903_116172044_0_2_0&highlighted_blocks=190396902_116172044_0_2_0%2C190396903_116172044_0_2_0&matching_block_id=190396902_116172044_0_2_0&sr_pri_blocks=190396902_116172044_0_2_0__9626%2C190396903_116172044_0_2_0__9626&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
