name;grade;stars;prices;address;gps;start_date;end_date;link
Résidence Grands Boulevards (Chenier);7,0;;5;2e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/residence-grands-boulevards.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=1&hapos=1&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=473081216_332548542_4_0_0&highlighted_blocks=473081216_332548542_4_0_0&matching_block_id=473081216_332548542_4_0_0&sr_pri_blocks=473081216_332548542_4_0_0__571750&from=searchresults#hotelTmpl
Novotel Paris 17;7,9;4.0;9;17e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/novotel-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=2&hapos=2&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=5721010_246104917_2_2_0%2C5721010_246104917_2_2_0&highlighted_blocks=5721010_246104917_2_2_0%2C5721010_246104917_2_2_0&matching_block_id=5721010_246104917_2_2_0&sr_pri_blocks=5721010_246104917_2_2_0__497296%2C5721010_246104917_2_2_0__497296&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Studio Bonne Nouvelle;7,0;;7;2e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/studio-bonne-nouvelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=3&hapos=3&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=194457503_349036863_6_0_0&highlighted_blocks=194457503_349036863_6_0_0&matching_block_id=194457503_349036863_6_0_0&sr_pri_blocks=194457503_349036863_6_0_0__744592&from=searchresults#hotelTmpl
Appartement 84m² - Quartier St Germain des Près;;;6;6e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/appartement-84m2-quartier-st-germain-des-pres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=4&hapos=4&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=816518001_344155775_4_0_0&highlighted_blocks=816518001_344155775_4_0_0&matching_block_id=816518001_344155775_4_0_0&sr_pri_blocks=816518001_344155775_4_0_0__659137&from=searchresults#hotelTmpl
HOTEL AU COEUR DE REPUBLIQUE;8,7;3.0;8;11e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/au-coeur-de-republique.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=5&hapos=5&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=679693504_278465372_2_2_0%2C679693504_278465372_2_2_0&highlighted_blocks=679693504_278465372_2_2_0%2C679693504_278465372_2_2_0&matching_block_id=679693504_278465372_2_2_0&sr_pri_blocks=679693504_278465372_2_2_0__418696%2C679693504_278465372_2_2_0__418696&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Palm - Astotel;9,0;3.0;7;9e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/palm-opera.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=6&hapos=6&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=28302205_333268729_0_2_0%2C28302205_333268729_0_2_0&highlighted_blocks=28302205_333268729_0_2_0%2C28302205_333268729_0_2_0&matching_block_id=28302205_333268729_0_2_0&sr_pri_blocks=28302205_333268729_0_2_0__373196%2C28302205_333268729_0_2_0__373196&from=searchresults#hotelTmpl
Hôtel Ambre;7,8;3.0;6;13e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/ha-tel-ambre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=7&hapos=7&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=44084203_344962963_0_0_0%2C44084203_344962963_0_0_0&highlighted_blocks=44084203_344962963_0_0_0%2C44084203_344962963_0_0_0&matching_block_id=44084203_344962963_0_0_0&sr_pri_blocks=44084203_344962963_0_0_0__334036%2C44084203_344962963_0_0_0__334036&from=searchresults#hotelTmpl
Hotel Cervantes by Happyculture;6,9;3.0;10;8e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/ha-tel-cervantes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=8&hapos=8&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=54288502_140228230_0_2_0%2C54288502_140228230_0_2_0&highlighted_blocks=54288502_140228230_0_2_0%2C54288502_140228230_0_2_0&matching_block_id=54288502_140228230_0_2_0&sr_pri_blocks=54288502_140228230_0_2_0__538896%2C54288502_140228230_0_2_0__538896&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel de France 18;6,2;;3;18e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/de-france-paris1.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=9&hapos=9&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=58306008_348237662_0_2_0%2C58306008_348237662_0_2_0&highlighted_blocks=58306008_348237662_0_2_0%2C58306008_348237662_0_2_0&matching_block_id=58306008_348237662_0_2_0&sr_pri_blocks=58306008_348237662_0_2_0__157710%2C58306008_348237662_0_2_0__157710&from=searchresults#hotelTmpl
HOTEL AU COEUR DES ARTS ET METIERS;8,1;3.0;8;3e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/au-coeur-des-arts-et-metiers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=10&hapos=10&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=707645702_332136016_2_2_0%2C707645702_332136016_2_2_0&highlighted_blocks=707645702_332136016_2_2_0%2C707645702_332136016_2_2_0&matching_block_id=707645702_332136016_2_2_0&sr_pri_blocks=707645702_332136016_2_2_0__447200%2C707645702_332136016_2_2_0__447200&from=searchresults#hotelTmpl
