;name;grade;stars;prices;address;gps;date;nb_personne;link
0;Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;175 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];11 août 2022;4;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAECYF7OwEN6bgOW8-gEbv9Hoam8By4-hJZRE5R1bLpdObTmynxLK6apmtYGg2O55JtDs5FIVzqeycAOsSH6OXr9YMp7AypsY6bPfUiAMc0PXrJHoh8PkYvCR329dO4h_BaEHIiompD7juWtWhV7Qyd61H2_nSjPEEfzagRJif_ksY50GR9gHZNtSeELyrDUkAWpgNOXXmMT1b-csY4DJsV_FlcRFJTqp9CvVcMD3blXF7SXhDGwR9eiVrj4B_4q5en7TaYHAU_Y90qLkthIQtIqongcAVfJAYPWmbQe8WoutrwMHS66O1oP0d41VgfWtc8g_SG5ZIdaSQ-Rfpr_tq_Nl925C8Wo9G8WD3MhHzVYyhw-o2iKToV2RNN5g44A7JrLJ7uf6zjJqLb3eOBAAvFDee4s4RzFv3u62ZOqWVimV4ob69G21YzumX5_7693y3p06k9U00QpTwLKFCRIQovDz44VzluBLrw3CS0NdqyePs1hdzKvHbBnFIwhOXE0verpYFvtDY6fGXnQHwSsxNh5dlGUlDPYji3d72vG3pUFgQza2pIfYzQ-H0I1iaNLWkYnZaMpNFhsJ7zFpYURrlJucc-Hgg_4aMfBn6l8iWLM9bM1rBAhldh9rWhty5_iyJC_sAcO5AxJ3lH3MHlHlsmWAWwI1zE1Gj6iWCcDtA44npWuUA67mfT4zU7IlFNNUcx_H9hPxabzOPK_pw0h1zbSWyZURfber64otEfBpNofzk_zcFXwQKpgbZkeGei6uLBf8WUhggIurQasy5_ZL9SuPkKSgLpcN4WTJuQzi63qoza5jvC-TthegnRzxNFpfSwiLyeH8Uks_GnyyWZdMYpRzXptt1eQAgL9cin1u8fYIxOJ2jau_IB-RW1PHYl1LG4K7lklJyiwO1854ZgeWjeP-UAYh5S9IVfb0HGMecBQn4BnP2w3--Fy5NX4JEBlIh8oczj2HiyQVoUWvWgYyZygzXQhe2M4KVN35Sg-7Z5APJOt1WshCa_GJoVYOA1qMfrw%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-29T11%3A45%3A17&sort=RECOMMENDED&top_dp=175&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315755176&selectedRatePlan=384519200&expediaPropertyId=1845330
1;Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;234 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];11 août 2022;4;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318792&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEJDhujzaZfA5raEXJUZ_RFFr_MAkHvJQCPiBzi29NneSqX2UhAE0EljQ642UOh0rtPiQc0DLZKeQiI0udWV8SX3jo2Ki5I3_PfFJtxMhMCoQs0_aBGwrkdsAq8hoUVVYPqcY0fk9Y0otnxZBIlB1ksxI-2wPAcab7QDT0PjkoPpIcKtsWFqu_82xEFb_6vHKRt-mTBcuVMNNlKi7aihoiQ5LQl0ZTfCPVVEGqW-_U0J__xc8ypzkTubO67ILB2f98AvCSEeTHt4NN2X9ZCyoXNryQj6iZOVPgWNR1VDY-3b9CftO7Jez-waUf40CIVkNEiwXHTARBe08bSVD5qIrPswWGdZgfHA-yKnk37WT0OSvLNTDt8iLbs8YNBGT5jfYqL42wQTog665Ay1xiPoCjjWDQdFGOm5hAtE7bpxz-6grpgT5vf4qw8X7VMJsreHlTfaU1ZR59RxJnA9qHW1Agd2J9VpHyzveaRqUze92gqxGLIgtpHH1jcLeWlHAkP8QnvpNdjsEvndvzEpWvswVO7bk-IhwsJ6H6MuA3RUsAL8fk63cZyFHhafNBF9ZNTwUy7Vc4w_5fpc0kRUVlKqBgwoQcG3IdavGSxZubddLQFWnqcyn3OsmlUnODPhCzGDMuQwRAlgh-ItpR-PTOoPhV5QAo2da_hclX-mPBWL-vt8Z7HZoysMHyFAMOg8v-MKLsxsjm8VqicuY-fbpgQ5YgT6A3HTsYrzi_QsD3B1HnGkVIBYLN9B-FQsb7ZeeIlQ_Lz7u1YkiOBmLfAWU28aGZDXKtxdPXB26jaQ3Fmp1r-6evzHkycUMGAFYfRVZxeyoET7iN8flLfe0LP3hMSAKLCKBqzVsjVKvNkKfxBNuRwplWE4VkALpS7eC1aoaRzqF1hn-sJ3gSg4Prm3lOnO4lYAM04ouYGfFS0PIMjId7l81W5NfKIAvZB1rqp2XHKBIY_tdNgIkKzP9B9WVQLtdGDjtJPtywIOv6kZD1CQ0HHG5w5PcRwVtXNm8QjdxzFnbgw%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-29T11%3A45%3A17&sort=RECOMMENDED&top_dp=234&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
2;Hotel Migny Opera Montmartre;3,3;3.0;313 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11 août 2022;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318792&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=313&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
3;Hôtel Vacances Bleues Villa Modigliani;4,0;3.0;143 €;13 rue Delambre, Paris, Paris, 75014;[48.8416283, 2.3279666];11 août 2022;4;https://fr.hotels.com/ho241383/hotel-vacances-bleues-villa-modigliani-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=143&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213005414&selectedRatePlan=240077166&expediaPropertyId=201121
4;Hôtel Gabriel Paris;4,4;4.0;349 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11 août 2022;4;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=349&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
5;Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;285 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11 août 2022;4;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEPAY96GLF32aulj-uEAXNa0okrMB_aJYemmZDyDdAf4-qbyzr4hpTBz6OrRA9LeqCx5jrGzA4qhZTjozqCGVJy9yHTi1p8rZpMylgKvqTdsNQeGch--1C471ngPXcpz-Oedm5YpsHJNXsZvbi4R3ZfXsJGX0vV46jqiEeVVwesYL8lPQ5an0WbkqTg44qZ0LDQ9Qys6i0hpC08NxWdg15BKjmtFDHnXQR9GZE4Pw1d_i1Qs0ELjVeElQxWbtEkaIz3pSHK7fHrIsVALktQld234NUHo2ERi6CLjKwoWO0feac3aGapyQ84th0ZUVVLv7TRSNRZWYqrw1VL6tYef7Bt5aB9xE7IBkypRvon5I4mhP_PerKhcA5zpPoHxddMCHMeQztCpycmQ-7NkNZ9u6UbGFJJ3BYMhxl6fwWdA9bwrAD7j2lsSRqotypaP9dT_x7GK6urMbPEQwUNDH3HhcxIlJns0aQDc9yyvz-sf1whm-jL5LJ0s0IT9GdOwuZawdUykWe-AAz9dmXnTCbq7M8M-X5KSXU2xePp4bY6ctAu6RuiJW7YOhHhqog-eaaad6sJ7nN0j8xKPx0tw4PeLfRgaFh7lIPGrCZcY6wNOAu46ppqfvQo2eSs6a6wGQ3MY992Dhsuz9ani8OB8Rl6cSigRmVw0nYZ8-K4Ur-f9uPcl0RF6IvRi_PjNNZ2HjKJs4OSPyKyi9nJTySbYifJiTv23ogZ950mN2Zm7azKTzWhqC3R3-bPTR2kxRyNJzvj_I7Krj4OBnTegfzKmXORgY5spqMZYSf_qPAdUKtCn-UankIjyVB-4WQjs6eqVXUJHM68Vu5VHzDaWjTNsySNfGAmn5aIjaIq5_KF03LhdJHP8CQe4GRWUntFykPTH2_FbRFY0HMW_YgvTBo3QlD-LHn029KOHbOPyawt-TlsHMY4vydztV72crW1VYCs8ghXck5X60nz0iXv-CR6mUiU8Nknf7y0vN2W5DuDYTlewelQ5baWegNP9RlCAjZgDmUUOzxg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T11%3A45%3A17&sort=RECOMMENDED&top_dp=285&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
6;Zenitude Relais & Spa - Paris Charles de Gaulle;4,2;4.0;171 €;8 Allee du Verger, Roissy-en-France, 95700;[48.9981835, 2.5150959];11 août 2022;4;https://fr.hotels.com/ho371971/zenitude-hotel-residences-paris-charles-de-gaulle-roissy-en-france-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318796&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEIyNUls9ontjGtk-SMIxJ7MRGfTW6nJOQp3o0RKnP9BNtzX3eNkkgsvNaN-F4O-RTS3QWeGFl-vTkgy3ASxgpT9StFcTKzebgF9QzutUfj4onU80o1NscrsDWQO916nY6DOW8ggnQXwXCBhC9zfMOM4Wpo1NfBfuhZ6utLyYZWsEMoon2_QcaH62ORCgMTBmD5Rc22lcUtjHFiUMx-GwQMXXD3bJW13IC9-zE5fEBHhwxzs6lp5cu0KgVhJ-8hrJhw65N0_CmP5Bz4tuLfBPjY5qyzDIPZlxyi_NEy0lDkjEB-4fwb_h7dcNclNZMocR-LYTL4muS0-UdFWuwnLMpHxjM2X7HG-6gmvwx27fNA5WwRBG2zrUFSuVW4Zcgaeq0DT1REwFS7RyHJ8zZeft65RC7gWXVXF1zslZsKKVK81zayT2Ud2j0zTIYl06kmQOQPoHeHk8_uf-pAFc6qJ8FxL8rHLT4Ov8njo5mx7LzSwMZfyzbdef5woX0LdVqcqnGZnurPxILwGWbVWmU-l7NJC67amMy3sNf5k4yrjYJIiBmTJuo4Fve_aYmal9h7lfGrbcex9SJLZVfR6Q7vsCxykyaCQLLw7hDdMyxwxkMn9m5jcVPCeKG91PFte04TEZibPFloodZGGEmpVbIZd0q1haLlU-iXT07xW_n2rFDAW705kBJHuvhkkMv6jcBrkm3tn5cB3yHDkJa39FFzRGs8_4pjL_N_uC3t_2P95YKk9AgNv60voXL8UAlj0nXv22LLBqOeAQNYkwKI_VWAHpfeyS-mmw8ltTivzZvEOTDF4ddohSGr5kg0Wl2E_DuxQ6-srYDnIqlvI0O8W1uCupjAmBNlIhCCBsuc8lc_L4H7oMZugD3eiE1k-6OBzrYBs2keT9Pvq6pHje2SBHk-a4JTmPLFoHqlnLfB25rElgBXKR0dzHT5N6ChG9rYrs-KPyyDCPKi_Nd9p22MNJbQ3td1qNgoTXNqzU35IJ_kFhRHy7DTD__TMi-CLs20yybS1rQg%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-29T11%3A45%3A17&sort=RECOMMENDED&top_dp=171&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314164610&selectedRatePlan=382578987&expediaPropertyId=4223609
7;Residhome Paris Opéra;4,1;4.0;291 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11 août 2022;4;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318797&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=291&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=233533&selectedRatePlan=254224957&expediaPropertyId=1584249
8;Hôtel 34B - Astotel;4,6;3.0;257 €;34 Rue Bergere, Paris, Paris, 75009;[48.8727003, 2.3435855];11 août 2022;4;https://fr.hotels.com/ho194609/hotel-34b-astotel-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318796&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=257&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213923354&selectedRatePlan=246154507&expediaPropertyId=18868
9;Lennon Hotel;;0.0;186 €;129 Bd de Magenta, Paris, Département de Paris, 75010;;11 août 2022;4;https://fr.hotels.com/ho2372847296/lennon-hotel-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=186&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315954137&selectedRatePlan=385139079&expediaPropertyId=74120228
