;name;grade;stars;prices;address;gps;date;nb_personne;link
0;Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;184 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];11 juillet 2022;4;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132068&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEJ29pn7agbKAkZDeBKYOLxm21oJHjMmHuDCDsMgGcvWVVKrrYxeock9rXdH0OkWO_BJA71een_YMG6w5R8l30O6IyUnTtLXlHaKZqPtUtv-yGlt5LT4DlqFW4VZK_6t-sljyot9k4lctrsuE4gSRKvtPDp7rBgAs0crGQcFWNSUNwqDcXna3Mynt3NRPpyty4mb9MdUPTaHMrovxxuq-ubatayvh72QjAmODpZ0RnRAC3sZRuDwuUKdfLZkBHBjiJm7SMDTK6-oUXNS9MU_JmFUPpXA6J6mW_6i36NMHkwpeV5Shm8mPuLhDb4TsO0bGLta07jMXFnMXeAS--IDvIm7AuYjBrc6DW8wdPnVMMfFfF-uD-NTtvMmmuvMbMCxGOh7jAFQUaL_TXU3LXlzyuRMQ73cYB6lzY6fzZRNdlva3JlAeeS0MGB1qF9N6oMpi9kucrPk7xjPvdpf6OgCskEElfOD3F0qCAhUONWdnyegcFTazJifCG-UCO8cpAAZaaDv0s0LNuIRWQU-hRk5Waw6q1GbRLt7cmkyqH2Iipo8yfLZFkgX9c0t3o-35jRzLBHsxQNoIF7naA2VMV2-2_1fpHxq4RgzjJXpoEoh4QYH1-jDOuJR7vzJTvlJgtHHxSgPGDTfmg7CvOQQcxTnmxTpwbUfQvXBZgE52SbWGYDSLUkmGqDyKuCd1fQsgTn0hUPMytywl_c2xUllgkamLx4KCj5aDifQ0yNF05-_wzXGyi8XFj-kemue7-rvtMefx9kEPpYc-3Y-MDsHYQMxbe-phqklzL_UceDS8yyqqBT3Mjj-YWE_D3knAwGrYV2RHZA-HnLO-OPjMmHB23Pa_iU-5h881qWI4bZ9pe5pMxMZanVHNE6TvvcCTgAN5kB9vJds3LGig36kKXKuFJ5U1F5VVt5OrnXCHMVRsRjHVQ6UVxv0Lamn8uSUW_7f2gD_IqmUaZPqEnDKE_CJN0Q5o-B5OIGXSdXmpfQWE-MfrSYisGgoZ_qYQSfw4uTZsF11W3g%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T10%3A18%3A50&sort=RECOMMENDED&top_dp=184&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315755176&selectedRatePlan=384519200&expediaPropertyId=1845330
1;Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;251 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];11 juillet 2022;4;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132068&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAENnXROSDKTfxr2-FOKWuuteR0UIgu8tlThpeKaB_5UmzJXKq8rjuh_y27qfv74COXVWnFqBClCyhrTkl24kErDKPyw6hOBIPpJTAcyKthtmhTK4SqVoJi1VPVhfpEgiDWHx-mXeeurGlAnKqzWyrh2Q4XeKruq_a_hroBg-VlgKoeHIVY_D3kAzw6DlblL6yz83uTwBcEtqV0n1WsWymFRhxg4B2Td50NVdc8QfFTBw_6lezPf0eZj7_DrVlHrWPWNddFcoiSGD9jLL3NOcL1MT4qW3xbUcdVcammdFWa81PE-5WlflW05wuHks-BKE66JNzsIFSKacDhuHIalZxxq___g4roRXHhXYD2q_fjiBKGYMyJBC4M3pAPyFIIXaIeNlntTSRABX1jtee9TydQgd7tT9OhPET5JUKFM7T9kR4zYjPSlf0_okN1spigFeWlR-VgGF3mJnwi0m_rub8s_BxO_wFugk8_BTklIm4Sz04dj4zFu4b1PZcZ4fTOCRyJuzySH0WHQNyPgI4NgZb8GNk7lz0JG6R5L15URmMUUpWVFki_iGsycCxi-OgZzeLFL3hcbaEMnDC6Ud4N4QtBZvkd9rZzZtvgsAGBxmCrjlBJcUutLm-G6tSz2P5nELDZ65u7dFLMaVA4Pnfe2M7yJNtjMw-s-njImN_aaO-Xf5zrTj7Yd2j8cL4fcI34WpNrVuMepip-yiyh5FkvP6e8p46Ope2l4nKA74WjhpVCu8i5Ihk1Mp6Za3NQLCAqx5NAyC-eG4teVaK36qtQMxqopKVYrhatApJXhSkHRzcnCqHAgHAH1kG-Ga79DlLyl6pqMExUVW_oeoeqeDEL0pAdvslQJIgXpQc-mdG8R1zsZGPmUFOFUs-d54UaVmgJchA9FC0D-75bXgpLPAe5c-7UPRHjQUWVEPteOolh2cQDain0DTlLUEjUVZJPbKf7XQhZZxhMDXXE4J8wJjHN7XKwqOmM-Sqg4C_NA097cBa7URThf5YYpz7SGCd37JM3e7MqQ%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T10%3A18%3A50&sort=RECOMMENDED&top_dp=251&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
2;Hotel Migny Opera Montmartre;3,3;3.0;313 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11 juillet 2022;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=313&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
3;Hôtel Vacances Bleues Villa Modigliani;4,0;3.0;155 €;13 rue Delambre, Paris, Paris, 75014;[48.8416283, 2.3279666];11 juillet 2022;4;https://fr.hotels.com/ho241383/hotel-vacances-bleues-villa-modigliani-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132065&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=155&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213005414&selectedRatePlan=240077166&expediaPropertyId=201121
4;Hôtel Gabriel Paris;4,4;4.0;395 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11 juillet 2022;4;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132065&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=395&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
5;Zenitude Relais & Spa - Paris Charles de Gaulle;4,2;4.0;171 €;8 Allee du Verger, Roissy-en-France, 95700;[48.9981835, 2.5150959];11 juillet 2022;4;https://fr.hotels.com/ho371971/zenitude-hotel-residences-paris-charles-de-gaulle-roissy-en-france-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAENvv0MQog6EhDQux4lQRtg20fdYoeOGHMb6sdnDhWBXqhUaTdlvJNzRmhASk3UKy2b0tcDuTnIx_sOpq436JmkC8i0ItBNHH9hvkoZz3VciHe_E1DCMoQchEDzkSPX24Vn6nHRjT4pi__wPj2P3ea3zLssU8cStxwlz2t5NrPkTUp3xtqu5eeVGFcnvh3C5d1OGPXI73sfpYhqpljl7HkLAe67bECr9w57ubqVw8al0aktueoKdC6BBpGCe0DBbjgjqEjHtcO_7CSX0xQ6t8xDedqa52NFJJD5bARulwFnvNzzbMwMTK0eoTs3Up77UUniLqxD0_P51KGlyhatzerSmI6LNngTIPFxRYzhMF5hlAClDpuBAI1Lol-dO8C-dE3INCsoOD2XSugNBl0REJGtkZIKqGwbXVHUxzxCir2huxIIRvoGgdtU2HxxY8K18EkhK0N8tFDtXiDqOBEcNZS9MN6oqzAUUCQP37hFaM_YGtgEERa6aFH9eshR0SrN3S77LZivvPvlOM9yMVN5m5pcdSTju-EnML4-fmu6viyJ4V7P3sUFjzKp7wA58ZbxG3dJlqHcJ1Q9779D1oA_y3voXJoWl2wBTWB_fmYFhzgJmyTTsUPmv_WB4BEk1tmUXfMnO3s2BK6Zkc5J7qqcovfjqWB6nr1MfdRIc_hFS5R1kkTmo4pbnx5Lb8M0uFqmvo6As-W0m2dhQdqLnTMkZhgwEyJ2y3C3ZOEzT1XgMQRRe4fBaOz3UKSwomSyVUOpTSdVXstD-segnvizIkblpU8W_GpfT1e5UNlKmSXGEGJGSXOe34-AfsJ5asAu4hciHZQcwEXrRXeUcYTeHmNA-dnVT01QzrjzcWAJip665v0BhA67v7EAccQKZhjfRSa2TdPzIXUtVskSrrmZsFngacHkVeAPYu3GlhmgZ5QRu6TZTZjGfr-fXDBAd0ADsSmtenv-51RDuyS1jZtVuDN3xdu6tIrWPJ6QlpBHfhAsdAU8IsQENnI__nNPj5b6P2nUGuUQ%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T10%3A18%3A50&sort=RECOMMENDED&top_dp=171&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314164610&selectedRatePlan=382578987&expediaPropertyId=4223609
6;Holiday Inn Paris Elysees, an IHG Hotel;3,8;4.0;319 €;24 Rue De Miromesnil, Paris, Paris, 75008;[48.8730306, 2.3160309];11 juillet 2022;4;https://fr.hotels.com/ho266596/holiday-inn-paris-elysees-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840666&trackingData=AAAAEDdm0L0ZEwRZNh5UEyWVLkFJUUMfImhr5VP3d2WQLZWxuvwEsCB_-wqsJ24JRYEtAS3I63bT19k9g2ZSE70JJG6NKZ2qdV5wAncaSQR_ftPOjDOMVlKZLmFrQIZG8U6WslAItZKYdfWkqHozNUkTVUdtpfhQ2DpxFXLAsnmQ3NHoGNeLL_0EyjVOgrwyGbhq0NuWL9k7lPM4vjy8OGX7pEGCs7VmpINn7wg7nzqVMWax8vvvVDpYRy0aEjwzcl7bsr60ayUVHQ5se2WNS2bSxmuREYV7vOp-qVEVPerUgl8Jb3P5NTrzWO35cTkWnqToCGxCRD6DYFOQKC8mvqTV72Zz_YH8TfHTXRNIdhdRxpl9qusBpEDevoxGxeUhwD80H6cmVGsYdiqnlNvJwBp2UgByk8aWa6aIla0Dv4lnNy65LfU46_98NHYWTjp5u60yX_6duVHh82QZCsb9inAePHidJP0GcOYEwCssxI0Tg8T9h5c06YcSb9rq1YZgl8UDy0brr4-nPu21YB0PHXd2ZTcW9sXG5fXf4EFHQfgLudJOG97FgIoU0vy0FTwh6UPib8PVWr07P6HEvKB6Xp5jKW2_h2VRc9AGwF7TM-9nlykger0C3-K1L2dQR8XR0mWaCR9Q82XGjFcAHTtCX75ugXgUeLpstqGwA7PUIza7cuGjBXcH7of9wbIRdwPt-8KUX75pA1L8jRz0QTttp5w-tZ9gbBWsRJcGXDyQbU33VwlseeHWqy5tMc8eO_--mY39-2SoWqqYPn5SHsgbywrRiCkauFOxUCLvJw9qvB02D1Vd4pRaJOmtfCMIOZ6wvx8LyTk24krEOUG3BQiG78ouRZWIqS5IRYsN_oMVYeGTs0YR4oLKUuanBlmlXOh-TkNqhPE589GWctHcdPahR1PPco_Xt5QUlaYb9MHtYfcRnfHK0bZt3_fwbJFeE7Xh4uS6wnA-IBTp7MHNvyU9z1G_e7pol-4CpwFVOSeDu2F6cn3gtdK-8eeLbYN4GZTJdne3Ng%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T10%3A18%3A50&sort=RECOMMENDED&top_dp=319&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271371&selectedRatePlan=381132026&expediaPropertyId=109408
7;Residhome Paris Opéra;4,1;4.0;321 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11 juillet 2022;4;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132068&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=321&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=233533&selectedRatePlan=254224957&expediaPropertyId=1584249
8;Hotel Cosmotel;4,1;3.0;179 €;17 Boulevard De Strasbourg, Paris, Paris, 75010;[48.87047, 2.3546823];11 juillet 2022;4;https://fr.hotels.com/ho298821/hotel-cosmotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132065&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635979203600&sort=RECOMMENDED&top_dp=179&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200521349&selectedRatePlan=203328876&expediaPropertyId=561995
9;easyHotel Paris Charles de Gaulle;4,3;2.0;95 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;11 juillet 2022;4;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=95&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892973&selectedRatePlan=384961113&expediaPropertyId=73212200
