name;grade;stars;prices;address;gps;date;nb_personne;link
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;149 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];novembre 2022;2;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669750&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEHjq-HXGInAauUw3kBzs2R5n1ZFXjaBWsatEPre2Migq_vhY-MesH9Q575qHL2-kKaTW3v420H3qqeeHov03zSGKVpzTxvPIpmQaLNas2DQMOXi5-dbgPtF7M6MUV5u8jNMdsyyNkIsNlwFAQGe3yZaRbveAJlfw-ljkBYfcxoWAg8vv0PfhF1lzZh8W15sAKmRI-2Gel_kBypF8Ddn7gUJ8kYOqbvCkCLP5ZemTBOr3imIME-zS6Yi0aL9Ulh1i_gf0pdKLgcX6zeEW52qdCLcyTPXJOw6myRxrLuMA0pgP1tyEcyHCqkmTQGnk_olvCw_4HpfFuXJKmPitBYbWCEidFjyL1p1Z_K0kE7JiF7ow3ph7pA5Od63ya8JsnYfRIRayU0ABHJsp2-1wMIDqIJjKKpGJx5wJ8cbTzQ-_aKAGUgg4f1t1zO4l0yn8rvc3d1bqsAJJxSmQ2ZZ72ifjZpQWV-gXvQkngIeH8eOnJa4smmUu2XJ5ELppoclGIL2FeyUyxO7H6fETsMC-GXKjuaAFNoSYS4wn5rF4l9Y-mnYRTl169xiCWV8bnVIqAk-BlxwkqTw-ardhCWaChcX16rNx198Oi7UCik3M6nafV65FD0Ss1o7eyjGGjzaDfCGYdpATsdmzcSpU5ObUI74XGqXcpVMzGZ1akYtUjRvx4f2U6GO2TBPMlp9qLfMwZxI0JalUkGlmGDZc8int54ZeG4U58I9eqp786HZ3MvuE42DHYcxWEmPIqn9R1GVzcF3GhtOLl-Y_iyxjfT0QJgQkfwMxO86Ea9CndbdUsb87eh4_37aPL0Gp4zwG5Yi3YFp7gtP6TSIk4yeXsd6JnNqhV_Q43DpimWTb0S61C0BfhV5AoVkryofqCunO4M6sdS1nTrjC0l0WVj3OkwhfY93TScuqVAy1JzbczBeiX4kDNs42LdoUZKuODu_E2Kctc8Q4tcv4Cj65KyakUPUA3Uf1-I2rzno0RE4I2m-BMjv9Jdysdn_nIzLeJO0GFBzBvfgviA%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T15%3A27%3A47&sort=RECOMMENDED&top_dp=149&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;93 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;novembre 2022;2;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669750&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEB6CZLoBk1UUS1iS0No7Syl8fCfegZyTDF22R-m82e54CP_HxllL8VoMqAwWEuWxo3Hm3qbjRymdS808xZ21snBvuGouE-lmYyXhZe3NLePu6NOA4hH3V_d60aCGFY7dfYyAZVfmYG-M9MMbbqar2tltfenqwtC9vS8pS9WFNIlMbrqBY0upZiKUQ7Hmxqw-bSIDariM0M10ypAQm8wD-cNkMqLPxpf1oCnsO01Er1n2IzgBl8cXeYGN09bucN5Eo-zWCnAY6n6qUv5KaVq7cTGtuQmrRGBjjshxJ9CBDHt3fWwKmVEQekvPjorG7YbX4eZfFG3z6-T9quWAeDV31x6lMMIfSgiUM-2U_l5OqiysZmVw6rbTJ6OJLTjIX6wdnGJTRbWOpZwiq8wV_xyBuItVcfTl5eDgIFvBIj7Z2t0FBF56nIgs9omuzUpVwv84KGju9ovBJBoWHrcEXH9hrUzF1x9t0_O5kzsGBSYENJa7IVGz2BIFmc2xQZu1Da1J2qhFLeL46fBRztonxggzj7V_T-MIVoVyJDRJIDFKiDiMP1Ks-vhIH8wVTk7JuZj4N9pDieeOtWhgf4u7db7aWr7ZwF4dAwRrTR0IRkT2QbIG2WSw-q7phnx0ENPkr-ZeLZgkbZc3d2F65YdeBx_i7FRrBj6Xz-H-4uA_9Z6plB5nxFskcZ0gnf_OUDRl7k2ovyp3t9JG3AgeotJBoymBgLaaVWoc3lZHG0GTwxK_hUcYy5PZoBIKiDCs9kR_5gRAWJqdozTnxyfONEhCaem-fUVnkGMWzLEmYqZeuknh3E5VQ0teOneMyXZlxC-zXlqTzKc6VCbtOZIftEEgf2OsT96Qb35kqmbdCciCAcW5qqc2bL06xQM3Lbo7KN9zqRjCr3gC0CKlSi-vICp8K-NDfedXG9xgeDK_iBQu87f0mqxT5nbVAeTJLntUo1ij02fEZMwbSSyU8RMec5kwuboSIEl4P9IDeZluRN9Y3KL7_LCFWFhSlbIXTJouiD9O3sWilQ%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T15%3A27%3A47&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
Hôtel Bonne Nouvelle Paris;4,0;3.0;146 €;17, Rue Beauregard, Paris, Paris, 75002;[48.8693177, 2.3495226];novembre 2022;2;https://fr.hotels.com/ho349955/hotel-bonne-nouvelle-paris-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669749&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=146&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=228004115&selectedRatePlan=260289903&expediaPropertyId=3673089
Hôtel Victoria Paris;3,5;2.0;81 €;2 bis Cite Bergere, Paris, 75009;[48.8719956, 2.3432857];novembre 2022;2;https://fr.hotels.com/ho578883/hotel-victoria-paris-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669749&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201464150&selectedRatePlan=208119537&expediaPropertyId=14777624
Libertel Canal Saint Martin;4,1;3.0;93 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];novembre 2022;2;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669750&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Holiday Inn Paris Opéra Grands Boulevards, an IHG Hotel;4,3;4.0;159 €;32 Boulevard Poissonniere, Paris, Paris, 75009;[48.8715747, 2.3435478];novembre 2022;2;https://fr.hotels.com/ho121945/holiday-inn-paris-opera-grands-boulevards-an-ihg-hotel-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669750&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&trackingData=AAAAEBHRhdqa2ck8BKZZjzXzBInVypU3HjekXM9AaCzHUl-wZBD9iCxXz0jccFNtlqDy2kE6g2jNfzLVwauHw8b2KCIsIHXmVuXltKAlUCLIeFjnUCgn-T8rk58UEK3G0tl_K16BH7xBXdI0C042Q1clNtLJEhuBZ8W1m0vCs1UiA-RXOGPDeYRGfIf-SaboeNDpQRLUBpgG0ruL0CL5ib8xG2EwTJnKxrJ4Lto6gCvZCu8TudpPrdtT0SW0FuUgQPI1Bc-KG0egqNihFuOG6Oe_TqycjLsvSGIXeaZqyTp7TVhpD6DMUHDPQZvOv_Fcwcn3anMv1zMPtsQ3zCeeJ6UJBjbit_GqCAB9j4ISTqi2ZpAJJbRcEu7GTM4VF2rcUjcaw9y9lKS2S6VCPwdyH0aAu9IySJl3PwHSf1xv8OWVBdt96VTzeuNAdFc7zP_kko8-4JOvU-7GSwj7CVYKFzBgNNWXM-KZRU45F1wm1JHl1HRpWQPl-w-jU1ZGL7wteSE6SHr-eoQYVHezAWaFizR4YYg6fwQtzaFk8AE8zFHStfFXdH_ZKtAm_ayYrjr__gbH-NHxII-FoOTdl9fRmV-UXyxJSxJONN4g8e0y4oucMcBUQlAhNYbzT6KhiJNjU6Lgk6Mtm9mdzCdso5rJy_nJ69afbUKEa5r2KDlZa4nnFSHhPX5HETnx2wzLjMPEaUpqi7ueIcYOTT6BalGGV3C7sO4DqwaAAmiAO4GBcuHLQMkgKuJ3lIpqmt7_MZy3xDKo49oUS_iHlSn9JI666mUrmfdfknt6bE2JZ-eRPA-j-NiZODH_DeWUzEru1-iEi7t8e6JFzAZrssyFNoTEHTWR5iuUk3DltAZfflGCVFXdWzr4VkM1beNSiJFl5RERjMx6MJr3B8SngOM3ydp575x0Avbq74gEo9uVthAfk0JSt07VSfiMyVAfzae3mq9ZNK9Za1ciWy2QtiO02x4jY_92s-znA1_3bT6T-u2DWmuoS1fs_5Z7PSHIhxepUq2bbYd8Lg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T15%3A27%3A47&sort=RECOMMENDED&top_dp=159&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200083506&selectedRatePlan=380280413&expediaPropertyId=19247
Holiday Inn Paris - Porte de Clichy, an IHG Hotel;4,0;4.0;117 €;2 Rue Du 8 Mai 1945, Clichy, Hauts-de-Seine, 92110;[48.8977239, 2.3105703];novembre 2022;2;https://fr.hotels.com/ho264512/holiday-inn-paris-porte-de-clichy-clichy-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669750&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEMDllATf0ZsMa_L34Nem8RGJiXFbjKFFfdF0wERw6LqGh90dNYRB5Cvtv-TsfOMOciJSNXRQWMiguwoOFdYkOnU2cvOoBEkm0oZebLNWjrZ15yT8dJv4RS3cnAK2Oceua-gtSeOSCb2VTzILNObV34u7ICh4XAUMOiFPXntnAp6F32F-B3l8eQA6s52Q54kw6xph9u6c_AmrizEJ5kHzCejVTJ9hFfwjJiCqTcGgKL6foQTK5YzH_jaBAVl_QPQE_pdkOgsFrgWt8KWt_2j_PnDlOLGM2Po9E8ORMMe5b1wSTlBUG39SxLheaftSzd7SDjAJ6QSivuix8voFxRRT5T6YQIGuOe7TZY_spqChGDo8LgdH9ZS5J9ssXHAlg34o4LCt-fEhfp84SGqFD7DfSODyXYwAPImfhGeSUsAwQ9-tuwXnHISHu2Ot2gQceD3_c3DRHOwSnT9BalbY78IfMWDVREJSLfZZq0ADr5_JYtan1gnFALeonQtSy6WW6Dd2oQCQVedY5kjixilbfF1OAtDK7EFYkZ5R-6xAzWNMwuVA-CQvTIDE5oCHdpBdHetnippVW4luHXQBledhXel2j3sjjQKwjSubW-3cweLbNTqFuAbroNWHD2XL1N1GsWSdbz8Ntwq_bujlgv-TMI6TBu8XIu6j5KeIyVW07TyZaXt-1A9CPs23sipGTIt-DB5a8kjHrKyipUy0PIQVcda1L2RNeZChm3OR_8NF_K9bwEzvRbDeoudDvMjjNlxo8CIg3pUg5p8URz1or25n3Ut9VBQCZpLzC1iBqAyRulVNQZH7OM3oSzGn1oWmNaDBXgmRHjO8ViZsOHymY0StbyJOvnsaO4O4iLQRRHAIT0yxodhcX3Ei5kjTQLTvXNXD5RdGmPJGpIqt289ssDZr1vaL4Hk1DwNhntpxnky1OAt57QmvKB3oJ2db7T4NDUiQDB2rOVr4HMERXkUT_3OCsnpj1Y44JKvwloz29vwlImP2GBC65fU_Dj4BhnrZL-C9Ms514g%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T15%3A27%3A47&sort=RECOMMENDED&top_dp=117&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315915525&selectedRatePlan=385056738&expediaPropertyId=1604695
Hotel Libertel Gare de l'Est Francais;4,2;3.0;138 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];novembre 2022;2;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669752&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=138&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Libertel Austerlitz Jardin des Plantes;3,9;3.0;111 €;12 Boulevard de l'Hopital, Paris, Paris, 75005;[48.8424292, 2.363216];novembre 2022;2;https://fr.hotels.com/ho127852/libertel-austerlitz-jardin-des-plantes-paris-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669752&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953069&sort=RECOMMENDED&top_dp=111&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200680478&selectedRatePlan=203344942&expediaPropertyId=1262
Mama Shelter Paris La Défense;4,5;0;107 €;10 Rue Jean Jaures, Puteaux, 92800;[48.8854695, 2.2509089];novembre 2022;2;https://fr.hotels.com/ho2391761984/mama-shelter-paris-la-defense-opening-mar-2022-puteaux-france/?chkin=2022-11-11&chkout=2022-11-12&x_pwa=1&rfrr=HSR&pwa_ts=1648567669753&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=107&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316059255&selectedRatePlan=385335433&expediaPropertyId=74711312
