;name;grade;stars;prices;address;gps;date;nb_personne;link
0;Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;204 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11 septembre 2022;2;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAELnP0Ltse95O8cVCZ_PoGk8jCm3ENp1q3SEzdFKjShnZPzMspL1dP2hu2d3KBTEcohZXee5KNNEEkcwopeyXdhDJzEWhjCRRIwbAobMNY6GNvCBhXLmNInqB0aQNQKpK838sb_838BhD6w_chhK0bcYNUSd_XaMXyrYzP_sdE0R6zIJ1F9fDlsobf2pI-C2gRltVn2_UKOq52z6aiQzTAm-eDPBxMD4WQ_A4yui-bvEy0ikhQfdwjjC4LFTyWhN8QmY8Td613zPRxiQp5S5ETrJkj1NPitD9Xh9Liy_3MBj3wr7tdmWvKPiR0NlylmvAc3A7YmOOUt5zMpqoygguwn-xEm1bgH9nq057jtsRDC14-fojZLsq7mbjgFIK_AimF6yb-iWcVnjrhWuyZsQrFuTgDq93CAA-1Fs3JeDW0OKqpZG1bMjSj6OX4Y92tMvlqim2JOzVi_ppQGnCqQI-FrgbLXoLLiKsGYe3n9WVXq-K2GyZuptl8RY7xlFYE35yQP1pDDfTO0zWc65ZF8tCxrnBQV0Qnahib91eG4iMeB-XRxGjorFS4sYF-GcajGz7nrSM3OCc2j5b9zGHeJSxeIU9ZiPtkYfCUo1ZvB0QV1r5ZgcqUo4PqEhymqsvsFQyl0xL44d6wpgLzcaoGlPVcXYWNcowlIhBS9PRh53EGPslwfye_ngvWbLni-OzVOkt_9QbdvFUjGNBYmE0LAMEYMPj8jDReTACS7PBmlyWeiU8t7Pzh6Dj060YxVY6EYXaI3xGpoB9D1ToM2jqbJAwz7l_KKPZ4BawnWUxjrpJ8ckn8t2qBOgKbhQzuZKFzNBTWQgjMfROgoeY9P1e0ftZ1HmVBS1IK-RNUGMzsBMlRMxV2vp4koH-v_GGAC9__LdoPeWwfB9w7fzjUwWKludoyXDiBEAzGjlA4EPNZ1hMWQ_rRr4TybP_7aurc68nyFJ9HllWnxsvnPoE_3Wl2QkkJGjadMGlgawiwL7MLrJ8bbTVfaYNadKxGSftYeh-bVTp-A%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.5%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T13%3A49%3A37&sort=RECOMMENDED&top_dp=204&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
1;Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;132 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;11 septembre 2022;2;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEImuLixMlBQAgmPR-9aAqn1LC7pCpgA4CYQdqBO9LDQCcaPXeBndFbISuUkULai-ZNzA_EkGwtlq1OBgOooUqG08tmVgW3iKmQkb1wEx7V3oFMuE84gSlyG_5wiH04l46kQdMAErmuT-wda9z848E3wmiX6LFDahTzjDXENDvEOGRYqGfXM0xmH3lD8o4pbgAaz0_ZcKRw27ysvPe0ZRYEtsJtjiqGE6a8TWPPAU0CMLVmK3_yFILvPeTZjLGJtgYvlyfBjXrofRss0WeY40kwEyCpZg1dCVPD8pyKrxvH4H1s_j9AszHyVf6YhUy9Iy0BZfmNAEO9-dX56Z03CIsanJ_XCLvQZ9T378uEcZ1HASYHP5L_cVxnPN_CNmEI9UUZG45Xa7QXRRFX2ZkJ2uE_UAcA1RhA90b4yrgWrKUT_E8gLMgxP2Koj8YHIXUhgwFE7RoOEUN-_iW0i4JGJug9vG6MiHg5IRwPPx_MgJHZmLSDzkzpH0X0aFPMLFJtjcyTSgs4DgX-y4Vpb_abhE2wojEZfVBDW7IZ9j9BJUI9eh4smMmJ9j4QskZKyOUTdL7txhV3YNzE16h4yV90eQIHnmO9w4ppuggTu522oei28ZHnKDIht0-p0TB4Op69eyfRUzjZNtLySLchumQarYZPlMtuusNCFhJ8taZJmzlF77BuaPi6Hp7sFOc51JUsqb0lqCnrp1Y_5hJKrGcw2pnBBWc1VWR51y529o7lUfY9wifUyNuMdUSqigjuF_Q-kfvfKY66oZnTyQFnDPk3xsB2NlnufzaBsvscDxxqxK2Llx4AE7vQSqSgH7fKRI2bkF_YVVp46ICS2LRxb3tI0X9te_Fccd0xvKvvcaV2XyE8HL6vKWz1ePLd8BjOoSIFuisxTpq7I4njMMVFXqNf_BCDgCPcZDw-DRIKL_pYpxM1mAXDcUG8MIWK_v7BjWz8_g5NHpK4Wel7D5WIlw2Bgqj6ih3Vm8saLBBE4fX4H5rpbiMy0zyxOSzgnypRFff4A93A%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.5%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T13%3A49%3A37&sort=RECOMMENDED&top_dp=132&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
2;Hôtel Bonne Nouvelle Paris;4,0;3.0;81 €;17, Rue Beauregard, Paris, Paris, 75002;[48.8693177, 2.3495226];11 septembre 2022;2;https://fr.hotels.com/ho349955/hotel-bonne-nouvelle-paris-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=228004115&selectedRatePlan=260289903&expediaPropertyId=3673089
3;Hotel Libertel Gare de l'Est Francais;4,2;3.0;129 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];11 septembre 2022;2;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
4;Libertel Austerlitz Jardin des Plantes;3,9;3.0;102 €;12 Boulevard de l'Hopital, Paris, Paris, 75005;[48.8424292, 2.363216];11 septembre 2022;2;https://fr.hotels.com/ho127852/libertel-austerlitz-jardin-des-plantes-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953069&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200680478&selectedRatePlan=203344942&expediaPropertyId=1262
5;Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;130 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];11 septembre 2022;2;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEF6eIFgNbGPPxG_VlAVWtGD214foXAff9qczTdvOYs6YqJenqKQoOGn7cYdRIxQUU4_xajYQA8A2qlDHmdcYS8MiQ73zl5YeAs0DXWy_B725yRE4H4kV2tTGusUYyaE4baYe58sa65J73_MCH7p93o7mv2h8aOIT0-QmI42EVUxQDivivDF2PzTmUK9rleJc7jVNKtRM-1HGkX9SgbugQmTz-ueos__EORkZzShN7EAtcqRYJDfiSeVER6nKJWxUZsqbz1nj8XafcLL7r2xDIa2f2ytSDKiqnZj6auRj4x5KQTzZjrNtDcS0euIMJijuZNi0QqomzLxRfLsY0nCl4slOONWWsVrEW7VY34qPd4n4jxRueWoZu2B7MZ1BWNkUr9WseopavHApC_L_tdN5N9Plk8cTyeNB-rIIV11yfki2_YSsybhBfxRjgOpCUyYgn-xrJ7cljlLPG-3q96GnVqEvH2i7WlBdlk3tJ3DkFDDGxLBbZtKpxtuJwpBtDTvxqj895cSkDYhbzjjIpDxqiA_DxG5w4C223I-lmat5r0RAtM6qE6WbgERm-FiB6ExhbFLf8nsjUOZoDyebdqi70shV83DC1C2gu2Vl2sXC2iPhGKok56iJ_XtI7KR9Lp1cUFWyZr9v-09-nBxburWC6y2pbYEYFgZ3R8BZGyfbdcn1Og6NBiTyQH96aenQNJD9_n8NozSVJQt5Korc8_W9RA_j2l9ZNaTBxz42TpEquLeM2aHzLElaywuX8fbNYMUAbn0VVTKTHGQFDGXrZttUOMkRvtVQH-Qui7eKxB0zhPvPmKYDhP_a4Mt-fNE1lPdqeeiACycXgsNxu56AcEgLt9CmmhC3IiHQ__r9441QvfmzFtK4xj9BPOpSUBjKnC7LViDE2Z6yGN_UY_SBDl33K_RswfxpirZQM4UlJVTsd0m9KCWlk9JaENHt27bjn4dJRUYoDDJW1HTqJ8K347WG_Jg4Y8avkjdoGxRgyVzVWDpwK26PkkW9VfaAl1VHMd3RUw%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.5%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T13%3A49%3A37&sort=RECOMMENDED&top_dp=130&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=272899&selectedRatePlan=380879771&expediaPropertyId=1845330
6;Holiday Inn Paris - Porte de Clichy, an IHG Hotel;4,0;4.0;145 €;2 Rue Du 8 Mai 1945, Clichy, Hauts-de-Seine, 92110;[48.8977239, 2.3105703];11 septembre 2022;2;https://fr.hotels.com/ho264512/holiday-inn-paris-porte-de-clichy-clichy-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEAfhYyGMIT_n2XCvvNF3ce8tkMCe6hggnHeTYWgYl15fJgcU1L4asWL2h6BlLkiOpf5emzP2qMAyu8c03grFCyXQPbIOtYh8aA7TCIdJLBeQnx6Ma4TpNxERQP3HSFDGqEB3c39EwODg96ffiYPNrwM0npPBjk_kgfXCYEZwcCK37gajJ1kDdwhLq2gGGZSd6y7EDDrUZu0s9_HlTLx_TE5Sw5Vg0NW7o4wymvXyU4cuqulpWvgUBECmfWA2s-GmWg02Sa6OmUwvOwN-i2PomaHBtGc_M3GuKdId9jd2ya0NA2DjF5MdQNCphvXB1g43WLlW2zrIf3BAZpJCLrXNg1mWqMh7h5moRfMvoDe0qSonVGbxslrNjNLrBcU4vmIUU2MTVcxYizjgJ5uctKQo5nQMcJBg1UsEdXcPUi1FJqcfel3QYlj129QSFWVyTIqep8Znbq2bczqxXpgv76IQQhDdBRy3QI1CBvDpl2A-qNosKFQ04VifknN_yURZsa_wqpiN45RQpkFbFrsKfX2mrxo1yvqHyjPwIBkfs0Y4r86IfMFrQJ3gnJmowcLhPagSZCFJX4uD4sEG11NXjOouNnORycKk1FsbsuA-VOsRMDyfoleKKPC2qA2Tq4PP-sVcfXU8jfDvMQUpNYZxxJjyb-Vm06TFUrO98a_4JJ29kPVLM961_CTlH6u-xfLZFJ4AVuw8my3sz1aoGlHpEc-lNGwgrOILCRT4VAQghq_NIRFyzC-yyW6mpjcEKBootl1o52Az3p9ykC9UL2_4cEN6OD2HIuIx73eCP05uY_NcmTPfaOgq1_ec-ig-UZzqxbPTK3v2qVs7ztoLhJYC_lGfeUBQY-XIeCnBXVLXVePJceXjmc_fyOqg1AMQerqtuD_OsAWtF_UwM5C1RMftebaMIVf1ba2ur9RxkZHBvF6_JtOmgs4Xc6Jxd-ZJPSe2gYHweCfpkvTcpug1G4pCxaD1lK9Xr7YqE8fw8oYKrWRcOTRGp-Q8rqS15O8F_bNX4XbFiQ%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.5%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T13%3A49%3A37&sort=RECOMMENDED&top_dp=145&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315915525&selectedRatePlan=385056738&expediaPropertyId=1604695
7;Odalys City Paris Montmartre;4,3;4.0;125 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];11 septembre 2022;2;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=125&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
8;Libertel Canal Saint Martin;4,1;3.0;102 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];11 septembre 2022;2;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
9;Hôtel Arotel;3,7;0.0;507 €;74 Bd Edgar Quinet, Paris, Département de Paris, 75014;;11 septembre 2022;2;https://fr.hotels.com/ho2352771904/hotel-arotel-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=507&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315880548&selectedRatePlan=384914231&expediaPropertyId=73492872
10;9Hotel Bastille - Lyon;4,3;3.0;116 €;23, Rue de Lyon, Property near Gare de Lyon, Paris, Paris, 75012;;11 septembre 2022;2;https://fr.hotels.com/ho350434/9hotel-bastille-lyon-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=116&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213914723&selectedRatePlan=246113007&expediaPropertyId=560198
11;Libertel Gare Du Nord Suede;4,2;3.0;120 €;106 Boulevard Magenta, Paris, Paris, 75010;[48.8780017, 2.3547519];11 septembre 2022;2;https://fr.hotels.com/ho126956/libertel-gare-du-nord-suede-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=120&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201212300&selectedRatePlan=206256353&expediaPropertyId=1872
12;Timhotel Paris Gare de Lyon;3,7;3.0;112 €;3 Rue d'Austerlitz, Paris, Paris, 75012;[48.8468041, 2.370162];11 septembre 2022;2;https://fr.hotels.com/ho199594/timhotel-paris-gare-de-lyon-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=112&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201505817&selectedRatePlan=207560852&expediaPropertyId=1098400
13;Libertel Montmartre Opéra;4,0;3.0;102 €;32 Rue Duperré, Paris, Paris, 75009;[48.8820719, 2.334511];11 septembre 2022;2;https://fr.hotels.com/ho130479/libertel-montmartre-opera-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779444&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315632453&selectedRatePlan=384183881&expediaPropertyId=3703
