name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Holiday Inn Paris Gare De l'Est, an IHG Hotel;3,9;4.0;113 €;5 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8759599, 2.3587689];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho272404/holiday-inn-paris-gare-de-l-est-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965263&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&trackingData=AAAAEBc71N3urJYuBx9i-r7xkA2zMFuf0Z0JR27OqCalew0wGU1s70FE5Fnevenh0C1jXQEts05mLi7DXu0g3Zt9modHKTzZQJnMU1KrbgnKKpgpRmI0uEyGMhLhoUz6uhdhv7q_uEoCzlTlNn8dkqqg238Szr-nzS8VosDMDsZeTCS4BVv_8ovkd9wThzBvO6KEjz7wF1ev3ZQiEeNAmSDB4I0Pm-TzxTsDfo_64FkaR7VaD5lGVphxEoxv6M3krykFPbEJxzF1XvfM7YGgV-DlKft8C90yoSIEY46t3vrp3hS5ZFzxtX3HGG21Wd_BcEJRr6SLvqBLNu36E5Gs7LEvc0uGpVdTLx1DCrE1C0a4eefTMjQQnwzjVuq7j1YOZAovsdBUSnrYLN-fgsZBfs2nnn70Rg4lvejRE8anUdRqkGlZTPnsK0Vh2Kq0SyCL7G1K6E-kBYDlFAV_Te4QTqn_WiD6ipWd6zb7x3t0HUJiP1kGNml_EzRwbDQF7exrunRwpGwIRK5a8BjSnTGy-ZBzUGPc1xpElpVMNMByaR2E68NX-k0PxcrBRfgmygnsX6XQLZ01KTHQumkwpkb-xlyf8VvJqdLNAiwBFWhRG5qSqR-Zfy64qidW_QqWUjeOtArJQlDlwqA5GCOSRhLHKwpqhU9kvWcAe0jCjTgCh6v1g7aGAzrhgc59QfZJjW3lm7xjVsM8m6T2HaMf3FVPFH9NvEBCV5KukupZXVfy5fDHoLb7uOPADWGh63FOaxPbHk-VZQnx3nA5hzvR1XYS_ROmf8gWU6TtOspwoS55AqMetUtObSo-DAUgokuIs2QFRVuvv58M7UEOFCyN2TLmqWnehGPpbrCT3GYOCVsrcRFpNR0GGCBELeMhul-Pygj6yDJOHeHrQeODPycEW_q_-L3SFVdPaxbiPG_-esu5nw4H9JhOmjuXSWVFB-AQ_Ya1mmcfBvaR-74idDHSop_RbeUXbOfP-s1e2ahoL42uDr2PIbDk__rGArUznMwwudsv1PQxVQ%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T10%3A49%3A23&sort=RECOMMENDED&top_dp=113&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200202373&selectedRatePlan=381005691&expediaPropertyId=517050
Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;139 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEF6VccBxr176YueEPOnoSqaQ-8-1BL88rBHCWUIDkDk2j-quFZWLmE0uARQ4tx4I2RSxqBSXlBWygk_2oM6PUGoi872Je5-baTqNpezMYjVYHIRtv8rDly2D47yR4fW2VtNNi9diB7S7Cssca6KOLIvKGKUztSupKebqgUft8amVieO2wZT35UVmq-aYxpseJ9Hh-xjdYhleinCawwdu1EWISZjstzdyVygF0ViFUhEtRLe7lt_4WYRGke2VjEOLix7BzEB020Ep7uE_jJor_ueH_VVfb077QWORXvUoNY4phMaR4QLj98_7pCGL0S3bjDubpF_sFrBmCsYZGwLXPGm9MLdQj_sUHqLao-p3eHoeTeoS0Ie7p8sqQ_q-foTOOraWfkEyzj5p7PbtkHqOkXeqv1_ds6aory-pdD926jPSjPEuyENyoTY49kpg_fb3FREJ3vxvQmUOZufAJ96_4ur4H00ibnG2LQANAl7_5eeDyI6FZ_JoxASbpMi1OzNjrB5xAIc2GJBbNcbwKd52JHKlE7sJrjumiiBMK0xjRTOmgD1oYTQ8O3o8qcJovukh4qG_i1Pojq5wms7dHsPg0f5Bs0jwairFqzcG-it0QCiOvElZkmldgtR0ACjEyVvXU77eJkOHmCV_g-EwzVZ37lD7I6rRpLhUHpRwEYvTeQq8SQjN2DNx0zWKrYjGkogzrLRsyw54uO7nmzq2XjXpsO8eV8Fwgbz_D0hyF-WzGXf8ZwjjurbE-NYiFCWk3TRgtgz499NQt1KYdPYlqfBUJVIkou5VA1H_XibpvY5gVgvV7uPgdy57JoyfNmGYeHyN6mLTjCTI1W6Y9EYUbUpeG4EZ-1TSyoEOFOarOdgSKv0mUGarXyS-YqLYM4WKzHs_kPpmXEB6ROjtZd_5GjMuctB994Q5fnfA1qFzcISsQmRUdUWKWvhJXb3-WE71k7lu2jPXojG_JhSj4PAdDmkF5Di-zAESYFOg7YoNb5eZlM6jrl2NAXkLgVuhMwJEaRF6eA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T10%3A49%3A23&sort=RECOMMENDED&top_dp=139&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=272899&selectedRatePlan=380879771&expediaPropertyId=1845330
Hotel Chavanel Paris;4,4;4.0;142 €;22 Rue Tronchet, Paris, Paris, 75008;[48.8721869, 2.3262636];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho453793/hotel-chavanel-paris-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=6187876&sort=RECOMMENDED&top_dp=142&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201700983&selectedRatePlan=212164072&expediaPropertyId=7831081
Hotel Libertel Gare de l'Est Francais;4,2;3.0;93 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965261&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Libertel Canal Saint Martin;4,1;3.0;80 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=80&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;99 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEAXOqN0ROTCYG0xqhw5UuZeWjj6iw4zz5UggdzzKUHGHNQODZM10qsk8P9iuT0AvOsgTUA60T06wX3Q6if85ZHwrbTgXGPcd0lvxXn__jvNmFpOk0u8-qu728fK3syJtc47IF-pnNtOsyNCN2l2sN4pIDhTVtyg9E4VfvUaXdTL7S6UMzvuhYFoa31_Lsr7JcL9TYNpjHNS7M-4dkFwyillcArgxwuSRk6oHg3UnfmlE1NHlj9DmLbJyQKFLDUe0mHesAAif-ZG_m94dM2Vl3DoGXP39To6yI_vPvcfIkewQOC3glbWkG4UdaoTpyzDw1ja9RiqOyyvs_YLFJWSWhb3j8urqos07zNb0v6LAOor_aUnNKOd3nbnprJzowGr_RRUyAz03UhyXJJDIpcXpp_nnQ5ipLzhgTH_gAjUwQ2AepmnITMoVdcIf9ZGocVUiFxIVghxQmlCKlLnrc7jVWfOhnA46GSe87i6Z2XEBbf39Jk33Ro4ef7cSxXAlO8eSqHhXVosy1AjjL-QH4x4fxa-HvIHDSyao_TlxT5EPYSSlWXwrLJbPcr_CXzEom2AJCpqrRE2XXfYZ9QGMH1GQG52bmhvWmbHSstKJi30k42up-IYr500oE7vbAB8i3x6dE0cZ1odMFRU1-QhqJ_XM6yx_GqZWHq8y7sWT6cInSWKSI8aSEXwAAinoXcK_FkW9yyG6BQnlad5ysibTULv_hOLpYqav2QHlJfoGoxNn2hyrGoLUSCWmhwDzrVAw0rLc7mncTBOY_3OoVM7HxBYQIcHohw7ikME7hpxroGyXSSesZREH5T-UDaKmt8P_9JkI8OZrHfhelZMSHaUoLd-R84PeHNEmelDO98ZUQrs0UOoAdLwTIK08RzilA3Dvk-3H3EVN-zUJBcHSmTuhKjRzhe0XwqKsKIfZO7UAldA6tyMtkom5uDN5wLHXcF1JgSJ53oP4i4Pg2mBT5UPQkJInzKBc-zNjQZBXrHVx9YzbIFpdTkWffQSI6YxFdaDguscGCA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T10%3A49%3A23&sort=RECOMMENDED&top_dp=99&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;141 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEIFPulhbq6ORQR9pyFaRtLTlFe5ZNWlnkU3W94dj9ABGcZHV6MLn2IZK_dH54NenodLE9smmMeZRB9vslTCmXh_KSyEBdlZ1yHdV-REbE7cmFxaX8pt6aCsd6e6kQx9WSOSmGKsDAOwYvrHA-65J3yO4QFE4vqVJgHdHhnTm9P9o_DYMcXX9NSY4m0Xmux5LOw7OYJ-VnvFZSQax5EGBLjmNWSuVnpczhOWGAnLsn9a2eO008mh2mLqIhclZCHkRqh0zAC2pj8Fn-2sJBBuKb7enwUI6dfWcHnLGGgl7Msz4xr9M72Y_slEXgZKVl7HXn4ug65UoC4M_qEAlxJLaSukWcSTPAVhVz7lW-PAPcoJfOIXsdXASsKZ7z4xjxxEUwujLLxJ5W-KRCaP2iaS2f-_TsPutsAlej2-MFFfVKmpeCnRTDtEw4rctaBus4vZhnx0LO40z0BnBHHlvju47bX4KpVny7vlmwvhEGAmq0LHWzNjhnTl_aKUOrO6RSAW4rEfPCWr4KLKIBRCx_Sgtsfyl5iw0iKT1Dck2ZuHuqRzOQi2EB5hdfDJT8VtLEuN3j1RRSoNXjbH0tSfbEpyrUAqAU8dy5tUuHWOGL86io1v22tyPHysAfEjz2Okz1Ag12eV-qRd7Sjwbl2fA_E80zgL_Sy1KuI_6qxWVMF6gf4H5dU_O3fmg28tGmC85lhpUu_LWmFF7wWxPrRJc0iOEqHkAkou2-oigwlbd6GMmNIa5RI1oj5dzmtBo-GMaJMLN0aE9WVAzazB3mbepVbF4i85ZL3xusPFLg550GW1r-8QjYfHHx7iRuvKa3Qk4ZkTe1E5fiXz6WbJTqafh8lkEPCJNUtVLeWUEzhnILrG0LY0TKm0utHKULviMlM_dN5lcFlrU9g3mok-CbFba5BxsoTU3FFtzEtY8wv1B69EI5nTPqLfXoj8UOX78M2-T80K6Wkd5fhGsawgNLp0tS63oWQ81O-OxOQG4Rk2-0iUc9BcpMJxwwHhAUAfo6MoDhHylHg%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T10%3A49%3A23&sort=RECOMMENDED&top_dp=141&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
Odalys City Paris Montmartre;4,3;4.0;125 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=125&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
Acacia Hotel;3,7;0.0;82 €;30 bis avenue Parmentier, Paris, 75011;[48.8611455, 2.3778135];08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho633071/acacia-hotel-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965258&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=82&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201709405&selectedRatePlan=208580451&expediaPropertyId=16344343
The Walled off Hotel Paris;3,7;0.0;151 €;44 Rue du Faubourg Montmartre, Paris, Département de Paris, 75009;;08-11-2022;08-12-2022;2;0;1;https://fr.hotels.com/ho2395893696/the-walled-off-hotel-paris-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648550965261&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=151&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316079693&selectedRatePlan=385386751&expediaPropertyId=74840428
