;Unnamed: 0;name;grade;stars;prices;address;gps;date;nb_personne;link
0;0;Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;285 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];11/12/2022;4;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEH8zoT5uCFBuCyHgwvSK8TJywchKY78GBJDNcAUX9J-P9KU3DVDBQXPp6pn3Hqr2fD45rGfEm5M8w2OAOLySZTM5pwXENjag-nBeeDwclWlgjsL8lYqg6BvEl2raSzURUmDEgA0ZgZpgLAmQ8vvFZ6O1IJ1C0L70OuEE4j_jYXB53I5Qx1U1nrszHJDXq9LZrqkJ0lSTyHb4tAn0StowWdcpmHLsgm2Q1WSYUHr4AsdCCQZb1wxyV25bEegnAxucLbHoxWZZU8GUpcCfG1-FiIOh0Qyh6bfu1zqBZ1IYwuPuHwIQAkCCb6oY8d67Lp1iOHxhx3mqvAADN-q8H-GcWLbCGKW3ueIyrIVEg36JT44zCK7Zq_TkH2llP9dU-8zcIgvsMplaPnwqrjzgHlZa0Ou6QTHy8AMunHS2g4YQEmkWvTpUfS3d-RauQAWEQuw-6ESHqq7X8p9LatrGLqV-mcVQddoRFfX8-8-dx_UI8kBuSxVwHiOZeEzJ1NyRcq-AjJfDk4raEt-01sl6AkANpjmH7eoN1Ul9x4nBq4j7n9aAsDfb_uNv3qgrKVtzX_FCwfyboQaESKrYi5IHOfVt2u3vi2s36LJWB2oq4gYGKlIK2GjIQd6w40vh9iudxv6-Zyp-H2JmtVm3ym0JQfeKtUONmFWnmCOuA5NGtNcv0dQagdl-rDsQZOfvLvw2yUF2JntUHEDmFESNr2pYnoMob4XrGyretgjiAxfHo3i4qnNe1qXZbPXC4Eq5JXZkAHCTlQHu5YOaktmVP4qcNsZbqdkwHLqgNIfe2hhI3R1O-uHmcpptFFTxQE-L3slJPIkOlPkv07Pi4aW-hsJquXFb4e7BeodddoREKT41zlSRWi2rS1u7M1phMnSi1xmJp7azBeivO11Tcd-5s_em9si7r8JN98wkkA0eoPjn1--cSHGsOahoPUgfmJ1opjtzzU6MCF4ie-iyYJpn-QfSXOJtdy_xlgNcYMByVMj1EDC_UR1637ZYH5Dxlpe7WDOtDXFXuQ%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T17%3A54%3A10&sort=RECOMMENDED&top_dp=285&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
1;1;Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;311 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11/12/2022;4;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEBm3k6zUvX4AwivtLC120wMtzdnNcwc5p08lzS16R6qfqLU9Xixedxp2YU8_LL8mltd93fM6_uYYbC73yaXQHLy2sm1YmEKNvO6-ikz9ZnG1s8kPG_g5Y3GGK-S7fUlGHUy_PLG0NpY6s-w3kQlkvw4phgHO8_VzgbfgXRGVz9p2201UlMIVpMRmlGKsFX74q259udzZdhr_wazQ6lR-2Hj7YF1ns1E-B6UnIqFpNfKb8h8AF2rSZLOWdjMhKFzNtXPYOCF-AfhydfPJJyut-4Get0WxB4fk_R8Qc7uLUAur6Am5XZXEilcURPSCF3fAbMokdZv7swuir-6T2GXO3Hw57OPY_zIVdS_C3nhV-UFm0Wgay9XuNgdC0Vn8MWKf7P16HvFcHqODCvgmI5ofaB2VpM7tKG2IJCxblRAKyDhAdKluVxZaTpGWG663Cbf4Z97hVXJ6M2nGVz6n9hFru3EBzzVMKSqAJ8apkLiDSp7DTVuaUnzGo-LRa7uAggYHMhy1wi93qqsdfz-Paxuj7qR0twC1HVfUUVo12daxV4iuGKrERJJzDMmX-kCFpDtrfSbutTql-t5ei68_zndeZpuv8QDqDXAlW70VwTsO79ua_fjx0HnNnMs9T6LLWospaKQt4s89C6V0ClVH7wLoVisW0bA1wZAtU_zMa8O78vgL1Er7JySjZNvoQptJkT4mQ2Y7qlb9qLsmljPZhsT-7l_YVAoPDvthdaur78Fy7_aRjWwf6oG0wpmnSTcnxCScTAb7NhxGtsSHXBwNZBSclEWpSfO3OdzLn86NFcjCUYtVA_XX0tVtEokmkJkorzPxtn-dE54b_Gk2ZlfE9SaOYDtWz-xyJ1YHWNeaR0oNvr6qWBGdjGakS_08T8TS3y-CPDkv3eX1iuv8FeHbQTysQQlJcH6M7ZHTir5wi6GMpT_mqohULLJKxgUl6ZMnoGTKn3FHvu8NdqIgfH90HSHBSbKDLcwOWFVcnRUFVKo6mf7fZtTRhcwVoS1nCY0PIbLJZA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T17%3A54%3A10&sort=RECOMMENDED&top_dp=311&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
2;2;CADET Residence;4,1;0.0;228 €;7 Rue Cadet, Paris, Paris, 75009;[48.8747685, 2.3427513];11/12/2022;4;https://fr.hotels.com/ho323230/cadet-residence-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=228&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201710598&selectedRatePlan=208532294&expediaPropertyId=1633756
3;3;Hotel Migny Opera Montmartre;3,3;3.0;273 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11/12/2022;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=273&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
4;4;Hôtel Gabriel Paris;4,4;4.0;326 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11/12/2022;4;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=326&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
5;5;Zenitude Relais & Spa - Paris Charles de Gaulle;4,2;4.0;160 €;8 Allee du Verger, Roissy-en-France, 95700;[48.9981835, 2.5150959];11/12/2022;4;https://fr.hotels.com/ho371971/zenitude-hotel-residences-paris-charles-de-gaulle-roissy-en-france-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451676&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEFD4jNlrhm3NngteDe9csByqzZEVQ4XJJSEGpm6cRdtE2e6AA5DgHxBn9n1dfgtdemuEpZCb__Ath47vXfc83AKibxx78fNsRwVwishhvQ2F6YSVQtjJ30FBUQeONS4ovhi7Q_bY2fTCY7zL_ml61MxD8cfwjbHK9RzToggyueYxWwHT60R0X5GA6qcSxTsDA5cpxdJTUCYa-oC1tsAshWZ2mqJeloV8u0P6Au9UjZy4PlhQxUItfkkb4rXm0XWsLLkSsX9aTwFad34ssvRuPJ9lSF2o8uq9dOrLCMy6IWBAJjSUop7UZzkVosGNm-BLMV44PzeC401aCnt9wNE0FlzsmnE8Yvj3OF4AbACxPx_pYZrxOhNsjfkDxn1n7V4EcIEjmQfVyEuGXt245gwRY0pfY_RWyqXnPBG5_S_5gxid7UtIQdpafrwkLs9hQJKaGrjeyTiQQI5SytZUuv9oYR9Cs2TPpTPQ-vulclqVrVGQnhNjzII4RTj3u2WYCFD8MeChTABebSdvwpDHBnjfR0GdKRLJtwAURj7Pp4GdgJ3_qHfcuubl7968cJEOJywXDYwmhrPV4ZjJqaBnbHCzLbahPHY02O9ljC6yKAQf8PKegSPyxymGbNM-_Pp-wgHKkHdEte3ESQgpbNN6Bb_1LYj8nuo9Vwvw1kBNkjZJKfD910SjpO974uvz6BARAVGmm-FT3KteA6qSSkK3LXN-pHNRc6qDaWw-bgv5_le-6j3dKdakKo1O-QGZsZmvNnK_qkTS9WKbNsong5BS5VG40lTtZYfRq-ODl2HF8tkWL4kazrDEuMqPOx_5BEsDBuGw9CCgjOLAw2fR7r27bDF9GNuuvc-qGRln1W3nUw2Eopq-q2ACWatg_Qnp8XJQ8LBzOKymzY7LMgnpVDj4FpFiEAMpLFga_ChAFaw4EOmD6OxkCYn4FgQouSZ2QkBexkNZVL_O7UqB4Mgxq-69qrBc0lng9lZ6zzY38jW9rg8p4yizdeMda83Ho1tjLFcRe-A7Pg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T17%3A54%3A10&sort=RECOMMENDED&top_dp=160&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314164610&selectedRatePlan=382578987&expediaPropertyId=4223609
6;6;Fraser Suites Harmonie Paris La Défense;4,3;5.0;203 €;6 Boulevard De Neuilly, Courbevoie, Hauts-de-Seine, 92400;;11/12/2022;4;https://fr.hotels.com/ho527539/fraser-suites-harmonie-paris-la-defense-courbevoie-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957542&trackingData=AAAAEF_Ib0p2uC4P4fnMqCm9OBExlULTDsZtmQkKqTGEd9nNXDkC7p4DZaifKmK0wSxct6mGP079-7mml7TTODRi5CmRcKyuyMmTzzPap1QXm-yr86GSDdZOpzz3UxqdPb65zutdJgFY5CwPz8GEsocOo3Al23qHevqjvNGLLd8jJLkyGB1Mv0RvGjqfDt0XwwWTvZK0J7uPCeTy-pGJnci19GN975VzlpKKe6hA2AHwmtUR_xbshm1uxOShxUX2_FxfeiesRFi2uH8se8kBlGRvRbhdwPA8OlT5s_FgWBuZ3ytvTTQUNn9Yu0e_nmDg69Gbn4bLbu5rmkiAfj4rWXgnyyGZro-OKBxi1gWeJO66fje533_Ufyruj6nQasjcYCo4xbQ4PQidwqrFWVxXR8yvzZp8gAEOLOtwXV9JqZCHFzjb5n_o2i0uK7uSwvcHLiVKqpz8IRNB9pUUNqRb_F1D29HqzmKLLe_nbAxqJY9Sl_RMXSFXUR8l37HFGGI8f4TXvS-QNgj6BRG2ybWIR22DAxHsThX5HNrxBmb1Rf63y-zQ1P4-dDJgCDcacsQGIv5550DcEHxdfwUYmWxYJzHtpQWua_Qv9sorhMwj1RlNy6AglSL_zmNdPhtqeTVJ8njfMHhi5xna4NF-Oj7PIb-XYMiqUiduPBCu3CDqcb7wINLx6wQZZ3SqPCBjRYApmZYCcyvyQauF9FoEg3T2fFd9Wb-nuoa41CIkOpuWPPkaDbIjGMjYmoVlpk2YwrctDOYQ9PeL9VKE_hhTZYMfXFF6HCAhUEFXGVY9yfN3EdTQ9wan1w6TBJmDRzey5_8HDPFXMPICcVE0jlseNoUvlDn-WDuBDMgpn9kE1xJzWyPsAvHE9UtfXIlkAN76ZYS0NXhFms6T54Dwr-AixQy7QUnw3Ma_31-E6_CvsWVJTLZk_xSm5EPCLc7WGOploAKegHSeEnXQXlb3NJLwPzjl6Tc37QjI_-Sdus61CDIVrdIom_Au4a87-qklrgz9vSNRTixMTA%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T17%3A54%3A10&sort=RECOMMENDED&top_dp=203&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315598108&selectedRatePlan=384105622&expediaPropertyId=11252046
7;7;Chabrol Opéra;3,6;3.0;139 €;46 Rue De Chabrol, Paris, Paris, 75010;[48.8771944, 2.3511106];11/12/2022;4;https://fr.hotels.com/ho391643/chabrol-opera-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=139&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200541104&selectedRatePlan=209228217&expediaPropertyId=860317
8;8;Residhome Paris Opéra;4,1;4.0;281 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11/12/2022;4;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451674&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=281&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215153954&selectedRatePlan=254255379&expediaPropertyId=1584249
9;9;easyHotel Paris Charles de Gaulle;4,3;2.0;92 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;11/12/2022;4;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-12-11&chkout=2022-12-12&x_pwa=1&rfrr=HSR&pwa_ts=1648576451673&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=92&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892973&selectedRatePlan=384961113&expediaPropertyId=73212200
