name;grade;stars;prices;address;gps;date;nb_personne;link
Disney's Newport Bay Club;3,9;4.0;382 €;Avenue Robert Schuman, Coupvray, Seine-et-Marne, 77700;[48.8630773, 2.7902574];11/02/2023;2;https://fr.hotels.com/ho230007/disney-s-newport-bay-club-coupvray-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEDw1L-FajgHfN8VBSWbepvopiA0PVC8zgh4EmL3SmxYBfHKOVMpY1BwCR4QjkNjGicBD0T3b_qsyV32aMaevUQ5JqtXRHuLDhQ3hWk557qRZZzKLNeRMkp6EX2nj5ljZGdzxmsJMj24W544YSeWiRrn3i1JdoXXKUpOCCYothLOkl3wdlauJ3t8GqCZ7wGGRCmxCcyw2jC9iC2BXKK5Mdm-MkiMwlC979MkCHR16dvyuXzEL6B1hcePqDJoHTGVX5_kpgxeWgyItirrvP314HhWHskukuvH5MR3Q4CU9Ed1RLC510Xs1Vef89uoBMjKAkeBiY8OpT-gvYVCBCBMzJhp82oB_yeW-ttxB4geiYDY85QsxL9_2WoBjiy2XUeFSIew5pHy3PZFrT48LQ7PDKkrRceqY-rpEhYevLOu0-mSLQttOuj38eEWEad_-dSgoqM7UJ3njBrCYIi2oTftr0xWZ_nAiDJ0TzqYrz3i1wioydLKjE7DFuozE2o74gDDIiQer7w6YXa6vF3RaCKiEgLv_fJ3gotkcPG-IMomfxAyt5ztLCglI6y_tLG2jghKL_axqDsrCwgjbnaLDGmI0CQY9YqKIcwYymJ09htQhuS-2MKsq_DQRj3ANvB1W3JsAHG3bC6gbMQoblVpwGmgWh4baE9NRe6HZrXjv7RiX7P-jOFSejGsq9nvZEPuAzWT4xT77zzGIz1Jbpm7xcNLCl7YlTR-Lr-WtL7-IBltZNGDKRXUyv9w5E9zOWZVr3gTeKZLrc90Zo7ZF4v7ujHc5klTM_FZvVGhnGEic0-tSJvThaAscyJlH81XdDVdohL-LKCmlO8tkBVyZk9DKaX7nHIuOgeM1jEXUWwALFcLjnJsRP3zqEhtE-a6omFxB57fU3WXSljpCP19K4qLI9_ryqYgQ8W4_xJETNtvxKYstS0QklzKyUyYgnsJTCysoZfdQqhdyzWaJqx2UJkuVwy0Lwj9S_IznnMkqt8S0tuGfY91IGw3jD1qNMLsLfVRlpEPLNA%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-29T23%3A13%3A12&sort=RECOMMENDED&top_dp=382&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202160552&selectedRatePlan=384800750&expediaPropertyId=1102912
Holiday Inn Paris - Auteuil, an IHG Hotel;4,3;3.0;203 €;21 Rue Gudin, Paris, Paris, 75016;[48.8380057, 2.2585093];11/02/2023;2;https://fr.hotels.com/ho266605/holiday-inn-paris-auteuil-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955995&trackingData=AAAAELbnpMDeMyyM-GJzPrtn1Kh_M4YI87KlnuM-rSvJDxyTprtqVgx0L089xNH1SeomNv68O4WqMdiFW9YYpo4bkqiassUFqYGAphRmxC5L_muaEQ4ufGkk0WoVo2UMCQlPN_01LHQQkeaFiSZCRphtm2Eo3a-GjAUGCoWu2C8S3_AWep6sqYLqaOJ1VgkeZnY0EqKG7vkijuzKoBYBIVSDQ1uMn1VP85HhnGDppTyN4vq4Fgmy_F75_tQWhj6jAJKVWj9o2fxCOqRTj8HMIUfwc8KU5Y-gjVFZSQUuT3ffTiQ6WyfjHOprZ4edtmitMQSc3sAKKzWKD8qDCCtAkCCLpKXH3OxFR5D1UJqhx_3GBoCV9kGYGk7Hb8AR6_5PlepHHHU2CN2Zz2qNVYReaBf-fFN-zU2tnUfcG6a6jPfeRJBxTdVoHAPrOL7PJa65KSB8yROOFgsQCQ9VYOOj4-Ck61tgQIE8z5CisbYny04whdNRO4AyOXsjvY3AYgpq9t1SmsD2VjguVnaxtM6qlBcH_ZA0YEy1OQoVoXUOhhfUIKeymC79ANMcCiWOZ8kowN_eYz9jxuh3AzH3tFYd0eQ_sapMT4EVhG38no_f6EvFXRW9J-9CZ7NUzT6UUqqZkrb58-t_U4AKnc6PnLNYo9wxsnezWfqphDxKTI5VTB1xMgNSdbzCE9XllW1_rUj9-TpLmX2qQ-lUYuBA3U0rLlFTaDTazUULARcUkClA04Pw2ZpeAWBIArspwZUMNa8pWXsnsiBuWiNCePPXHiCUzDCb5g4BQS-WMx-AU_OWONjgR5sDMTyRCkYAncwd_9gIaetzJZDpzDDvslts-Um4oUdG2DMUM3JdU4q6Qm1cd9UZKHQMuJKAe9DdAL_7ZYW7xXovrAbpS_WCYQDiK-mRPRXq6U2gnNmQ-eg28_gcvm6m9eU0dKPPGMZUJz87905OVJwFNnmiO7uSKz0a7E2CxcvwcMmWp8Te9m2icWaDPWrf74wuiwlafS3TMDaot10PhV9t3A%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-29T23%3A13%3A12&sort=RECOMMENDED&top_dp=203&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231581&selectedRatePlan=381005694&expediaPropertyId=27154
Hôtel Bonne Nouvelle Paris;4,0;3.0;217 €;17, Rue Beauregard, Paris, Paris, 75002;[48.8693177, 2.3495226];11/02/2023;2;https://fr.hotels.com/ho349955/hotel-bonne-nouvelle-paris-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=217&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=228004115&selectedRatePlan=260289903&expediaPropertyId=3673089
Hôtel Victoria Paris;3,5;2.0;81 €;2 bis Cite Bergere, Paris, 75009;[48.8719956, 2.3432857];11/02/2023;2;https://fr.hotels.com/ho578883/hotel-victoria-paris-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201464150&selectedRatePlan=208119537&expediaPropertyId=14777624
Libertel Canal Saint Martin;4,1;3.0;102 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];11/02/2023;2;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593631&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Kyriad Le Blanc Mesnil;3,4;3.0;55 €;219 Avenue Descartes, Le Blanc-Mesnil, Seine-Saint-Denis, 93150;[48.9499766, 2.4635819];11/02/2023;2;https://fr.hotels.com/ho232444/kyriad-le-blanc-mesnil-le-blanc-mesnil-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEO8HR9UMr_t7BIVaBgDm1XscgOdLoUTOSZz1VAVIO46FWwTdohRtxNUU8GvwAAkkIlCn36yvykl6y_TZxGozc8RZk3RA-KOVe9SrvTbPwH5trt3iWh8CqMXkImoDzbkV7n6A6vG8HKkHhng72Ddi4pw9LfXp86LeNCDSPzUwfxmbYtKOuI7k8T3cvm7STWG8BsH6hpAehz4CMTIXdo761QLg58BGbrgjcyP6Zep9s_f4sFiYjhMlglKD1PLoM6Jg4EC1xlP9C6BrXxa1j6uH1RH0LtBk7a2HeXew_5KT5TCYPc2HgVfPgYSYoWIo0vFVxHnMVC8UC4HlkDtdWfm5aFneGGly3FjEPFNfJotZDKra23-UCc8ZqgE1h0C_TXGu6vCSuNaFN-uhWv3k2oqQ0-Tec33uR3tqAJF61eQCRN1k2Vbs64gwD3qiIbAdzkNbT2-MF62tqu_RNu1XKSJ-5L98ImPNOFtPR5w2YvYo9fNxmQs0yeH7GfYa8GhetBLNqhlJBNmWM6xy0tDJ8v8fRplYkB9PqEeU0lRgaZH5aYGzIT2nIsk_CrxU2yShquhIavhLPYtGMm-6IX7dmAj-gVlAlVEa6PBKIFccEmuufoKRQLn4je24wjUzVGRsxMCtMZ9n5iFo8ZZ_Do_KYi2WGgmSNC35HvR0x-hl9q6Nwju2w373YgZ2eNpJg5bdOop5OSQNOrSGIJylEV8nkdJ1-KLYlaOIZKBZIGHtv4bh8u7t_XHjXBGz8uKyIokmyXhCcGF05a5TySaySRAALZNqT8C105fuDRsi9dbVJmxIy1yKs_NdDDhNb9oEaPj5Ey1MWyfEg84QWYAIbl9rSDabW0TtH2OuQg2NrX3mc5hFSnq0vbORVoJZ26B20zg4yowbVZvAbr_woa4odR0BrG37zo06vJwn-uFVsKO9zM6ZNcmLONuvnpbd3o2gbjIyKXMqRuMWXU0S1j3Blkau7DalmYJkunvuPEwNe5ZZ6_lOjauACfb5jKQacj6YpDNZp_sdXQ%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T23%3A13%3A12&sort=RECOMMENDED&top_dp=55&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=155201&selectedRatePlan=384133253&expediaPropertyId=1598223
Campanile Le Blanc Mesnil;3,6;3.0;59 €;219 Avenue Descartes, Le Blanc-Mesnil, Seine-Saint-Denis, 93150;[48.9499766, 2.4635819];11/02/2023;2;https://fr.hotels.com/ho194352/campanile-le-blanc-mesnil-le-blanc-mesnil-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEL-NJrWcDs5fXXNKFZZ60fo6sWEOvGYLqX5USoWivmFPxE2saxpCb8qbZ4cI1OmRjcEKHjaZR44g9XIq6pV60XccXvwy15s_t-krfaTMwUhzBv31WqiWMxtnj3D89xdReQSnQf6qbR2lmafZQXVTB3YzRYZ5yBi8CoHdDfuj8rJYJRPTJb9r-KDNkGthfQGMrTwpS-VhTHHgxAhMLmH2MdMTARcgkLpeUZtPYfXG2ghdfoF76uFj-5CBdpcPFLUJ7zFcz3Z3-j-u9KAizs7_kw1XXOq8qLNf_7Au3FAVkpejO9Oph2EKbhSSQGCReXLIJO3FBxCkszMC3Nid2yeC4-4VLEbyjiyV2-QKuNHTlWq5TQE0g-1oI1aCDvON_oFEt_bdV7qWBEh8Ul2UuzBZfpXtz_oqv683SxayA7rJIIVAfQdqSkRS4DaIBxduaA2ROn6JYppuevfNp2yC_fFOnzxnBbb0X3_G1hYxdZrFEhcWg-whV1iPefk85SKMBm8yNZjWhgXE4siBqDPk49owVX55F8J-aVcBRqpSd_BgFwpro36LgvUWFpz9Vz26Czj9-2doiN1iBLKoz6wlFQtPJ6Frtsg6IxfVh4PSllaUik9ILfhHzMkZs_GiHNNp1Gt3PtdfnVMw1OLgJhQmOwcJVRSkAjz2ZbCB6Txung6_6SPsyooY_J_NkAH61aXSl3rmX6cJlVFmBgAqV1WmRQoZp_t5Oh5h1tOhVkcF6C_72Vr55upuFd-UugAj4bVrX1E9pWnBBOtNTaM8Uplm7cBNlfd6r1tAZFGgw-le0Krgy17UaBWCdSZ_7iu7N0NF8Zm4HBXaXYfUCTkuOBCBqvF3ZR8KxvBr1nZdxfKF3JgWnzWRd3B3gciyCTuFRlY1WKKwDyiuPPsZT1H6pc9e-N4aK_S7zGeJ5UJYZBzUT-BvU05KqHXe58uW3N_07SuGJOFLNitHvT1DeOiQlVstL3dr36c7NKyST9u8XlYqvZr5K0bi11lPWwlumou3zwmF9mZrfg%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-29T23%3A13%3A12&sort=RECOMMENDED&top_dp=59&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200696467&selectedRatePlan=384123800&expediaPropertyId=659924
Acacia Hotel;3,7;0;88 €;30 bis avenue Parmentier, Paris, 75011;[48.8611455, 2.3778135];11/02/2023;2;https://fr.hotels.com/ho633071/acacia-hotel-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593632&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=88&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201709405&selectedRatePlan=208555182&expediaPropertyId=16344343
Libertel Gare Du Nord Suede;4,2;3.0;111 €;106 Boulevard Magenta, Paris, Paris, 75010;[48.8780017, 2.3547519];11/02/2023;2;https://fr.hotels.com/ho126956/libertel-gare-du-nord-suede-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593631&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=111&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201212300&selectedRatePlan=206256353&expediaPropertyId=1872
Lennon Hotel;;0;109 €;129 Bd de Magenta, Paris, Département de Paris, 75010;;11/02/2023;2;https://fr.hotels.com/ho2372847296/lennon-hotel-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593631&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=109&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315954110&selectedRatePlan=385139025&expediaPropertyId=74120228
