name;grade;stars;prices;address;gps;date;nb_personne;link
Disney's Newport Bay Club;3,9;4.0;177 €;Avenue Robert Schuman, Coupvray, Seine-et-Marne, 77700;[48.8630773, 2.7902574];11/01/2023;4;https://fr.hotels.com/ho230007/disney-s-newport-bay-club-coupvray-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997928&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEGwjJSKM7K2BF5RF4GIu3xzV02qZjJS5-b-5IX7zVVLL503-pZjj2bUpx79kzo-IGkx4lGiixV-iGagqgpvmgUmvlLIVOYo0OVCMrZ4f5s86hPwVw621GTScjiTUyGcdHN8Ocpog-sI1SJixDk3j_drkWt06L69i1JAaOuW50_LdP_jV2hJHxQRTB1ANGTHTj1mN4hCZfAC7fGs3mqkeqKdRt3n8eaucT-3ztHu0ENxCJY2bM22fyriVbs_KH2PVkqoeukrumdFc75KJHqNYOEEsvOj9nhKJDMufPwbUAp7bFoC2bg9l2KtIzcivrQpaRrIYoZuH0LfEWlX5MNyh_ZWzgG0OQsTbCNqUmAcQTgdSpJrJ06b_RwhRnpXeEL1DYL_RUgDYh3cu3vb151Ak59ZXp627pI4iGDVQOuCUX9vHjmG-s4lp-Y2YpE59sE6e3qyNm4NQkOM--P6Ouv49oGPTo32vSzkpu-dmc6BgZQ5LrJmlaTJVNGK8IT8ZNASQPI_2MIaCReprgJjKJuKDA9uBY0e_fiH5nc_i4rucpQAPYcwMi8aTAAGnsZDi5N4PX2sJntZ24TEsz_OpiLfEiGgDFHTO9K2DKK7O9DO4HIZNecgwu9xJw3pdafb3Ow0YcktXy-tgnlNPuetkMX_5oWtfFCGcFR9TljCy7nF1CVrV6UjQxLy5tcTOa38LHogJIdt5jM2y_EuE-s-JltFNlfuMihOBAldBSS4ELmsDuwQPc0kahNEm5-JXAIT9T4W_nWZJTjkpvxyV2XUiXf_Y49bFm_A5b6V9guEevNS8pxSZBk2MnFlS31oKyoQGMjUkUcpsFSbT8p7z2eHeh_0cCO9wHTKUHWJkXywCsTLeHIwZ3XJAbr7ito3IiPPNhyV4310elN_EAe52P2JBqTLkLopFCbrQQ1nn99NLCa9bVYD-_r34hei1OXzHgFg5j7CWsWIpRd3rn12lKEd-f70gdqttJsPCAkMBqrv7MEmPIDo4VLkQ77EOfwYQh4Qq9DZkWA%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T22%3A46%3A36&sort=RECOMMENDED&top_dp=177&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202160552&selectedRatePlan=384800750&expediaPropertyId=1102912
Disney's Sequoia Lodge;3,9;3.0;122 €;Avenue Robert Schuman, Disneyland Resort Paris, Chessy, Coupvray, Seine-et-Marne, 77400;;11/01/2023;4;https://fr.hotels.com/ho230009/disney-s-sequoia-lodge-coupvray-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997928&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEMJ3Y8sIG9OcRBVIH1Nw5LpMZQh3yNN79V88A3jFHQIjIzPP1JvWukqGwBFUvELJbmi4I9ENOiaQedWbae8ViCXYteSnkMJhtT-vG4Nc7C6HhLudAS9j2OCkdojplbUFxEAinPDMKE7-UHvppL3PtGejsOLjgNrAZvdSGxFJhODijPtaAH000xfaKLf5HxifBtqdmoyCKLLboeGUryA6z8ehoRm5_iinRA6d_A-iFD-Js_7ZzedbJXTYK8waGEXJWkxipSA06d-lFVR-HUAJEk3sLRyuNmpnu4tBKhCUDDS1HPYRVLYxC70Kmz7U_mDS6Ac8nZoHL7LoMomewMCJcR21fLuOtVS5tqmr7HbQVJoYIi41ITKo7Ddq2-n3QSTmdUg-ubKb1_vaZCjldC4lcWoMFF3htzZwM7pBspn3U_fpOsdwcc9so3YxIWJ7rmeSr2O3SLFJgaiUl41_4DF0RjoD3Q025VKVltPM2j015fGYgZQ8QPZYO8sSRNxbuSbuDAtwA4EF0AFORprBxXHxoXivH8DjvyhDj0MdlrhjStPoxX6Qr6TqUzJv93YepIc541KEdoIlCXDdF_NJ6PTmu310CrkfuIZ33Tbq633aQ4vUKrGUnswv5r9RBrQRYbq_Jq26sT4LWXx5DH-_qUd34zPgM--06ECZVO7yIcpy-l4_ZXpITzRHybg5308l9RTuhfVZADPjJ0NyARsWqAN6nLnPEkza3tQn59Z6Bxfk3Bb3S6bk54A7CJSRxA620zrXcAC7MySIJfMXEwPr7bij-2MaeSDm_b22XwadkqT5_FDMlWFE6GpIyeGkjv_uK56yGMS--6OcrtHiRGEinaKkcHDaENGdICVHw5VA93nxMZv8qrHLFYL8-WdE6Ih8t9xZNoYDO4O56sIRogW1cSYrwcCqf9FTGi0NwQcrSTdHMmukB4YYxLt5aHMQHnEdzGfWHLIaSs4v-ASKt0EQ_r5gqgqRiP_GFkDuPF7s_dHedDlz05I01lylD-Ol3-rVSPAzLA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T22%3A46%3A36&sort=RECOMMENDED&top_dp=122&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202162500&selectedRatePlan=384799947&expediaPropertyId=1102910
Tonic Hôtel Saint Germain;4,0;3.0;163 €;15 rue des Quatre Vents, Paris, Paris, 75006;[48.8517095, 2.3374122];11/01/2023;4;https://fr.hotels.com/ho459107/tonic-hotel-saint-germain-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997931&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952764&sort=RECOMMENDED&top_dp=163&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200692090&selectedRatePlan=203433775&expediaPropertyId=8250159
Hotel Migny Opera Montmartre;3,3;3.0;273 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11/01/2023;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997928&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=273&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
Hôtel Gabriel Paris;4,4;4.0;372 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11/01/2023;4;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997928&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=372&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
Canopy by Hilton Paris Trocadero;4,9;4.0;446 €;16 avenue d'Eylau, Paris, 75116;[48.8644244, 2.2850495];11/01/2023;4;https://fr.hotels.com/ho1867343968/canopy-by-hilton-paris-trocadero-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997932&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955974&trackingData=AAAAEIg9NeILuU4Sf9hlufbSXFKHlVpn6nJvVO89dGcF2mHyd6FJAtSGmaFWEzUIRex5xYYqJOC-k7p3-g5T7roRMspsX5CAp6XMWboHjbdfEuPr8blMXBRVFDiudO2PDybhydb0Ndd5FThdbBFdIFSw-gWm_Nh8qFnP0roWFzVrk1IW1Th0Y6l-pNRTbrh-obPzIaOOkIBPEvawv3txx6BHCFJCt-M9p_vZNSsQK25_sBwetY2G49_GLZwKY8LHGI42sfASEHaeUjJ0_dDvGjmDDB8zL0quyGXb5deyJkebV-xGUmrbY1uHBTqjssU-_K2iJ2UxwfbqSWVYZHpWdELQIn5nL7zMBVXD_mNVVo10xKxPMEpgoK9DTNvjt2y9edPXyqc_xPjUed9S1TaHDHFzOThu0Erv6LcVndtgGYo0o11bezmfoszU_NkdEbKYkseirGx5Vjssg8QPTjg1cmlOruEle3M7vMpvP9GuqjbJS7PlJdfGURZvXCHGQ8UVAlUNkeWsHmTl6tuFODzbPv-G2UcgH4nsa6sc1iYTuDTG47auuoG_Z9HDrwEEXcQvQD5sWMvL3Ni6PKiBaiDkOrMxh3IFFNDlelNQ9TunplwHU9XJK0lse8SKtjQvJdKw_sf-90suWxb5u-iI8B8ASG7unlZqkKPqiZcR8-VarSayziNhai-jzkGJQspHRl-nKsqTzKYmfaNPAb-bcGof7wFNQOGtbttYEiTCgReWcDKIwSXfP1TTrtZS4WHWwSIRYQcnW1wLxNU0YHkhOKussZhsg6FN-GcULxGvoTaNjGG80Y7ayiTHB362viRTu-fjkIRfJoQgeV0hhXbQeq1sckqHOgGS8CGMfIkQnmE37MbbjWXIXgk39QNiW2reLwb3FEAPQcvWQvCCfMzEh3GKMftaf6jgSk71pz5l6HXAsdpYhBpJwwSzeYr77hM4Vb835XD0BXIeOv15H8Sjo7w7CFIo2p_XTEIoG0Eop_pWQofF_ho0eabOrNO35xj7zYJ127OUJA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T22%3A46%3A36&sort=RECOMMENDED&top_dp=446&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231962697&selectedRatePlan=385788707&expediaPropertyId=58323249
Holiday Inn Paris - Montmartre, an IHG Hotel;4,2;4.0;606 €;23 Rue Damremont, Paris, Paris, 75018;[48.8888806, 2.3331948];11/01/2023;4;https://fr.hotels.com/ho266479/holiday-inn-paris-montmartre-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997928&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953232&trackingData=AAAAEF3-AScEVBqMFeWpC2N62r45QlEf3f7KNzy5uahmO6MvKMrAg5ZPstcl_KcelrRAmKrE2D0Ys6njs7HTGfREryk4lcCe_JBuzBdNUp0hbkRxPLthtEc8tZSQAnwUZ5x6KPVfTgF2lCUG2AwsnBL5r9nO_mfZS4Q-oIW7jzIE1ThSVBcWgXDrBpzeOT-ZC386yaP0mXSwzU7Ln-NhsPTqyENpoCy154QsLqIqp4qvr0e1huSryJTDcyYOp7b4Ls9MY3siN1upn5hTa-vkALdOJmPa8gDZq1R8Q9C7PpnJNdgTbSWkxFEFayzgZmAcm4FTilBy4hu4WjAiO6PU8ye92jupnXLrtdDUIyksqzlabs4oQFNo9QPnTR8cSKjfqPoxasNvbEyFMYjr_CgDaeqIw-Dj4BhYnpAUG4pWtZlKrgMEHaxiEQik1Yl-1BiCPGA3EML3Ql0VjEht4vQ_bz4nnMDQXmrNKByrBvnBMQ-ujcRuRxQgUh4UClwS6KCYREN-YhWHvNackNZXWQGvW61S0tpxUacRtx8YJEA4Ei8Qetsq-KOE3k0Cj1_t9rTztwScRuwQaSRy3MtDPT6hmv0vFWbBGeDv2WxeZBMTzz4ssfLxvsKJVr6KRpo318Ob8rhL4kdwTTh__j8FSgnCYOo-2g7AAaKOehIOU-HodXD6kW0m67YQ1hBRN6pfLgJQP9iH7_CZkXn8UcdlSgnxBK_CMFnGi7JiLu7WaNjP7CwEZ_KJxhxUM0NXZbVx6SVWBXnH91saJ6FMqVdTbVTWYoTe-m4fDylme_s1AOfuBlEwJ8QZ7dE41mVZNR66PAx5dggqXWgSQODpIjFUBIgWog-wGxvEJfD5jhntTzYQ1Y_pQ8Anes9V_P4bsO0MbCYpkyDNDF7RubdEJB_DwtrIcaKqTfmoWxtcugNVkP_xAQ4Km6KZCIk549X0m2Bw3vFrM5EiRCBT8neh7tWs-FYdd3KfRWH7WMpqQmeraFLIZ1Xn1gi4_dFgd2qQMIXNZP-oV8Zvgg%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T22%3A46%3A36&sort=RECOMMENDED&top_dp=606&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200120152&selectedRatePlan=381123572&expediaPropertyId=44828
Hôtel 34B - Astotel;4,6;3.0;269 €;34 Rue Bergere, Paris, Paris, 75009;[48.8727003, 2.3435855];11/01/2023;4;https://fr.hotels.com/ho194609/hotel-34b-astotel-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997933&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=269&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213924866&selectedRatePlan=246162213&expediaPropertyId=18868
Residhome Paris Opéra;4,1;4.0;281 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11/01/2023;4;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997934&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=281&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215153954&selectedRatePlan=254255379&expediaPropertyId=1584249
The People Paris Marais;;0;25 €;17 Boulevard Morland, Paris, 75004;[48.8512232, 2.3625535];11/01/2023;4;https://fr.hotels.com/ho2450792096/the-people-paris-marais-paris-france/?chkin=2023-01-11&chkout=2023-01-12&x_pwa=1&rfrr=HSR&pwa_ts=1648593997933&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953197&sort=RECOMMENDED&top_dp=25&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316362273&selectedRatePlan=385908896&expediaPropertyId=76556003
