name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;156 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178945&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEPpVbUYQPA20d5nplBHUm5ykaTTbW4rjWiFKM4VWy5cK-xc2bYkjZlnhopS5ugZskb4AxFjntuPqLAzooKD1IdAd2BhWJgwB_p4dMM97bQDQpMPNmL9MuznJvy-XbFLhgIsss0fXcYcwr3EfVSQw4gCb4C2ocbc5Fa26uRtsWjlJ2MKMUjRuHZ-7PBzxKcPfmb6uuDJyQgHprRCaxY-0ICAVvrpP4TsqCZU5Mmi42BmvjQgiKStiRP91tDeyIhcYH9zWzPBqlNlEACaCFnpihi8q9250voRFzUBOwAme6sWHVz2X8VQIxGX8E8NfEpwfC1WIW-bAQ9Z_1RSxu1GaVf1QyT_P-AV9APW6XxSbmjKWLozN1N8eegvCODngSvhf-OwfOWwfp3FFDJlsxMkJcE2meHNlKBnT_nP8t7VY1C8m2Uf6mYF1az6luhWzdSaQ-afyBcZoGC18So3S2MYMHXqfQJo-tIsFb6Rx1sqRY9bz3UKV_nNwB_8qjhqmDjpsI4fuBohC5z5qQ9hCVQYq2w0ZZPWM-AgWENnJOMTSLYZ0hcS2M0As27AvcqaZyZsdlpiuoMGvp5vBep-JFTRCUWtQ_Mtibz7RugCF-_Q7vBv9qG8iPrtgbiqNFGViwTYzJjuXcN9rjAei_ZiXU2gXbtQHFXVsE_8qskhh-vq8hx2aeVZNv98PkkastNEOI5qFadpMicToLVmKn9Fg2fVm_Too63ZFvo_bzgRlTc5vq9uA-AyHgAnqxaZKg1HslgZWVBgY8H5EvXjV4GBIWeXpTsy68d8RF11wUOAr7balI0A9DY63Kz2QxIVxLy1i9q0BzTJzbXtXGSS76T0QFTBG1hXxOJXyZ5owAK022lBToQwoaW8WI2LYm0J3hjJcDQN8lrj9NrBj7pS8eU3sBK690jPaEx6XFGAMvLfD35S6LHgkyP2_9QyznWlKJT4Fry_ZEjwsCXifOeyWEWT2twThUq8qyZw-ACmrW5wFFWdSDpghI2KBMgY7FooNTrpYtuuP9g%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-29T08%3A56%3A16&sort=RECOMMENDED&top_dp=156&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=272899&selectedRatePlan=380879771&expediaPropertyId=1845330
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;185 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178942&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEG-W9ZwvJ8qbZaoGj6odjX2WV-uzLQX99v392ZSC58uBJEoC40aiUI11MME6J2SOquRCVkIyyIECktUCOUnPyl5yNOVnjXESPt3bcco-JSSna34_FGbBT5ib6wvrmVphf4DVHDlOWjQ9aaYzzF31qEsr4pYZMADof3H_ZD2MwG6HllqJsuGtgSSP0Pn6wCXYcfX3YqC9H1yLdesBy2Cnisdn77dIPXxSu-HIcxgFfbxPiIgVV4lMzg8NogSVb8XrWVy1Zc8l2oaGVMKThWOAjc25lahKRZvI6fR8ojc5BacWgEiFvRM7m_CGJBkLC40dlYoJpD8STD7jPJ_JvlWkxCbJEt69HLzCDJDmIo1lWrGsXdWkV2vGX4E6x9hh50l-E8vklVoxr2eI_mS9xsI80_JsnLaIE6nsLy_qzJ01XOMpNivbJslwfAQabgLs9UOjTiP5E6ICA3fafBm-VE_SeYW83zCUCTAJIIxlgaP-j0a7jn7oB8-KbKHI1a48J5Zrc7S85R6_-Ye776Wd6clbsd7Nurm5U59M366N_qNzx2Al2SR5WnH84RTIHfk9w_IUVulM3M4j5EM53xLzPV0jVfNLRZigc7-ZAwOeGIpYRrfKTwcKoxzKwihLhrve7XApkfvcLTmj11wnT3m8oXJNmILV7p4lVS_iu6j9rcpcmAgS4y02mPbvF6W2Ke9N4di50vqOV82lIM9u_Rm0_pqSdYqy_Ds1nn1jKVHHO6ciNALcVNiVl4VXSoxSrkXURVqVJK-82r-NpLm_9nBWdEUNFg2ERKe_EndWRAfPSecvvhaqLCM8O7B_Lyszx7DvykfKdadiNybp8ttOBdyhK4HOT5uO-nupYS68FQKnW4nc-v3VeMabXNydDSeCGCDFBgQ6zPmyvnbJI0boW0YtKm5uWvz84p4_GLa9k-cfTvcuILLWHeMnhqUsyxqpxO51a324_QhNttz14OUxvdn1FyFgZN30oHlvJeto8VUr79_0Q5s-xZsT5uQISvHVMMr4hfTGSw%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-29T08%3A56%3A16&sort=RECOMMENDED&top_dp=185&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
Hotel Chavanel Paris;4,4;4.0;223 €;22 Rue Tronchet, Paris, Paris, 75008;[48.8721869, 2.3262636];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho453793/hotel-chavanel-paris-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178942&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=6187876&sort=RECOMMENDED&top_dp=223&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201700983&selectedRatePlan=212164072&expediaPropertyId=7831081
Hotel Pilime;4,3;3.0;129 €;76 rue de Clichy, Paris, Paris, 75009;[48.8825849, 2.3279485];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho282946/hotel-pilime-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178944&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200575162&selectedRatePlan=210931799&expediaPropertyId=84205
Acacia Hotel;3,7;0.0;95 €;30 bis avenue Parmentier, Paris, 75011;[48.8611455, 2.3778135];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho633071/acacia-hotel-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178942&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=95&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201709405&selectedRatePlan=208580451&expediaPropertyId=16344343
Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;101 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178946&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEMsty9wdeUHOy3CU7N2lRWOoO70Io0ZwAnfkYrm-XGuy5L8KtPdd8JnGo5HOqZi7pfgdiSSfYUqgryB5GDU9581vBHFWAtfpe6nc_LsTy90y8aRtyDixT0mScXJY4ine1QxJlelFI7-wfmKU1jGFRcFhfRILhd15KTV2FU9ILhKLys6KOsH8FdV--5ZWl-3eAYuQLoKMsqwfkhx1YNN5q9NfN3zVbtswEGwvF7CmaPQ71jj-wb97FHTy0H5mKCuEQdpi6t6dFCANsEiLViMqJnFJGl29SFgFCx2_pKoymaZ4pWGsgoSYDmfC6RFtyiGCle5_Zh0Q5AKI61e5RsI3srlJED_qAHtLiDBTxajN_0Wp7mpxEWFrXW9wUVnHbEOYmQNZ1NA1AdOsA8AcOi_qd7kAEuMOix-mlmNYxV5lfruRbbYjgrTFJGDSt_nupgyvXOg6O2glFlVpnpEuMCfcG0Lwp5pP7A7tl10kfxSGVWepTQpzl39WuQzPxTadvSB-3__icVjCnwE0Bzh1lZUUMN_Teg1EcNlYQ8umjTreECsQXGz_paE6A0a4wgDBilxvYhRIQMhffCW5DQg5kOB_VlJR9HH7dLzvbFz-M_xposvuAlbn-xyBsjqB452qoeYJN8bmqApkiBdawKkrqPKHRNogPAfDIW92UqAVRSgoCADtK7_MylRQNo0p_frLMjNjmBZ4CZ-2pp6ysg2E8BvW9QtZjFyAgKFWc3JilNS08-R2iz0p54MMjiPubbmk3DznJS9JAoZRCGqbRUrylylpqpNI_VaVPOdJ2E0yqww6KP_J4-1O5P7IjbRt9vaL1goQMYe9j5wtPaq7ZVNtb7tlOCfT7L1yx1SVTrecwbV3wA3v-i4lN_nlpYJ3ysiBhMyLOScfmHg7YGZAJ4vSKQfY0l8UGlBCxT26kCE7IJPSXXAsAan9Z58tVLPRmDnQRY89UP2VoecWvsU74S2ypY6FDGhMN_bq3hVdoRGGLSrpkbtEZI6n9WZO7QMyC9zQVi6CYg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T08%3A56%3A16&sort=RECOMMENDED&top_dp=101&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
Holiday Inn Paris Gare De l'Est, an IHG Hotel;3,9;4.0;225 €;5 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8759599, 2.3587689];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho272404/holiday-inn-paris-gare-de-l-est-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178945&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&trackingData=AAAAEIcFJ2gA-eDoejLwOWhTV2bMxsfD-NAAI1zbusJcEw2PyD7liJMuhZ6o1EO2UX0dE4bqZ4qFpVjGCOjrXPXWqckXqpJq2ehsyoUBqZy-VYShUcg_t3yrBWas39LcKydusAYGJ-vapXTLrfUJ9vcxkLFp8cvvnueByWe9WW-s4EswJrB58baTuCqAxpFFRlve7wXScoilDoyOJibWefb2XSXEEo6sZkPHQQJsPAnVJkLPN3W-19jFJemNclj9nGULlbiPPc6qsjIX57eDt8kbQ-JUe1l8P4hT6Y6T7nGU94RHDdURcB-Oz-jWlaBNIxsHxYSMN7nGjYjd-poRdHSwcoPsTtMfBjycQyx9fJj-2ZldFrUPwnqYNhPmszOmZsiQmppeuOcLvR47SAiDaTkt5mvRsrV9lmVJ5Dy476su2M9KezUyxP1tCuunUHJsBpgCyThH4dM-7W_wXT-untOtVQS_dEZwSaq7OqJ60skh_ujslcy9OpkK8204dSS-JQVys6Y7fi6cMoWu3fekRVlHmFgOb5UysD3lFLpC1HW-fJozR4cbF3LH_Etb3weXJ94MOfT1fXaox5VXXHuiV-OG6ZZvPufQS6prQQCHzhlIoqlHj61-XkWvQUGcoG3_mdq_66bPF8IJSc-fMXXlEcC4_ex56PKHGs5P35HSPSIbcZfYC9W0N-RI3hhBG_nVUPW2bDffbdzM_uBgZfpDnjL1rma5xg4utI4zmJIh7W_AIy2Zy0kCXedU2IWA0ITZc9QCMnla3u0F2VO3W4hOc2dBT2G5waTOQQvKrQGnrn1O2Vi9llhQfNLVYsUB3gUZrNQVeaG2pT8s7BTk6lhZYQ-t1Ig-CqiU1DwLrf8YRdx6Xg_2DjWuKl9sdXayq7ZnxMDzDU6fjSZ3675-QuIqYdqGWW-vxiDQ9NCIU9bJj0jh5rpFnfjkzYtuZUTb9J_fNBBUXYRDQuuSnidBOG0vG4os8CY287F_AaXIlD6Yzt8fjKG7bsmaR-IXqNBQaDSNTK3fGQ%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-29T08%3A56%3A16&sort=RECOMMENDED&top_dp=225&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200202373&selectedRatePlan=381006096&expediaPropertyId=517050
Hotel Libertel Gare de l'Est Francais;4,2;3.0;156 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178942&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=156&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Odalys City Paris Montmartre;4,3;4.0;181 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178944&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=181&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
easyHotel Paris Charles de Gaulle;4,3;2.0;64 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;06-11-2022;06-12-2022;2;0;1;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648544178944&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=64&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892958&selectedRatePlan=384961106&expediaPropertyId=73212200
