;Unnamed: 0;name;grade;stars;prices;address;gps;date;nb_personne;link
0;0;Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;320 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11/06/2022;4;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739599&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEOhU04sUhmt0WQug7Cswzr1F9CV6Y-Apkr1vaRl74BKbvnQvbVwoyJLbwI-m-3TvWdSf-X_wkmDAdeNwMgh7J8W55LM_SLcahIuXgPqzEGeKr-004Sf23_38uit5ZFGKVPl94aYfYdbQ70mopP7eitm_1HZiT3XXy8iE_QiZRzUo1WvB9TTCUH2isEfwwF1Zn_ZRpCAwHMa8TKOIRsTaSvV6RZUKxWKNu2tmHvetGMDIR07BZMU3o6EAKwjTX1GqIoJHgRb4OQqpNvBI5B9KaQSArONEbtqwJbIShTcmgKXLIY-inewtSdPQHuoyUxRG5NvYXV2xR1YVpAzVoQ-Sq28VGofUB9vlx9d0qB9YPoWm1srBW7NMf5S8QOLAVlWB8jng6hTOyBhz-qRDKXfeJyu5KtzU2ZHa8aXCI5KNsvXp6vnUFp9BZDYZvNCiI-Sce1ldTj_4TAhBZiPAAOIAWFB9VeCpLxIrv4-4jCoFJMjrkqi3rWuuKCc9W2Qt7C6ltn65PP0FT42Ai4iD9IzwzCMelhFHSz3YhFDNDsjFaffa9pHvvnkdALETsmjqu2batQPu6xWMv2C9h7HESDqPmS6NoAPdU2RP5wUK8Lp5cDHp2uxQ4QqAOQY_YJtOy0ACbuAbBH-PHV2yHerA5xrvj12o_1P5JQwPlXv2And2CfytGADFLCZE3z7k9_jvvkgw1QZ0CvlwBqtZpRsYnXfbcIpJgC6nlGCexOJr-TzouMxrJ-1SY4WyPT6tmF6yLAS8fP2Q9MMvGX9c1VOrT4WuS4ZAXTOilvZCFojZDa7bW_0DlIzeBNz9daWn7UWn1j1YGgbVQvdju3vy217gcnYosSg3vEXV6Xv6tJlNZi50Ie6PfKE3xpEzf8MeoYAPxf9Y-8qG3uQpUMwDy9OZBlM75lmrVxOwXABb0YjAqOhZhv8MbTEcYlXdaqBhqMMAGlREEQsDjEOirudJb7M9lcLH4FtTadVEGGtcYMuRro5XXTVYHymluX0SAADBb88JlZmP_w%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T09%3A22%3A18&sort=RECOMMENDED&top_dp=320&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
1;1;Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;285 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];11/06/2022;4;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739596&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEBOjzJ2PSH6q3g0pMzi2BYj9NVPudXE8TaOirAIR7FDclS_tR1NvF0dnisezrUqENU6JfAhIvHyQUHdMUhKXHeRvZWRhVQqvQzwassSRoT3CE5N0vMtKXhulhYfPN0JAiFcq5MRXwJAhFKM494qttH3W-h88HajYO0ngDvxnsKJFjYoGJP8rTlAauc4pOOnO4rdsEZby3c1aNCTJMBrnrwroRGQoIAfmMdf9ir42K1YgBjFAmAfVvovoNX4Cq_KsUiKtivULSyxcTT_MKN32dXDn9AiRpD568_vyu0j1TObN0odI3rMU7F-e0SCqFMiuir8P4z-YBeDFVo9tlJ6wP8yXFN37SM3gTcB2EDo4dZCylKGFVOSCJL-X7dOfk-vdzFiCv6DebHA0wmlF_aN6_rYZdEYZ8qvmAJ2Npe2Rwy8obQxZ4rjg2ueCq5ay3A6za_tvcnJYB4KXEepEeu4UgzP3iIKdtItdcTgeqLned_GBcHzIZKkIJZxmLlJ2PRhtGFPz6Akrd5FQbvUMdvwr52XiP_NCt7ENsrkwdkhipphuXC4f088tiqoT0yrhA4ujqIkeUgYjOnRMKK3bN0gFWlXyHOCFoWZnwpx4IHh_EeruxUw_2R5QhCXg08E34DmEUkoyqTiRW71xCWwCceHIf6fgSoPcIlxgCSZnDilz8JWBaSyhy4p3sZMFBUudjG8_019un0tUrTywPJolzDhecvu2wTl329jobaIEe3BspM3CL3vbgcUm5pjrn7A7rjjBJyuYO-1tC4xBi-ECJMrQ0W33S3poRgTWCbjRFeN3Z7HsyL5TOKnSFqP8NKxp8azlsunt0O4SGsJbff_ZKk5nrNpm6XteJSPLDpjXSqB2FSIdwcDURpk26UduQpV3uHV0JeAFwebMio0GjFoedIKrLG0cGuBgaiz7SeMBEp37zfEH9GNkii14G82FI2Y-sp18KjK4rVyE1gIdVjWDOxHOSPyr7q4XGomC3ZSAYMrvU30SiqUcElgfDn5NHiydPFlpuA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T09%3A22%3A18&sort=RECOMMENDED&top_dp=285&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
2;2;Hotel Migny Opera Montmartre;3,3;3.0;313 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11/06/2022;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739596&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=313&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
3;3;Chabrol Opéra;3,6;3.0;175 €;46 Rue De Chabrol, Paris, Paris, 75010;[48.8771944, 2.3511106];11/06/2022;4;https://fr.hotels.com/ho391643/chabrol-opera-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739601&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=175&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200541104&selectedRatePlan=209228217&expediaPropertyId=860317
4;4;Mary's Hotel République;3,6;2.0;131 €;15 Rue de Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];11/06/2022;4;https://fr.hotels.com/ho397709/mary-s-hotel-republique-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739596&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=131&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200429607&selectedRatePlan=202445842&expediaPropertyId=6985915
5;5;Zenitude Relais & Spa - Paris Charles de Gaulle;4,2;4.0;284 €;8 Allee du Verger, Roissy-en-France, 95700;[48.9981835, 2.5150959];11/06/2022;4;https://fr.hotels.com/ho371971/zenitude-hotel-residences-paris-charles-de-gaulle-roissy-en-france-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739596&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEO2DZmeHj5L6P3AfeF55-odBdsWvKN0tRjhA9k9qMSUyMQbrL7OqjVFOFDZDzFEw03hvR9jWPtZ6XixHCJazREOc8XjL8j6pjSPmgMTU5xaDi0SBaEBVoNCOUcVE2OVJwMQL6fao6Y6b-87yUUFxXpRe0SNdBuRNtoImAJUJV_IfZyA0ykmiieNis895TqyQx1dg22iQuPn4vldS7qi_D4_Y18zv26t8dPXUyRHQ1DAwWpot4z8YCwhILvX-xz9UVj71rRRgcWh_QVipnYNK-ZVcUl7JqTiW9eFgBxl7NWbRBclFHoWqS-Ky5GU3Q-TUGD_mumDYjR-6QCFyxTnFlxGqBjUQ8hM9ZJQFS49e6ns8yJfuV9CNV5CcPfXWtQa2U08aMxSNSIqPiu5y-Z7HGOXUvF9vbUBOh-CITa6ESQr_toiSGB2WLGF09ZQInQZhIPh3jNpqAjl3IhBd1XbE5sR6jxULO2tSQJMgx0Q-iC7aLYWmflQqFibHpOfMgOQsDHCiGivCuGBQt4vdFSM14K0hqNTPuVWIIv7EqkOC87ipgeSAPPdVe6qNJz0WEIvP6KOkMwoh5MiC8EEvZ0sy0j42kDQLs1LlX7XKUtedwJ53JCeV_AJPKNPmN-CWlqrmCxyLlrkz02GasUx_FKGZUWuNvoT1qO68HAqsJFj9JW1sIBFabF19nkZQGTLo4LrREGI7qKNEAnsGPs1UCO2dOcoDFuEAdATT_PMw72Y7SksiriT3GdLQq5BDA_shepDQ5L6Go1lZM81haM8GHQbH8gBd-uQ1281rL9hWzhRRqqkUcObKfbNqXXiecy3iqbu_pEmXoui4pq2RfNaRdQ6uTorMknTZXnPnuyeOwfdMJKC_ySrCosC8pwFOhW4jJRotMoItMf752iNUiV3X2OLn8j3p23jmuiEbGH0KztE7F9MzspHmKL_aP-HyI7jCcPtqZbU9Xsid7XpvBjUNMI1NAVyy7RB0VjgAjwZ9fQHDlRgShIGy9Zqwze-hhDSOXM_QTA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T09%3A22%3A18&sort=RECOMMENDED&top_dp=284&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314164610&selectedRatePlan=382578987&expediaPropertyId=4223609
6;6;Holiday Inn Paris - Montmartre, an IHG Hotel;4,2;4.0;406 €;23 Rue Damremont, Paris, Paris, 75018;[48.8888806, 2.3331948];11/06/2022;4;https://fr.hotels.com/ho266479/holiday-inn-paris-montmartre-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739596&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953232&trackingData=AAAAEGFn4KPYubbuj2xg2Q33yQCKkjsiwwYpDq5IkLD2v6NiQF3IWuCU3MnK2A3j0FtB2tEzVDEW8j_YAoRUpBPaf6WqTDAVw6ebIUVXKmkw7OxXuj0-It6l4VrUnCQiqiWCSkBwOCsPtCamCBTe4Riqo6RKlxrWpgT5TPwSzZOhj4wdJNOsp3bzwd8Qx8fqKIwcS9aRZ5_EdaY8rKY0CFiMJknJYdGFgGhE99N_YNfadweCOR_KEdT9RHNlsxK2Wz7kesvo6EKg2c9OKirI5UBUdUefPnHYFrmDi0fKeG-qSUYObAtfmaCA8pzWSdE2rTfWdxbUNMqC9Ehr2VrJ0PDTophJxN4PWddBVj3tDJu5iki6h3RE2YXRD66za-2VshIm96wMSzytQqhgZYjxuKvpmjpk7MGNHWt7GYe8sOBJ7HEYDi9zSGheXr9Zw0cE6XQ9a8WhId5pkdkdgsB2DJZggU4hq--5cTtsFrZLheEwJODayyr9EZ6q8sGasU3OlWlcrK0g_WWYuNBmfXGDQxUqZeQoaWaMBfE2yYpBpBkGBYnqLPc4EpNJLrT8AbpHmGt-ren2SHgqi-NkMwrWfTqI9WxOqNvIt_JUK2hR7skmb5Rwd6sr5SNMK2D_Tymoknpjz9anQMYyqWLHa1UcIGYgHeS4fZj9cFkwQykNm_7NsZmh000tWFkaPphHxFcY8z5BybxVMXCsDFMM0gPeYZRiUCC_WUmy9sG8CE0rJ5zghtDa9QcoC8YqtkIpOs1vaxtoSLWVWE9NKl7gD95cOtB1nGWCFZYNKCxA2zD5-XjNlMg-CnWaC-0rwbgZw_wwE-wnLutC70JGtsdN1Zoc-IlPmDMM79KcTASt_7CqnUSmZah_cy6f3mz8Mzsrph7wNGFzMs3tDROdb1umrmNV_IRFAW9okvrYX3EVX28HfMNm_H5OIwk13odiWDzQgha3wOLbWkPId-PRv9EzXbaLR47Vx1EhMRxBOsJcw9WhLf6JwQrlGKwF2AmIFGsVBAB9uSREaw%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T09%3A22%3A18&sort=RECOMMENDED&top_dp=406&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200120152&selectedRatePlan=381123572&expediaPropertyId=44828
7;7;Residhome Paris Opéra;4,1;4.0;341 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11/06/2022;4;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739596&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=341&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=233533&selectedRatePlan=254224957&expediaPropertyId=1584249
8;8;Hôtel Gabriel Paris;4,4;4.0;533 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11/06/2022;4;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739600&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=533&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
9;9;Hotel au Coeur de Republique;;3.0;277 €;43 Rue de Malte, Paris, Département de Paris, 75011;;11/06/2022;4;https://fr.hotels.com/ho2428349664/hotel-au-coeur-de-republique-paris-france/?chkin=2022-06-11&chkout=2022-06-12&x_pwa=1&rfrr=HSR&pwa_ts=1648545739600&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=277&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316267713&selectedRatePlan=385715504&expediaPropertyId=75854677
