name;grade;stars;prices;address;gps;date;nb_personne;link
Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;121 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];11/03/2023;4;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEAZwzqlkbZPclop_V2M-6QC515aO-E2Iq20OHvREluY_tmCQYiGsYK7aellqIOR9ceXayL30Xf2SGcDYHOJmvnNhwSZSaxrXPsUnwcrF3-hK0v29QARGE6mvq9PvfX8ZZU4J6T56VdnrKZxcRxZ9eE6-juHlcYJ99BB2pRjyRhKl6VQDCurLbR4j7nqzdQtcXKZBm4yi3319r6tYC2kJJh9iQpw9ARzgWA5WUltg4yip2pefMqFEr_y9YSY38h_H3vxTiAV52eds7urBIgkSM_hjATjZp5wiknbwoaXeY8cG8TFaJ8t9YkkjaQ5tHT0ZpFgs8DDFm3jMXI3EPu4faF5zxUt6_IqSyCoefZ8rQpt2e2o5B_hKOmj71p-z01dK5LCb1UpkxJmVTsQ5nEkL8a6vXPJA7cibYsp-2D2EuHDL7f6VyVR82lS0Y9vEI7ikx5DME7O1Y_7-9aYeM0ajbKoipzV2sjVZYFAvrCiD9BWBIPpwj04A54aaLsMxBXl9g1zvTlxv0wb84lE5jTNxyIIcsXvrr5MiI1B9_AZoqCmHvihhOwwfrPbtF-cZiGBh4MDJAaumo40oaakF3s5pKgHUNYwZ0ofFdZqxIX68RdI5WGCRjlf13jFasaTw_yj1rrAq-jgPk-WhIXnQElzaoIDHRDdTDg89qa2AgxHkzNyR-6-BkDE5BYKBMN2WtDfh1VbkbJeSDy32b-DDcAIvaRiXC0Gc6_nyKFknI9AQVFVRHs8kZP_3uwTqGZkSkaJIf0cDg9xhwnEGadw5iwbK_q3t6Z9WSKW-Mjc5qlr-Jq3ZVizcGxWEQAaF3H88s7N5WCnVEjLJF21jg5V_0cLoaJAAK0lPHZKIg0rER8ct1oO2bAFLOM3Iyiu44mO6_m3kTBFRsa6cTyTEQshh50xQ8GoXzzP0jIjXrmq6eN2R82mUNq7di6GzyBPOJJhlDei8WksvP7niug4qSGjZzctajIDOM48oMU2DEvJUCrWVnJSNr0UqGbGGwGJbWJf61IYw-Q%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-30T07%3A16%3A25&sort=RECOMMENDED&top_dp=121&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315755176&selectedRatePlan=384519200&expediaPropertyId=1845330
Crowne Plaza Paris Republique, an IHG Hotel;3,9;4.0;319 €;10 Place De La Republique, Paris, Paris, 75011;[48.8673446, 2.3653087];11/03/2023;4;https://fr.hotels.com/ho163380/crowne-plaza-paris-republique-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&trackingData=AAAAEKGdMx6hLjOTlOqHaT2PYxxlo9Y5nYzQVyHvTm68xcRxW8XpRihM64XCTH7pgXJsq1NqpSR0MwQ51eA9yjzW9SuEmS9zBTXt4TzglZATe28s0-XaOajzxk9R2Adox-cfeVYPf2XsmMxJBSnHhyo-95oJoi71Oed4TuLM2k9hSv86RbyWoGTBgNS58-L_NXdYgFEpQzTaY8xhJ9E5azYocPiGXkAOLx78PmecTxtDTtq5DGHILn6-S_aD6RzV4sdjCSCiaNmrfNls4AN9jvfVdaZHyQsMYbdHNZaDQqn-N0Ea0CVG_c8GudQ4zC1eu0yJpqj2Jz8_2CGRm6O01IA3DEhgXoprUr1K_KtKoAm5XZ8UAn2Atr1MSXd7-kC6BUQ0lR5SHh5ASzF5t5zAWrrkXBTvLgixvZv4cZrtXrLJjrPvMz0LKokrKO6K281xNxSCM3StZw0u6e8yaL8nDGecBr0nPETgjoz67gRvjuhPri69_vUCJ6QscLUiZFvDzkbjQdCC6L5o-9gh8wzSzMUYhUTpZYJVmYP0rZTeTrh-DT00wPnlKUUdQ38cHZQUmkjZ2Wr5yOvn5PEOi8eUZ_X1TV_c3c_T7T6pZPM3V1085z9ErTv3svpEoP3DHmNckOdckT47yHiOXe3xR2CYEWZ_e5kuGmE2XzuL4xRTmUJTecPUewONTVYCOWqC0wgshhoba10r4GcC12qKZ44xfnpY_KHul4wKHfZN4RX0AYG2j95NMHB23elLBC1pqRXeWxECtEzfKT5DlFqoSLVFfY8oSqzrjo7Ys5jKmSmpT_l8oxjuzsxVVRXaLCiRWTRAzsh1aIP6gnVCEO5BhfiJvfO-ItN0K-pGFdcJ-_ZfUaUtwrwQ8BH-G9yo-vmk0O2lb7767gRgQnNAhEvO75dVKmPespUpLCHI-onQqSu-9rWtEJtT1YPnOtF8I7RCYLurQiySmQL7D-U7sXBlRL9206VgN6DI-Vg6mLib7dcfGbnQalt4nD5jaTC8X4gSC2EzL5W-ZQ%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-30T07%3A16%3A25&sort=RECOMMENDED&top_dp=319&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213625905&selectedRatePlan=380855930&expediaPropertyId=17013
Hotel Le Mareuil;4,6;4.0;777 €;51 Rue De Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];11/03/2023;4;https://fr.hotels.com/ho417512/hotel-le-mareuil-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586152&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=777&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202283606&selectedRatePlan=228006326&expediaPropertyId=1382678
Hotel Migny Opera Montmartre;3,3;3.0;273 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11/03/2023;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586152&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=273&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
Hôtel Parister;4,5;5.0;443 €;19 rue Saulnier, Paris, 75009;[48.8753155, 2.3443779];11/03/2023;4;https://fr.hotels.com/ho617591008/hotel-parister-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=443&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202145522&selectedRatePlan=211021847&expediaPropertyId=19268469
Pullman Paris Montparnasse Hotel;4,5;4.0;299 €;19 Rue Commandant Rene Mouchotte, Paris, Paris, 75014;[48.8385501, 2.3203257];11/03/2023;4;https://fr.hotels.com/ho114754/pullman-paris-montparnasse-hotel-opening-soon-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958437&trackingData=AAAAECZIReD6BhbxGhv71b8MSZGEZDobHlPwj6_iqxzshKWcPXIcWUK40TZTsSKyeXVrJWVsiRF5gtAZwavfvKqDI6QnivjG3eopNK6s2dXoNLNUGf6PneCNgAMcmnMT0byL7ZQzKitmiTKSz24adXqox4tF2akPc9UXrrQA007EzRheidTLRAydJSnpq6UUjgnjzSwBW0HUOgymDVkMZWWP7VWrTPTqa8PaWAdursY-iQp2ylquP-rntKwRSPvBPqv6jUAcxIKBfb1vqQi4ZXzEX6pocQfqDaRL8fqX3LLxj0VySHJ_KhsPBZAbOE7l07NPvak_VLTVOcDSB_TNH0KYyQDXXAGXpq775Qstjqi0FUwNXICBfiSV2qHyGGg6qMReOrCnem8aV_BhTaWBgQq7IF39gJhbZPrudpWowyVMKCoNsxSFEM2bEtv6cDIOmcuanFOwyQXIOcs9Zb5fak2TyMDnb1HYVVCyhex7bXYiFiK_2MF6R6FRopVSQqUbIuKCHYSCPEhOhP6hC8OLDigxxHDuGuIpPgt15F03Q9mndtcMSXHsC1yCfO2L-H94ZKqpw411nHQPWftDJiEn5q3V5nLEu_bb7H9vKxRkppt-6DpQ3YkNokxSAKo6B2SENA1m471ExjTBqRBsPTdiXgNok50aiNHxhT0kjfn7dRNbA8Yy8-i8lJFgzZ23RBJyxSuGEYeFnIytsqIVXix9m8oFgZeBROCRlJrLuAr1CVm0CAcEb3ZF6OGLLBzpq56mqYKB5q9q3H8N4G23YfJ-ehcuReL7aZOTPXneZgNd2uairyMJTgrqHOf1LA9eGsOrUfEHPNxnMMqJgsHmB96LZrtL2TJGKPz-0U01oWa2m8EJA3YdE8uNjTNIyZ8o9BspXchljtkUFkv_nmi8Ker1r_xUD6E3cEGOjPPbcRrI2o1Tk1Kf-5BDK55GIGdAVZ6OlGtk1qw-LRMmxW4XFIpYEh0pEr2B66rweGENd313WEPx7c_CeYtlLFvbqs-uNzEpzOQsZA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-30T07%3A16%3A25&sort=RECOMMENDED&top_dp=299&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=214910678&selectedRatePlan=252223433&expediaPropertyId=17333
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;490 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11/03/2023;4;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEAkjkSPAWsYWr3tu7bxrQF_1uyUCLbYwGmkIbC7TEV-SsiJ1EKekb1uUJ7vn4YxRI9w_mLOcTTR8RlZ98GnAoltx8MtTZppavvB3zAjsuSVEq1TejyUmBQi_yJkcfSVJJeRHKi59UrvUO21rFLT0SlIiESa_Jb4o1HgCwS68mDfO3qhBXSXNmySxTD0RAU23WoyqFf1V5TpPoe3uIzOsi2LmlIbpPnJsCdkk_yT_AMVTzOpndlQEel0bHDe82ap08G1KnN8gy2MwbQjtcasK-dxpfwEWfNhs2g1PM50nQrRQ0-0K1HCf0cKFFbyY67_4sYb83Pz18E0aNYR8OGxWiKvZUb2_UaTsPAgY2Sn4x_JN9OuFn0v67LVcp6pxMLJ5PNVkmTimhpEbHLBzQP1l5Jbz7yukLMejRWf7lLB9h0NJracAipk2hK1sEhMRwLHz5eeNhMv23wl8ljQ6q8Ro2moieFzVvRWe7ZjS48CI6bxcy8A7X4b3Sp_DfNaw-lqSwYLiUYbAg_L8ZECgh5MOILte7-xgptc2cr0uvZEn6v9hQb3T3f2WwKnsF0fw8OSVAdV5vKtxNa0TpGI_2FTnM6HeV3jnuk2winhQAcswOqhE9cSG4_ZGUOrNuRYBkHodVs4wlc6GL3XoKvFsMOCbq4gAVFKUIjZd4tT63XOFtFcuKkokYjmdrI9N9fqqWhkGjgva0jyAxIMFxMXM4zLqxQNG4SR23GVCW8uaVhOuBeUqJPVfd4jjCPFb6PHP06EJUmnTmMX-ukZV00UwiSVRauocBxu3Tb5fJ_vt5JhZMynPeksFyefkD7PQ4d5Hznu5D1Tya0uFsXfH_O765iU0HJd_TA29Lq0NyMg06ognUBzzyfygN748-YZWggl1Z95leclsR0s59HPNdnVdnHWwmb6SVbz1FRWFP54dMBSzkCcJs5ApSSOHVZV41k7q3OC2AMMIhEwjKdpjwF9tD6V91WaIJc2ny8tBlzb0J0jLV33ScuV91IPzSd8-xC4iVctZOA%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-30T07%3A16%3A25&sort=RECOMMENDED&top_dp=490&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
Mary's Hotel République;3,6;2.0;145 €;15 Rue de Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];11/03/2023;4;https://fr.hotels.com/ho397709/mary-s-hotel-republique-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=145&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200429607&selectedRatePlan=202445842&expediaPropertyId=6985915
Residence du Lion d'Or Louvre;4,2;0;343 €;5 Rue de la Sourdiere, Paris, Paris, 75001;[48.8654287, 2.3318019];11/03/2023;4;https://fr.hotels.com/ho413093/residence-du-lion-d-or-louvre-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586153&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953914&sort=RECOMMENDED&top_dp=343&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200546878&selectedRatePlan=205275870&expediaPropertyId=5227750
Lennon Hotel;;0;159 €;129 Bd de Magenta, Paris, Département de Paris, 75010;;11/03/2023;4;https://fr.hotels.com/ho2372847296/lennon-hotel-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586154&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=159&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315954137&selectedRatePlan=385139079&expediaPropertyId=74120228
