;Unnamed: 0;name;grade;stars;prices;address;gps;date;nb_personne;link
0;0;Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;113 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;11/10/2022;2;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310676&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEHN15JWVo6nVtAI8qo4Nrf-BnOBEMqp7ZDechDXxPGBttBYWMSu3EO7wYMFRyTHbA3NMiH-8xWdC8hagLOIOcPsngPQ7QIO8ADRJ7pPaMWDliKNjR52kJfCmFg7_FquRQtEaLQC5_tHdPDmTgLLBJfA_f1j4YIOjvOok6GNLM8UtM7tLbC43VlBclwrOJjkfCIBmS7Yqoav3TozDBoZi4yYow-XwZejC4z3QPRFwZGM9tjRc3Ekwq4-K7tCSB0glMVfoLQF9CFpdEi5xZS0veS-yMrW-wdJc8ZFbUjYEReQTqDHMbNzuVlFSh4ZN6Pswjfg71LlLZq9yR3VsqPMkOFkh_znHVAudSvKjFt-HFb0nMBSHLiu3qlC2g6ejEu43mrJ6qP-4dC9PRHKwAUBMhszofoiNz1zrm7jbY8c7Jv5ACHZSgr_AOol5bYw27nXttjkz3mldLxZrmija0sk8ujr-h3OqOlOHEa1ugP1EG0UUottjH9bFajo0IcLr3BZ6kRJcSTCK-j5tq7VrN0VA_D5spQjyIpd7HmDDNYHdUQKWSJ8uYhQ2HsAhQcnnj7UnkJD3n4nMsT-DTBdbD-HzgscnOuv6prv_ZDMKMS38GH96CjxhHCl9nzdsgOor0GyklklAUWfv9x33e0TB_M75706e88Jo6oTZYZIl9_clF8YnTJMO0Np6Sdi0B2x8dVDk_dMz9v3JjQAfgf0_fIoOgIXtOJiG1UgLZ9war-WEFHwCf-BKu_x9XnrRzB7sM4hj2gjlatm0ejXbYx0sXoh1ticTiFCF8VLVRiUKIEGarcIv7PuAxF0uEnhK6TJBs2PBs1rrwjPV69nswkkt-xqnY3fCJABC-tTNCUORh2qn57v7FstFLCGJMmt7V9HSSttu9YJ54ef7xndT6H6zeNzDsn4O59cjB-tF4wb5ddmb-z9d79n-t8hyTde-zvQ4850Q2M7hsFbat43oraG7kEimsj3mdfY0iJ1tH-Yys25U7OrPnapPQ0DMir1GG14KC2Xhrg%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T14%3A48%3A29&sort=RECOMMENDED&top_dp=113&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
1;1;Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;209 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11/10/2022;2;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310676&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEPSgt1zzuAOo-A4gGGIUkMPxazbVN0t0i0wgC2l7Q-kdjMleZTgHKq0u4ROQJnn7lCZGMlkpcs73u3gpvpBD2xuBk7EFKLUKD8_XKT8Ob-26zUuEN65Nka9rObsWor7ihbAFkDRaRF10O7qXDS-sfdKTIsT5_tl3chrGa0KZdYfa2g3AxEpfYF8tCSEYj8fhk0AwqIRqyRCX81f-DRkSPWWHrHAN4Qd242JCEz1s8YygL3ZZdSAzYNVUk8HNlJ8lpmAxK690NQ717At37RS6YaJaCm6pP8CSSGSOnQ2Ayp3lUtD4xWSBTdyMuF3RcdJJmZX3nOX7JkaiORHArkCFgkZ5g966XYdNshvesTItl-gxkWFBBy3cn45cQyNVQfjKZhOEPvNrhlQg555bjZv8ygnK68Z76UXq59OPr2YS1OqnB2MUhER0wVn9OI6JoUGlBBGL49Owz9EQmbTgHbDCYC2zfn1FpuJ7KwHBnz6kBdYEm-TP2YLfXoyQRcvoosgXMuhnBy9rsmfgn4qFZVu6l0RszIk1r_e0XzMUgVuPJxD3teRg8WfkkOP_MHDPzMN3vBdJC3ynshTuA6rGll6gBoQcmbBJ0KcWYK_4RVantzsX45cJyLkuZC9QWFPhrX-F1KJMnbXPcEdAmQ99lUYex3Y2WDm6YzPuuibxqOZksJwgLtArzUH29yH8bIx7DnPubJ1gTKYswD4IQmTP90JmHaKtTXEFcTyj7B38DDD04XyVszpuxrBsxbXtHYLDcv4sCaJNGzF8yKPv0LEPIfmNL8Fl3hA1jaTDeiAXKvvL9thbPEbkigWeeOF3MWWconihh3OtHOxjjZiMLx0359jz128EiJXc1DxrPDIKybpuXthGRcDcEtkCOKG6oNeG9rKMlY0fIRbJlODb4qAm1oTY9pzybUWwv5p9IrV3ssVqhju0OkI8yRVfStKbEgXAuezdSh6XmvaIaAd0TGregcGwuVFEQQgqSoAJPJgPMnuqweXUC-faqIkqxl9hp7z1otJGKA%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T14%3A48%3A29&sort=RECOMMENDED&top_dp=209&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
2;2;Hotel Soft;3,9;3.0;137 €;52 bis, rue des Vinaigriers, Paris, Paris, 75010;[48.8732588, 2.3599159];11/10/2022;2;https://fr.hotels.com/ho268888/hotel-soft-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310676&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&sort=RECOMMENDED&top_dp=137&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200163957&selectedRatePlan=203396584&expediaPropertyId=2007700
3;3;Hotel Libertel Gare de l'Est Francais;4,2;3.0;165 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];11/10/2022;2;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310676&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=165&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
4;4;Libertel Canal Saint Martin;4,1;3.0;138 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];11/10/2022;2;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310676&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=138&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
5;5;Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;175 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];11/10/2022;2;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310681&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEAKuP-2woJPYkcRBzUyL_d2PFZ6At1gYMw6l6tRuQtMTGU5VVBH0on1XCw--x_H2mIFj5c8MGaNgUkdceFIpTx7DwT2IMnYi7c2CwhGnODBhZRN1De6u5d18J17HMUYXUIkb4U36Wmq5YRnRyR6omW400nEH0lIll54_i2X3kh7Hdu4TG_Eb1YV0wsPXpLeEwzWGLaB-csfY7j5CornqSZjxuxPLK_4KDeQDbfZbig2-XCEzOPyXoeyM2k0rN04iF56ttPQul-gGiZeGn2ubdL4xX-D0YS464yMeLP7AypqYWkdL9rhqFuSRZ7l6kgxAbA8NYIbptfHaU3Y3b3YEzSGbobSg6rY0gxLSaImWnHCYXx4pVPuJf9tN6y9y7uvfCIzPrSSUIcord38_TuXhlz4B-v7IxAYBUoSODp_9pEwouTqdpVuZqUPIPjVzURUSg0Kti-dWRWH9MKC3WFhDnOFQDT5WDJalTM1IBye3Ywl5CL3YStFO-1mAUF89Tv8gTBZczJfdyYQUUQV2VKg15sizaycvVETuf8NRIey1v3XgyKdeL2CUkbuGPSYseBnOH_6nF228FGDvGLaWMLdZGPRGZDb6JLzrPPy5wUYaj-xxeuwvix0kjIaoscl7pCGpESEpsgDw8IeYwOhmoTK3YxhlxaKkC_HVEcqqfr9cPA11l90jhmI6GyC0CNavjdYwpY0RxWq2XI7OLf6-LwjH9QTz2U11qqB9Ql3DWsokKKD1du8xXYEFYZ3NLgof7UH8GV7cgNmG5lJWH3xusstwsr8MLwbuai531EZBdP8EwmYREiJdr0mLXIHQ-2Jv7TdnUNggJZx2usaskJnpyvyHVceJibjusj6xH9JUuwHOQ-hAMYKPOGeCwiBbm0bsi03NWUMjv44fwS0KP7ExgA203rKYV1Pj-r_4XhK85Fqj9N8qp1d98JBHlEiwQbHwW3L59YZiNqXDJLW4viu3Y6WPbV-AakElJ-J1dRF6GZqxugfZLEvTd0MNuBefYW0z6F2upg%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T14%3A48%3A29&sort=RECOMMENDED&top_dp=175&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=272899&selectedRatePlan=380879771&expediaPropertyId=1845330
6;6;Holiday Inn Paris Gare De l'Est, an IHG Hotel;3,9;4.0;185 €;5 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8759599, 2.3587689];11/10/2022;2;https://fr.hotels.com/ho272404/holiday-inn-paris-gare-de-l-est-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310680&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&trackingData=AAAAEGSP6eYRhGC21n8zmlk_ou_XUYvXSixXPFnzDHRJlX6lcCfq4GwwiDaxvQNYChUBX5keQzPfuyvXYFuIBdcXGdzRi-jG6ZAEmrOzhBbfW9hUSaaOogiez3120JT5zhzg64cNay3AmEVEvz4H6EWzA3J46079gzVamKMNmU10kjJUAH7zkyi5gGUztyX_BLkVy3xLdLEfpLE1Lfzk6vWpVVIe9bAKoEjswnzhYLT3a4EYCiQGjdqTSd0s0v4MVYRrEUUiW1ikZrYZpOo-0i02kBrWVgmxmenYMYOCUzDjUWYH0zf-oKV2OENzPfoNpMDiecAUKCUUNXD4qiKPy66ZthGbQOyDTUqKsH3S-Td-WtUJD5MPIRWJvxuc9DXf8TqnrI_eLzknKA3eBpFDgHGvF5oNzO9n0yDQtBV7PfJyleYBI8jWnpy99BBfb6BTVif0DPpKg4LXyI1azpgteRh67TXfGrb93OwnyiC2bHmmadX9L8Zzq5n8PzTWCKX_S9xTSWVjNxhdyeT4Us6Mga-HXSMBu6PLJCL47_GDqG6WMgcM58jUGtsgqZD_TUHZb3elpuyl6gI4wI_YjwXrGrayBfq5CYCiqIfUGmA4f44keQnEcYp4Q69Z7Q20UuUUoKVv7eQfXfhOiUXZ40wYFzjpuoDrfszPORemlGJMuseBRWOTGmgaWtNG7DR7lxbBgximCkECVdu9G-epIUMIQbZfcafHTMZM0xZnlG0DTsgK1Af3yLj5NXYwkZJoPslyGsnPdOeGQPBQTz3s45bw1A6geTltAF1pQHRB72LxiEEyXi-LX_XGVFoLZkMGHY1SgHpQch5bHnFaEdaPJeX_IO68F7jvDJz5CaNJ1KFhIRywevI1xhXhb6-ysySaeMmYv8cf5yWhG961ztTjmm4l80sdokiWF5JjqfvkwaNdP5r_uyqL6B4BaXDzFfACZpX3uq7u49Z5cviQRwZO2RGOTK3Hxukj-1ZbLweJcqc5ww6h682ATRo9Dc16cl5MwkkPz0iJsA%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T14%3A48%3A29&sort=RECOMMENDED&top_dp=185&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200202373&selectedRatePlan=381005691&expediaPropertyId=517050
7;7;Acacia Hotel;3,7;0.0;92 €;30 bis avenue Parmentier, Paris, 75011;[48.8611455, 2.3778135];11/10/2022;2;https://fr.hotels.com/ho633071/acacia-hotel-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310680&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=92&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201709405&selectedRatePlan=208555182&expediaPropertyId=16344343
8;8;Odalys City Paris Montmartre;4,3;4.0;141 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];11/10/2022;2;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310679&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=141&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
9;9;easyHotel Paris Charles de Gaulle;4,3;2.0;49 €;10 Rue de la Belle Borne, Tremblay-en-France, Roissy, 93290;;11/10/2022;2;https://fr.hotels.com/ho2343790400/easyhotel-paris-charles-de-gaulle-tremblay-en-france-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565310679&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=49&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315892958&selectedRatePlan=384961106&expediaPropertyId=73212200
