;Unnamed: 0;name;grade;stars;prices;address;gps;date;nb_personne;link
0;0;Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;175 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];11/09/2022;4;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246977&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEEQk7hHbnVyNGb6MKwlvygKXeN_JT2qdfbeJvQ3dwsKh1eeNgum7Hcu9bn-Negxa6yuPtlEIvYlHsZlYgZ4ORmoUPRVcUEXPPnUD5a4_2DoSN7HTNKz-OtHn1A80ArspSwyYm6NDD-yGg81vmx9aJP9diCd1aTGUwl1pJe3smQksUBR6hWn5o0LQJ3g5hXzcHytTlcqGXzmsrr_OHT-qxXKDxCOHsibGUqE5s0XoTgz7Td9WL9uEep8beTfRrfgXGTLrfNwkKc-NVxhV33xF-VjyUWVI4flX7dKQvKQQKUxxMDOqaEqPWZy2v-QgSBXzUhYhjNSlJ6SOZmLANIHa_N5Mvytamm8zbg85SoXWOD3Egolz-bpFB_YqguAN9K6-ZT0IDA7sQBY7klySAPyZzvTTutUsZW8NhohqUXQHEzmbnfAdmLQUZ-TjZydjAIsyD2JM3pJQ6wCWAEG5901ln46zvNlVfVNDfkE9iPVmQ7ngLOGQRlysmzCT8j8uY-c82zBJSln8yBo2Qro0fMkwcu-EjlvDrX_hHfGV8hyU8Cz2Rjt81XCipfuRlYHwQt6eShJ5WhfEtkH0zFWSAekTaP1JnZSAhjLFdaLQvpyfTCMvVDMdOsuL1R4h4SBxuwRLtjIpjVp4nBRi9_Q2Rh0CPe-RcE0VuyGAvSA5-dT1T4o3zu0M8dUD4KW_AQJmTQohN_mIwRGVf5eG3kRLDwy3Ff0t9cmkJoEIEy4B-arRtOGMiFHc65BO2LsKsuJe_-clXdvHPaSOOZIpG0F3-KYNrSlVu3uK7ya-izpXy5k3yW_qIWfEi1SlXjCaRbnkNY5udQNywAQn8de6taT_GPoucxHQ1A-QtQbCmvfzVws720z8oze2a0V0Pej0UTNxZWy163Y1Dqx6iQXGDgWKk3_0FzUe2PeJMAvo9kkqRVm903vz-Gbw7LUdXIM6xS0LDzuB78Qxz-mUKIrT0KeHHLtNWaquNRcakGSorNZiUv_8B43-1_Sl-PcKJsoyvumaW2l7vw%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T14%3A14%3A05&sort=RECOMMENDED&top_dp=175&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315755176&selectedRatePlan=384519200&expediaPropertyId=1845330
1;1;Campanile Val de France;4,0;3.0;133 €;10 Avenue de la Fosse des Pressoirs, Magny-le-Hongre, Seine-et-Marne, 77700;[48.8711175, 2.8088325658567728];11/09/2022;4;https://fr.hotels.com/ho241317/campanile-val-de-france-magny-le-hongre-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246979&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEPHeGkB99R3s89AMfzPede5KA2tEq5DOmFhGyVqjXMaupMvmAo3RhZCyIL_f-ntz_ejhDDPBmJwFrl7xeGH6qDvlnXLYqEXZHHIwXlm9Uu4875rNSRKnOidO6zflj8ycMuxGfbZqChNgmbEReNBR4AV9mQuybd_jq4MmITL1xog9r1KR2hCPJ985dpt718ryN1Q0fgxqKkXvSKF8u3Sh8sXYm2ZL8I-07x5dfvvR-fWbbMpV47H9SggNvei55J-JQTPoWpczBA0b4Ih03XZSeS3gcpYlaUhU8uBOvkicDIq-tTaGzIYRxkPhBkqAAy2O-sieoC0C4tKXMsLOLvuzEyJ2WAiSiLaWyfDoxqHRn7zya-iOcOSGMm9n6VXt8YGfmdVnAevgYCnnWEuRpkMvTIEm9r1y1r3JwyfhZnzhFNjgJx0JNaskQJX_535mTS2skSnUrCMBYiM0_pOqjYPnNGhfRJZMGWygZt4RzQku0q0viv74DHJBkgFzgJJYrhBtUPsXZOtnP3G926nNoNfxNVVFDmxC0A39AcTNvYr_Kg8J6wktvPPmcZ2GitAZ88YLQ95O-CqWQiu8JZOyL-SZqNadM04xBo0Q37skZLuxE-3nLaqXujOUiJEbfNb89Zz6Nq7Owsg1JD9I0u7bHCfgm9hRyCrBxbm3lvnqFRxI0GlkZaflppGGxkXHoUDJEM0Luq9vEdApBW_4QX4AryTMT_DFkc_96eOZynF4iUMJ13roR-z5EdsgC31gSLcOgPwEr4MguMv14M5Mu8_jZq91yeJ3obISIdvGhyIjeXOPmU8V10cfAJWXypeCSmYfNQ5e4EHq6E22y9cEKZbhar7sCCT9acXq2lgplkLDdaPCCPDIwWaM8gRtdBu1puZHNfiQVLmE0PnZl0km8xPluDLEPmIVAo3Cob9KvJqHUEk8BtV_j4vlowtmvAe8dskYsOSo3WUyF0ZnOWNzZKyJ4JXUKvqOM4aS3ctcB69siiLHb2qmuKXUTFIHS4CkZFLDyEvmgQ%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T14%3A14%3A05&sort=RECOMMENDED&top_dp=133&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=151220&selectedRatePlan=208579397&expediaPropertyId=1133407
2;2;Hotel Migny Opera Montmartre;3,3;3.0;313 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11/09/2022;4;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246977&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=313&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26931&selectedRatePlan=201578827&expediaPropertyId=909202
3;3;Hôtel Gabriel Paris;4,4;4.0;372 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11/09/2022;4;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246977&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=372&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201512381&selectedRatePlan=207623637&expediaPropertyId=2499092
4;4;Hôtel Vacances Bleues Villa Modigliani;4,0;3.0;177 €;13 rue Delambre, Paris, Paris, 75014;[48.8416283, 2.3279666];11/09/2022;4;https://fr.hotels.com/ho241383/hotel-vacances-bleues-villa-modigliani-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246977&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=177&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213005414&selectedRatePlan=240077166&expediaPropertyId=201121
5;5;Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;347 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];11/09/2022;4;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246977&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEJMpfGN2-PCdhQDREp3lBBRK2Bpj6gGOcihuA2_xlag_szGEmASsZzaNFV_gpo382ASoN6KPEtW25EjvsLTmacG7rZJJX39SfeAQ2C6dRFxEQSv1DwAG302qrEX3JR8eyg9MJA_UltltVCNlPheJlH7trGnfzDZcvY6qujhVCTWsF89NbuMctbDJXkyFIh89B3k2NYb8DVBUSsci5MPqy5wtfIPAVDk7Foz0SJ_IKqO0YP2o2iy_C7iiO1DcAH30KDNABc4E4AP2Hd4-EgmtrlROOKPOjLSs07y6PY4ZXqywXtqN2k4t-0IJdFcP5ZwD93ciMO0Gf3Qf72oNt7mobN5S-JBM49YGtZrHAB8fvlu96ir4rCxIQXTh5h_z8gK7V_idVs1veLIcfr_rG_YwnXBc_-vytnfBVLL7jFRQ0jwLTZ8ohBzgTexTly7O3hOqZnE0ho2grgB-Y5HROWOS0elFQzuOnVlFhSwLa8dr5TUTZ_1YD5eBxusagqYmlp2ABhNn1G4gHTVMWzf5KD5jvcLNhxLCjJNq0Cxo8Ee0Pry2Vy9jC3Y0fv7i5DXuUmljj5RVnewsE8BFOlFPLIlN4RsSJtef8wj1trth1HM1v_Rl3M0sc28DlSrk37wJbQD9-RObPwkBWqul-GPnIYnTpAFcMytGM0jSEoNw2ZmGJYfxW9U3lMPqVG_LWbn0DOOPdTLgyV79q2iEx8CKHEQb34ktYV1Re3G3iDSdsgh2To_puhcGtv4nHlgjjt_o6sHN60aWYNF9IlwfUE6-Uyyjx_DTFAj9muM67qISTkRAgwY12f0YmanE1sCJB4v7jj8Q7blwjMnkBt-R4nt4M1Q9agc45BBEFiQ9RUnl8k71VMVSjGmr_v_vGWQNrCi1Q_1pccP8qtS_NtP8q5-Ke-zG6pZZNtjCInTqG99tskW5ljeb3fTcD4oYw9X35vsmJXwzHWY1pMvDmMiRfGN8llusyiHE2dA-jV-ECBQQ0eiaAS7nLiRlE6wzjXN0Ql0zFagZ4A%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T14%3A14%3A05&sort=RECOMMENDED&top_dp=347&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550497&selectedRatePlan=380228465&expediaPropertyId=44757
6;6;Pullman Paris Montparnasse Hotel;4,5;4.0;532 €;19 Rue Commandant Rene Mouchotte, Paris, Paris, 75014;[48.8385501, 2.3203257];11/09/2022;4;https://fr.hotels.com/ho114754/pullman-paris-montparnasse-hotel-opening-soon-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246979&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958437&trackingData=AAAAEPQrjU58jV2X5gmlJ_2c1wBEfgGGPIej-_2Q8X0SYBpVTBZHtQ2U7tQBOXvCjFxdBJkDB0j7ZdKXjXboQFs4oLwNE8aRvGcLSrU20MMM3p3ejeSGdKfYxtHcoRq-ywiloYbiKGVxkE1heTbFTIgsSH1bX4-xSRTDaRnFNOSnLZ03pxUIjFMaGI1_hTuuX3YHM1TjZIQaHICMU56Bj82AmWnbYU7JL4Dlh5WshA3-13slKjkgjaSiTAt_9FwUl7X8FH7VQ-ijswy0EZImDSfWJzxUF3GuTRMjqLyEK4VWYGMkdR7qTHP-_xRx00THvFHjxhvvqEBJNFW5c69KL8y6DI9GsdYjPBvcMFT_ppgj-QUPZjAwmqU_vL-FaJsZQSuPpuCT2I28LE42O6gPvS1I-U-Nbey_BV_Oly8Qfudb-mu_peNd3WrRMxGhbCi5lBW4wQ8tbfXXKiBT_I-ggFCIqITQWuR85KZIMKzcreTWFDjk7eQBIbf9-z8JsOpwt8XU4JLMnXVGflQth_mjJs1GLOvG1I76AUkSDyTJ94_tIFYSiO3-VA12TWTVoNxXKQR3jTR-YxYMAUW8gu9Ku5WzAr515zclAg57oKpfQQisEZ943CsLBq0ZMBJ6HxwLewyK5OJAtSaNWBDYlfoUM2h5_5p-KlMNxJq-m3Obdpel02dwiAVw8O6t3KdaBQCOkheqh5kknh_wxGVgZ4Gz0Rkbm46QHqcJj58oMday3UzJ92bH3EG9F0PGQh-mTToBJBBrVNtj_YqhzATCekvDSbdm6jw3uQTMl2TYT8P3wFE_2EG9dZRw0XCq93xaGneeY_xdIM4Vx9h0XPnw4UXkeGEyUS1wsGpFblmCkypG0nzf4Ia87O9KVrXWy_3oSvx3uAau_667mQaAYbbRFZMzj1lTJ2J1WUlGFNjT9prBkSto1YiVPxXy4dB5rKW2hvDOpGB8sblOKPMa6vQQ5-4iep8rhCPvwSCyxxIgOlZeY_H6OHFZxZsCBDA4ZBPDTNAuJFgXSw%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T14%3A14%3A05&sort=RECOMMENDED&top_dp=532&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=214910678&selectedRatePlan=252223433&expediaPropertyId=17333
7;7;Chabrol Opéra;3,6;3.0;139 €;46 Rue De Chabrol, Paris, Paris, 75010;[48.8771944, 2.3511106];11/09/2022;4;https://fr.hotels.com/ho391643/chabrol-opera-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246980&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=139&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200541104&selectedRatePlan=209228217&expediaPropertyId=860317
8;8;Residhome Paris Opéra;4,1;4.0;281 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11/09/2022;4;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246982&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=281&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=233533&selectedRatePlan=254224957&expediaPropertyId=1584249
9;9;Lennon Hotel;;0.0;186 €;129 Bd de Magenta, Paris, Département de Paris, 75010;;11/09/2022;4;https://fr.hotels.com/ho2372847296/lennon-hotel-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648563246979&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=186&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315954137&selectedRatePlan=385139079&expediaPropertyId=74120228
