name;grade;stars;prices;address;gps;date;nb_personne;link
Holiday Inn Express Paris-Canal de la Villette, an IHG Hotel;4,2;3.0;148 €;68 Quai de la Seine, Paris, Paris, 75019;[48.8873661, 2.3760379];juillet 2022;2;https://fr.hotels.com/ho266478/holiday-inn-express-paris-canal-de-la-villette-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978065&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&trackingData=AAAAEJLPQBwuKh2roDZbK1gq4INJHxxUjqX6SJoxvwSSRzsNedxqAU6l05E0HO8nX9IeUI40vhpc3dyivYldJ2n8MEOejIzbAsNTr61OXF5AIjqLb58CI3bsOT1qE4C5E9FdKWS7lj7xLRmJmqyo4aL2um-4_lzQp5UVavoxTRXX0fMZWsqmCASv2QGudzFjzzwvn3w9EH4ApGWw_1ddGviTHAyMhAPJLK5HgnjSSp0ROGDCtEZsEc8KO9WpdUGm5Tbka737GA7YlbKuVyDjerIBzi6bnGD3Q9nBnaUiZTEozKhqzOEs6Af-Yzj2A49mSYQonJDqvYq1zdZX9n7kHAE_QlguzQHD-zwFu3DtlPAsow5Nqvk1r9AM1SWpCQ8DWbGxp_0qvpyIp-EUHAEoK-xQeK8hXSCp4icRwQWql0ds7pK0YULda4zXmxhkoxZEmLjMHnMpIgaupC2s3yhyzD7_o-LOVLwfJ4kozpvOTM5FUpZ8XiBj3PQ4MBRk07nEDrSmVlh-s2B0eqrJ32N7oir79IB5M4zrYbWvw3Zua9QM5LaoveUy-QonyvrZ3PUmtGifcWTei6VSnE4UeAPvn54kanCHEybsNYUqizSZ2V_8pm0nMchnVHABRgz_pgP86xPbgllvKfcQA6PXUj-k0XJM9-zEQYr4ouROQWSV0giaIMknUh_UUcG_Kf7drjO5wcB59Nds7wdpiiMqzbR2ZExtOO_EiJGpy4s6-GpDVd1j1ABKzXMTwhcTK11qrwrnED7kC2e0q7GlNnc-aNxWyh2galq_RPLhXlC4dw8plC-y_ZFDXSwEbpcTIh0bheEAGvKHHLmXXUl1KYbPIqkANwIvQBGNPh_KMdeB5gH0fQpj53_nSEVoo-UzIJ1s_dUJ6e30S2wK09j8rDrSMXSY1Z_1qEFYni-pBiUkl0ge1ufxOhFS0la1XDVILLNv3Mq0nebb6B2meXvIuLGTHufwzshscQd1mZXoWhLgqhhJ_ou26T9EUrvEXjYhle9ow67GZ_i1sA%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_A&position=1&beaconIssued=2022-03-29T09%3A59%3A36&sort=RECOMMENDED&top_dp=148&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=272899&selectedRatePlan=380879771&expediaPropertyId=1845330
Holiday Inn Express Paris - CDG Airport, an IHG Hotel;4,2;3.0;108 €;5 Rue du Voyageur, Roissy-en-France, Val d'Oise, 95700;;juillet 2022;2;https://fr.hotels.com/ho624904544/holiday-inn-express-paris-cdg-airport-roissy-en-france-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978059&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEEMtvWinUshqNJYMR-fkvQDXhqhdmtSFrKeWxYRhRYvu0LKnsCs2ITgL9W7iAn_UUzKJw-vBzS5XCpl9AaGFVC8nARxNCXb3XEj6IKF3UGvU-jr-StinsN6QfHEzNe0fUfbr8lZJVLTdcMFgVNV9qrkpCRsmf5Fi9GbFO3K_KzQuizlimSJrthPlvAlqULvYTsFbXF5cbe8uO1w6Foa224zUvBRhcyL79vL47fbpKFnFJscvKW23Kzhoijz_y2AqyvZ0ILk57EqYQ673dEvqQxYX2OPVtRxBYn8QK9Z0UvfhH0nar8_bzPzvAbbumFYeJ3_NCE-ntMnDKIv9122ZIMLNxM4eH5d60YvqbU3Dx-VgwYv6TK3Vw6GrJVwW53D4isQMTxkCO65W78FDvj6Cwjpt2nRE4upBMVVjWQi901yXQz9jlUaz6PWUn3EKVhB9M4BrUSgyeFny1aWb3sn_9oxNMQNagm1-01CNIiuKOBbvv_2k7o4Wfm2HULxkMJ0wvFbpeeBoRuKnS8SGz38nAxHGCTb43Eyi9ThV5WH3yogi0lSLGtu9ILCOzax8OCW1Myw0Ofz_neyWGJV8M3lirmhzNTnP-78OBAeLnPi4Cw2W436ubbKk0ns4YtWJ_6FEYQV-Bk6dMpwDyk-v8KwD8mitxyXZ6VBcLeOD2FkxvKiGOehxkw9nvu_USwkZKEpAS2Rrt_qpFh8b9nOs8UhkDwzFY0j9V-Dm0OX5oshEqVipKygiPn_SoaJ8S-UrtTJICgi-_-pO6cnT6dTj4ssVldfRfqfuxnhCdMYTPkSji2jf5qyk5FTtlICtAFoEFdOxzVcB_HnbyAPpiCYHBCS4u_CuzDojQ4ffsBHTWQMcC518SR3bYNfC4AsymhcCCuavmwWjb26J9BpyhppwSoV8oaMk8mlrL6KW3u1SOUKUlcSv1wi1b03SZIDlnbRIqEtdWiH0kE3g-LeGCAEjBZfdSD6UFSnBgNpeBeZM-Xcg_oei32xI2pIDoUOvORa_Rj7j1Q%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AA&position=2&beaconIssued=2022-03-29T09%3A59%3A36&sort=RECOMMENDED&top_dp=108&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202228324&selectedRatePlan=296417585&expediaPropertyId=19497017
Hôtel Bonne Nouvelle Paris;4,0;3.0;120 €;17, Rue Beauregard, Paris, Paris, 75002;[48.8693177, 2.3495226];juillet 2022;2;https://fr.hotels.com/ho349955/hotel-bonne-nouvelle-paris-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978059&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=120&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200742472&selectedRatePlan=205117594&expediaPropertyId=3673089
Libertel Canal Saint Martin;4,1;3.0;93 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];juillet 2022;2;https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978059&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Hotel Libertel Gare de l'Est Francais;4,2;3.0;129 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];juillet 2022;2;https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978064&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel;4,4;4.0;158 €;11 Rue De Lyon, Paris, Paris, 75012;[48.849502, 2.3707401];juillet 2022;2;https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978059&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&trackingData=AAAAEJLPLUNWs1HCMDlZPmKIVOZicP0jC6n8VK_b2vvYDC5ZFevp3w_PJQauaeYF1WGoRDKV77oGwFHrZT7DS8U0Eh52PdMU9vmTR-06bclKAaI_pWU7WQhkV5phpousVtqDemx9civoUliuknl18vvD3xy70cXaFHgTRxWNNJ-Qjyz7O07jb100t2KsVGPLdiS4mjo-3ofbVGqHaQlh1Jlge-kM2sX7Cb4tOZdRGlCdkJH6BKviGXumfSwUa_WsePiXrsO8YcSJGVsxytgUxwZ-YeNuF3pt9lHLGTnIFmVE0lFbofJSNulNmiN9bo8vHi-LiN6e-t_Yzwb4O8x1nhBMTW44WghA6Tm1ZakJMPe5Ep6LRQIiK3PQfr3j97io0CPgPh2TkDn_kktOLuSX1qtBScZNPwAZimIDugV3BjGGDYX_2FE3l77sHp2VdpU42e9vbLAfqsx35TD9qLwbad6fSXPzJgcdgrr1YhA4dreL722DIc7EcddR2g0TstEAP6NOyFK5NQAfn7U1E0m2zJi_bzBKnK86uJlb5e4Q4TGZvRh256OZi9726yqVWjgJmms1NAjFhVnqQ0wJI5688dMy3dYE_tIIB-RxO52Wd0kE1w0-g2DfX7RxA5mMWQoscBXZMv4_TBAkjh_A4gL-HSFmyEgViPji5geGjvAt9nJsJLgRGf__USsTsQidK4e20O-DDK4OTmmSHSGZMbKa3BUyF7fA1r9jH476zHh7EP7kUbGOuRl75LN1T0N9NRf0OWG1O6bHRP5JzwHVAZ7M13IDvU7tlDIRsFiAYpUtbeCcpPHvI_uwQTXDuXevtcMYCzuKUOBYORD9mzCbS48aZFoQE4ZGtyisG-l0yCIuKMKXaKFSCRADmYgH00ZafLq2ltGpbpN6oFNcTYzF9YQ7Fi_SBlBWynRIB3yTjvP21_mXfu79L98I_jNuprBXEuCKOam1_onDsd8zYOFp6CC7vwBW8UUi9Y9TdqY4yzv_7afo18jylPSpfjsQ2ShgnjJbvKYY_Q%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_DYN&position=6&beaconIssued=2022-03-29T09%3A59%3A36&sort=RECOMMENDED&top_dp=158&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
Holiday Inn Paris Opéra Grands Boulevards, an IHG Hotel;4,3;4.0;176 €;32 Boulevard Poissonniere, Paris, Paris, 75009;[48.8715747, 2.3435478];juillet 2022;2;https://fr.hotels.com/ho121945/holiday-inn-paris-opera-grands-boulevards-an-ihg-hotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978059&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&trackingData=AAAAEEo4FdUHqqVheFNu6xCdr_zzeKpgMH_XY-1Z8iGVAl5dfyfGdVey4O-Hu1DVptW1_s5kGQzSjO4zIRTEH2ydgH-KwdO40A7VCcWWojPoajEhthRA8K7gSjztbGbUuz0ON11U3uIwAQ8Kj1ALg1PvuXyNJ0a7mnb-HuZlgIB2fRXEV2mQR8x_0lLbYimhyW9fi2nU8j5gvX9-FtHS78ABg7_wFmX0ciYGCqrzqojVXMvcdH-ePktiZE6HfRKbHstGdUC4j-PTO4Iw1BiEquelvcIOS2rfDwE15rbP0pg8dLXKGsBANEtZBAD8RG773_Y8eDVS3FLr7EwSTF3OQAeRbcuhOXAM7OTworIU-jqhFfNRck3hQ66B-jjZH-CnPzJZrYkCfWHpoVAkCyFrXIXY4MFFI63tlXF6tVc4IgpL_DPZlB-c1sWim8BcZCIOhfKOr7asIrKDIsLvzwjlPmC_DKdvt6vZZYaI1clRhfiBcdIFoT7IFL0kf3sksdm5NdAwfiQgCgfTk0Fi62Zp6fd-i-5ydnL1PvGuGtLYZPRM_8w4swqD2hdOr1tTU0KhRBbHyK_fOVC9ktab9aN4Gsx1ql-BGol6530Qi4I3_qgONTz6HkAQSviJsaWcxRW9SOhtMk-FQ6Y98VShPC03Qn1jpg5Yt1nnGWpzepijiEeov73MSI0Y2k2XvIT7TJQxNEViR-RG4nF3UQrL4Xws9G0P9yB9I0uLfucnTzMoFOR3txKm7z99mNzx8QbUXwIS2N9BtjNP_gb5fY5fOkfGpxe5mOM9rsDJsk0CyY6hwr3WDr2YBg1oyu7a1K0CM5ZBQzwcLwfx61gExkSWmaOZuKsFdece3Rh6Y29or22Aq4xs5FWsk0X142L6bfztdujzIWj4wcuku3mzZmKZ8Ul5SskTcSkzTGjaXldWmLk8tYDW9Xv7t0OKcoESnt-4D9bX6uu6TmwLMk917C7ABF1tq9q61cui98D8PwjF4g684Y2oee7Uw3KWsnpadSC5Trsymo9qNg%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.4%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AB&position=7&beaconIssued=2022-03-29T09%3A59%3A36&sort=RECOMMENDED&top_dp=176&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200083506&selectedRatePlan=380280413&expediaPropertyId=19247
Libertel Montmartre Opéra;4,0;3.0;111 €;32 Rue Duperré, Paris, Paris, 75009;[48.8820719, 2.334511];juillet 2022;2;https://fr.hotels.com/ho130479/libertel-montmartre-opera-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978059&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=111&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315632453&selectedRatePlan=384183881&expediaPropertyId=3703
Odalys City Paris Montmartre;4,3;4.0;157 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];juillet 2022;2;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=157&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
Hotel au Coeur de Republique;;3.0;167 €;43 Rue de Malte, Paris, Département de Paris, 75011;;juillet 2022;2;https://fr.hotels.com/ho2428349664/hotel-au-coeur-de-republique-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648547978063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=167&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316267704&selectedRatePlan=385715467&expediaPropertyId=75854677
