name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Crowne Plaza Paris - Republique;7.9;4;423;10 Place De La Republique, 75011, Paris, France;[48.8673446, 2.3653087];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=
Hotel Pullman Paris la Defense;8.3;5;414;11 Avenue de l'Arche, 92081, Paris, France;;11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_o5F009UvYIolvNOs3PQ0w5CEIYU8h-tFZUx2Z0jyqgej26wVLRk2RuInR50wSBSZx8ZbgBFj.eYf2n-Pltjbpz5F.Ksaf37H9QL5ZlE.cDric4MLMebqaiYjLwJ6sJKIcfY4z1c5tUp.ik.FEKo1YgJ.2J4oRheLBpiUXNwB9mLa.iHixsf7N0O.gwwbu27C0XGtYkPfL0mIBPD6H.SpFGyM8cYuFICfGLOmKg6I6M-dtni7sunIPolQrlyk2rg9Bs2uX5ZjLi6bZa-z7l-y0HfzfnQ1wkN4alo2OAM4UMbNDHfVJ9ib.5LLpaYZIlK251pVPsoAs03Jw6H8hEmJL2WujcU=
Ibis Paris Eiffel Tower Cambronne 15th;7.1;3;298;2, Rue Cambronne, 75015, Paris, France;[48.8472571, 2.3013183];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_5EaxKsaSMsY0h8mm3rdJe9XWnA2m8Gg7KOSk2gfv-j-7FFmVA3knFl6NIlMg6z-IgpyDVWqVoDuKfZkURcgGaomDSk2oTwtO2AL-grR7c1Ht1X0KwuUu9fKy5f.TZWVRfl8cdrykJcNh2yls0uHo.hzUaZ7FkIeCLANrsofyHeh9Ft9sfbjdenXptNKRlKrVlJpH11aOiJZzIHYe3O0lynzIGaUr1XERyxQ6XaSzKAnvjWRWItFUOtHdwww5cUcGVGe9eDIj4gXCdiYpgirzVeNC3as8tzJ9eGsov2kRaddDONddoUjnhMenT3Ekj4jBaqjqnb29BLILH5udwsn2YvXSGYo=
ibis Styles Paris Bercy Hotel;7.6;3;239;77, rue de Bercy, 75012, Paris, France;[48.8384022, 2.3811331];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_enE94Irw.mjiEkJrCsHG6npzGTB6Ll3srsajcms8F.rEbOTI-5d0.bFo-h6T7YIIT0WahbQGx63kaewfuI2UH0EKME.EChxgPWD3-m.srkmsiYF6HpyghjqjpIxzEaK8XWaxpGU.BxYx8Doh12uCpBfdiZ1QvbuOtT6A2zJN8Sn5mvBC9bOulANv8xW7D9WL3DekAb4ZCP9sW1dyj.wAxWTEKGb-pWIzXmvSGBbruC8wbnPQjp1nNeRcagjLaJxoqghb6Zxh-JN-UT4j-zPBpuXtxqPOTTAd21enBuvTSP194Jh0zQJdbr7XJHA7Ju9WcBcxJ0wpexyjZ4E0ujF3.AbYTLE=
Novotel Suites Paris Montreuil Vincennes;7.6;4;524;22 Avenue du Professeur Lemierre, 75020, Paris, France;;11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_raTzKAgFxi59GQMQXOQ2DTzUTQn4NnR0nL5wfHOeHRJUlbmWZXhKsWh4D.0xguy5B8heGnV2wDMJ83ekXLHi6baVPdiD-6LuDMEoE8IRmEpaIqZDPJ.cVyu9xOAWD1WJfOR0cljtblL7UYalfb2PmYPrWxcgHNhb8w41PGX40OpxxKRxFcigW0uAJAOSA6ZppGscpW0BahxEu4u5KTWB.cPgP4wpWd-y-MRyi4fpMOe8eMIrQWlRBmk0eG2-qZFRaXJ3gE4wkgHzpx.bK9GEeylgDmFsqmCo0leqaLN5SASe0sB19vlWgi42NAZIcMwhep1GvEByTDXsSJhnubhEq6A6y5g=
Hotel Novotel Paris 17;8.0;4;317;34 Avenue de la Porte d'Asnières, 75017, Paris, France;[48.8917846, 2.3020214];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_aD-TZMNopD3v-BIC.P8R-t70y2nWdGMYW5SYisdxjpJaVQYIyjpR0XpTpSdvQMkbsCXcvSgGgpD4DTRIsRYTHVYhoeeu4RYQOjYQeulgkasfuJ-04905AcVZLHtGqZk6lzwsnVDJXULDTRlIQy-dYdYICn1QoPlrYOc..9LW5QKAaFK8gxCtxXQzPDiDE.9MkjB3NFlR8Yi8mEem0M2i7lhQ7D0ux0BWtC6JUSaCt3garbjKZChSqMWviEpJlueN72L9WSTv0Nn9xKdxAV-8oX0EHujH1dG9c9ROGlbFWMUqzW.jEL478hfxzebamiKNYMkpfki81DXLPuT48phFx9Cl9W8=
Citadines - Tour Eiffel;8.3;4;620;132, boulevard de Grenelle, 75015, Paris, France;[48.8488275, 2.2980171];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_NTNZHMj1QGI1JiAQTDIBqnFxPe5PsB4bJKunlSWnPmk40.7oChxVKY7J3RJfjf4lMUgOAD4PyeinNlrHbqycBfLUr4GqoYfbYf2Na-IcAsIJR.CvIsVdAiO1tYYGdEhTDSbVyaSmaTqb1MTo6sCcp-1JhgXYR7iYCDJkPv6mtsod8BNnnBtQC.C4RA-.CTWGSVI=
Hotel Eiffel Trocadero;8.2;4;396;35, rue Benjamin Franklin, 75016, Paris, France;[48.8612886, 2.2863619];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_awq1Arf87SpzfUb7OzfdNkpVboXulm55LPfaGqFhVy2O9lVtcn8smulq6imGIHCSGSwu05xLZq4h8W2YSUeupMIo00QbOm8nvEoYuxkRli.Vu--MaCrZ12E8ZBEqKBIASpX8xkGxPYi2W.bPbpdEKWoMOCxXZD9oHA==
Holiday Inn Paris - Gare de l'Est;7.7;4;322;5 Rue Du 8 Mai 45, 75010, Paris, France;;11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_1B2jQXlTwHudc93qW.zhEr.6TkcA42196ake5epH4-AAHx2xiQWMIgDQwN3aW4181FFN1VoJUwaXtGwnkotdcgcnQGjp5zW6S6w6ZGi6iuBToRzd.uT7ph88UNYQT6zJZ-Kzx5XHJgJim.--gw5wzuAccu.HSgGki0FgKmtFQojc6AAeYxDRf-mYIQmn-QNpXM8D-97Rc0tewTdJUVhQTVkqfY8KtuTZ6lJnwjN1HZ5SYMEKzgIo7N5yItGoK1-CSGgVDlz5-wpmniUkI.ugsUmz3mnUpjn4xnaWyPUxtbuuqdlMn6nybq7KqZl1
Hotel Lumen Paris Louvre;8.4;4;887;15, rue des Pyramides, 75001, Paris, France;[48.8652752, 2.3332993];11-04-2022;12-04-2022;1;2;2;https://www.trivago.fr/forward.php?enc=_GI.oQ59JyLySyuH1fFi7EQit3XizgK1chHYxxMLSJrBPrGG8-qZvg9K1J3.Aw9iFJslzJklxdqUpLKL9ROh55c4TcPjowrhTKyMgynkZvFtcSlSZ-THcQsHN11tJFvcBRRlJf55k5TloUvgxsfB1axNc2KAvNg==
