name;grade;stars;prices;address;gps;link
Disney's Sequoia Lodge;3,9;3.0;389 €;Avenue Robert Schuman, Disneyland Resort Paris, Chessy, Coupvray, Seine-et-Marne, 77400;;https://fr.hotels.com/ho230009/disney-s-sequoia-lodge-coupvray-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944164&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEJYokPwDjzpEfJoLes9QD3TUjn8phbYtBnG903QCJNpRE8cy48TGNwou1NYXmDtbrZsCccIpPmZ65qQb0gNclDiPXf_wZBU26T48MeVxUMnlmEj7sfGI0xGu_Q84DLlDNmGTr4Maq_IsXwK54Rrx6rsJiZgOwvHGicc64JzuIQNZ3I6Ma9L3pJMjexZRO6QxQaR3x1Fis8Dzb4QD5EymQIwkSQjM8PdWCDLNon2n4PFZ0v9KUmLuynIs_OgfS_PsPUYT4Fc_zQ5V9lfy8R5OpcUD3N6aFwjGx3X0eIMrCumazSrYa3NQKNMyREuvTt8ARZJDw425ZzNCNJFSRUTDf6TWZI4IHnXYesg6G7pvQCjJLeUPPKL147vbtJpS7zwzgoTG5-4p9e1JRRATTImjNHRPPe6HA2_kde_kk7TPzsx0l3TRb5NZe26DugzpVn-5_a0L4liJ1hgrtuV5digzqCAvboN2Jnu5hNsTGhgX62ixuQr8OBWqJ8J4MKZ7rbHIOYQbQcdKOev1DrSr9-lPiiBL4wIaGrHw1wUcz7nHDE90J0A9wYl5_aDsPTIvi3M8ng_blZBWu9DkM3e0zYxjfmm3xiczTpy7FQ-U5zFtLyGTfmllbndFnpWxGKFHbEaWJzTw_X6dpwZfZCgnS_0Yk7jjVDXHB56CUjodKOp2QlojQQnSJ9c8QFnfLzCQDKARtmEldEbO0YuO-PNVDFzLnugWA49jLjTD7G-hEOzh2e0fYMEvwZdbjQ0v0OILLFx2izFUoBTcdBGxKcsnTV0JSyMm-vK6byluHsEMTfCxbvCQhh0wclgPv6fyJCzZ0qOQNPKEeCvqF2A87e4hSmQO5-jmOdFIvHItcGFI0PX6B5XIk38waVmTza_JYD694K30n6wviNBHY5FBJSnaIxbzAV9chhtnu9xQK5488VR_oYzK-_HcP-pcTjdXCcb7-gce-a7onUDocTK96w6mAAlUPAJkWZQdmiuE7_StyrNOqri00z7AtnoxIxyFV2UvA2UTyw%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-28T09%3A32%3A22&sort=RECOMMENDED&top_dp=389&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202162500&selectedRatePlan=384799943&expediaPropertyId=1102910
Ibis Styles Paris Charles de Gaulle Airport;4,2;3.0;108 €;Roissypole 1 Bis Rue de la Haye, Cs 20009, Tremblay-en-France, 95735;;https://fr.hotels.com/ho547891/ibis-styles-paris-charles-de-gaulle-airport-tremblay-en-france-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944167&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEHOoPpquLgAZnjr9L4uxQLZPJml2iWXI0InVetECc7nmCMyov8qT8ga48VCHaENO_rhay35oK1ITtrHvgN0bR1hdatfDMlkDNkkxH4t22URheq3Hg9DKHk-nTyQyfuVYB3sElrZ2Z8U4kj20E05_UMVBhSO4Ox5s1gyPR1lV1zGH5hH4mbIDAzZ3v167Mr9COlLuEbCiGlmwfMw0THbuFXisAdx2dNp2Ib4tprRHoTNUq_g-Icl14bLgOVo7R4uRKEI9qccVUcsv1PB7LZxjDeR6GCBY5bRYEfJv_2x00Tv9A9umYMkcdF6mISytaseJbJjKejYU7U_A9kRl-VcqI0IufQBKJ-6a0sFBG36QWblh6k1vhv_8PEt7o10TtzcnzrqLg3egBv6F2tTCJ9Ejq5lm88Mh9CH7COi-M4X5Lit7GWR2UP_Lol2mXgKf1KeL_-HQWhhBKc_1F0tRUMmPcxkb2Zc1ren45LemH43ZullSfNFveYvq8C844WHxdBNi3r2OGnp4H0Odmg_VqMd-k9bvqGeKdLF5hRtRJSBZsI0C3frTjMpeAutBv-F-VOHz5_UGCIsTmQYIQTWUtcjarhZwF7BgVvpC4dB1I-n5fRUt9hgw6yu0pGPaPMCfqJbarDZEayv4x1K7-q5wVFE-a5OeSLGjNxz6gRYU8gaqbd-Z6jtynMlfeD6jvJun_iY4VKUQleJLJD3f8ONS--JwmsP9qDpkRLEcgimLl-xHunZe-l0aaWovtPJMb0brtkfrn0XhVN_90hGCfTxIAfuBvcR900Fk-g_rBbwzfgkRBt9-ZdFu8mXriZZDKc0Sa1mNhV0jf0rFofxSgXB7_SF8jFuUUkoVRE8HMf7hpGUWdGBg_SYow7m-qKKkmKGFuqIemJzBa2FPf5iIL-Nc7X54p4DRC6Oj9vIeKOUFj4tmqREmrnJzQg-tqrs4ToTmlh_re9ApyKjjYpTt6yZrFz3KXXxYfjMZZ8qXV_ktgFsNd-WqYzJU4lx4eJ9pNEjJrCQJvw%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-28T09%3A32%3A22&sort=RECOMMENDED&top_dp=108&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201270585&selectedRatePlan=207156158&expediaPropertyId=11751238
Hôtel Bonne Nouvelle Paris;4,0;3.0;121 €;17, Rue Beauregard, Paris, Paris, 75002;[48.8693177, 2.3495226];https://fr.hotels.com/ho349955/hotel-bonne-nouvelle-paris-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944167&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=121&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200742472&selectedRatePlan=205117594&expediaPropertyId=3673089
Libertel Canal Saint Martin;4,1;3.0;93 €;5 Avenue Secretan, Paris, Paris, 75019;[48.8807961, 2.3742721];https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944172&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
Hotel Libertel Gare de l'Est Francais;4,2;3.0;129 €;13 Rue Du 8 Mai 1945, Paris, Paris, 75010;[48.8762368, 2.3570905];https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944167&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
Hotel Campanile Paris Ouest - Chaville;3,9;3.0;74 €;1 Parvis Robert Schuman, 885 AVENUE ROGER SALENGRO, Chaville, Hauts-de-Seine, 92370;;https://fr.hotels.com/ho250341/hotel-campanile-paris-ouest-chaville-chaville-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944167&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEGqLGECxrKdadlmk_vcPYL69DnGQKxNicpXTqIFsr4q7IFe6-Qg9gt9A6Xv12c-TvR4BWjAqbbr0PgRaoSm2dfOSD1rWuc33N4kZoUFt2rG4PTQgGXIynVMQ6YIUgpn-dFO30gLx3qhudKnlnwVGoC9BfswmV9vRYb_BctRrWXGf2P_qQirTbDj-cFgqH3N3C0NPod0XJOYYOZICMoRA9zXaw98ClcVNuq9aXqau-v0yvmDx1n76WEjf8TmNNfl55jIgsAi6TItiGAcuvvNVEVtY0ETnXILpo9y4Io5DCliT6LX1APkMCJbnHlhAtmKTWQ_ZyJ14Gk6bsXVyvlUvcrOGvahKfT9xgmBZ3SbnX5rfLhUgm6InQNJSIZEix7WdQWwyJAjZErRhpJi3Ktod4xOO4h90zZ34GGLPJ8aCm-do0g36hqbiV2N6_LyvJ8D-kEjgraaasug9h9QIRlJte020btjNilaoZ-FpZJBnnnzM7AJoMzLXcdjuaWGrM2xpcXRcjPPrK4-u_VTZEPqLfyGbP27iKjqG2w9ZW7eZ_B6X4BneTnT9Hh92RVXh9wXKR8sWEw-rNytsxJJBF4LLWKtDSHYOA1YZGL05heHb3mpiTlIu56s0u-HwgsRWkphBVloiL4sQQ6q-aqzdf8uub9IySM6n6kuyQJCiXAh22e_XjwRt37u1MHy7BHtHV7vKKPIV_rHV8ndjlnK3l7OUV-dNLoOoKRn9hipFHFnpVUiW0CO7eZF_B6xQtTbZVCW5jDAemAVYfcXMrO4RFyGKtb8GfLZ5Pi-C6XkjfQ3eh8_AnGR5RV1OFMGABB437txM4UdCR3M0xwdZ3gt189eCMHDD7fP2BrMH4QwHuPch--pJQPfg7qJgw5S7x2jL0GurdP49JpqY6twkhKrllPhNgd3oBVQduI3O4BQnDUnakVJY23brXlo-RchW2sUg3IfykPssITZwtHQj6QjAcW6kfYb-qtopQwYe6JqG-RHCHGKkHPH6xP_oKIODJO5hXIv7kA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-28T09%3A32%3A22&sort=RECOMMENDED&top_dp=74&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201008507&selectedRatePlan=384123119&expediaPropertyId=1177528
Le Meridien Etoile;3,9;4.0;212 €;81 Boulevard Gouvion Saint-cyr, Paris, Paris, 75017;[48.879540250000005, 2.2853816492180723];https://fr.hotels.com/ho114226/le-meridien-etoile-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944171&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840797&trackingData=AAAAEHFpPM_g7HAQ7OLh28jo9YIBiVxOtzGQ0_sF95euMai_h8SbSi43ufjbh0dnPP9G2T4WeHm1ieWzCWi48LkazDVV2WyE09XV4K7iUsD77NmqB-5K5moWbjcmYhkMm1smr2vq9FGlBLJwl01WfnWZoxyL5KjLbSH-RWuG34cboOIoGhEtLpvAp4t2T5dqpwD6A1jiXZADJaC27BEP22HmKGU4uko5iPTTgioC4kvLbYahPSI9tkNYuJZDPEQ6NggNriEfGkDVoQLPWyGSyCkht5xdYlpicd7DWuCZBz6EaEz47fPheg4owMDzObv7qokmVhrdYOuSuqrhnxeq8MiGL1sKVEhc-GmIrmaXhEqd4tKE8FyYPacYGVIVpTHge0c1QmS1FonHKCXoTEXPb3q-QNO81Tr3JWZqEbICspWd5fuk6WdMF7NhWfP9spMyZdUZpyMWkgrb4pGehS0SlsbZYYHkYpxaCooP-bPSWMs-b5MOI7Eh97NcJDRs-bpuagxETkW_GaHdYFBJ03JKd3EosgLq-bMRiUsyqCGDzM6KI3WWpbWeCnX5KSgNANf_l8FWY7gtp6tCokOinQXo22v3JxOOD0k_NELgH8SpY5dAWFgYEWgX24Udkmo7NO4xDdDeBna7ODecfaMWRCMiB9AQjPdOJwWgDWh8YWBwSa7Jsg6yC3_47_RbbcJvaorOFJDix6RJ3VP8uwcz1olUuyexdqxbrLYlu6HeHFw-1_pg-9jTJSIHMtdjLSgjyL5Fry-odjTCWor1JQvKsis8QePAM0XuVBa0cHae67a0clOB-W2o_xzZn8GWtRBQ3LP54T2IplsJbKwphmiu5sJjs_8j_1uroXP5Foi1ItJt6dNYF6SZ9e1BLlmg8DGMLOwVcjNDq1xeHNTYD0djvJLpsJfDh-nkBHC2Nh2wgitH3f9eEVdAIljqVuikq34cRTEnyoh0Zw1nt-3VlQXB24PADuF86vkZ2B_sMnI0V9Xtl4jmTWCxLegCu6Qkiitarkj-BropOQ%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-28T09%3A32%3A22&sort=RECOMMENDED&top_dp=212&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=217832477&selectedRatePlan=272384321&expediaPropertyId=6454
9Hotel Bastille - Lyon;4,3;3.0;132 €;23, Rue de Lyon, Property near Gare de Lyon, Paris, Paris, 75012;;https://fr.hotels.com/ho350434/9hotel-bastille-lyon-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944171&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=132&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213914723&selectedRatePlan=246113007&expediaPropertyId=560198
Odalys City Paris Montmartre;4,3;4.0;157 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944171&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=157&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
Mama Shelter Paris La Défense;4,0;0;115 €;10 Rue Jean Jaures, Puteaux, 92800;[48.8854695, 2.2509089];https://fr.hotels.com/ho2391761984/mama-shelter-paris-la-defense-opening-mar-2022-puteaux-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648459944171&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&sort=RECOMMENDED&top_dp=115&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316059255&selectedRatePlan=385335433&expediaPropertyId=74711312
