t,hotel_name,note,stars,price,address,localisation,link
0,Ibis Styles Paris Charles de Gaulle Airport,"4,2",3.0,108 €,"Roissypole 1 Bis Rue de la Haye, Cs 20009, Tremblay-en-France, 95735",,https://fr.hotels.com/ho547891/ibis-styles-paris-charles-de-gaulle-airport-tremblay-en-france-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEPMe6K7H0tbGPkUBjPvOjkietguoQoYdmvsS6pa5dDHdEkbTxeAoYWBjFfgOP_g_R4XErJRcjcI-LLpyd4trPzdSQbHvUJgB44Euoj9PR3fhw4gztswxdhvWyzg-4f8exf5DkSB4t40P8mXCJVJ_ZtQcHMCtuOR3rwKg1h2jDoQZg2aJflnNLGTizuA2rojaSHAQngA-8R-nHL_JQOGOPZqSKAURxV4VFr7NRvSBNzdcqDBSlzk5jCx1RHqPVyLxN6wXJm-X5Ix-ANy0d273mwbIR_fC1XEJ0MbK7HLMGeAB4NAR5rpMp727zcWbmnnciK3Hl7mdLfjiwU4AHsTQGLwF1-TD38VKS6XWptD7pRiVJhjqoVHhigFQg4dGQZFDTOGkNTymdVNXFetsWd3-3guxXCGY0MOkep306gX-cZuYg6ddr-KQapSQNqCkIR8IpSe3OfXYRd7hmd2iTtqOsvz56uko5yTPGwnSkfuiBGlEL-fKrwZ2m8mjN9NJPs02zyycwcihOceiJk-963S1fQTS9ISgef7TZzQGUJJlA2TYgjzxYB11NTwS3bV1or1WndIaRKdfJAXrVsQChIIyB3gyjoR_CWclOiN5WNkESRGHIa4JqL3f1tS8v3nycfr0xUz00ryuTsbLeSTsA2rREFMBc-63pl3yndsJvB3KM_dAfwkao4X7xt0FoN9_vCSV3P6lr1adhVbC48jxjxaeQFv5zKmJTTh_D42jvFywV3oze1HFH4qS6N_pCpJEW6IIhr2feg4UmBB0e5S7Dr8CphQ8yqvjEP05mwRAcmrJI8AAv48f_IulcEjsd8kPmPJstMlsD9nog0Sy3kCdfx0Wld9dJmKS_MXoCPop61KyLuTqvLulWzk9lSEzkZnO_1z3iBYwcxjq-oztDafcX05vOILJWUP0eFfHx1hm4Ag2vaWyI86mPM6Ozm2HRuNJcZRaC6OcJw7pTtMjyNaJYxwcV_YsvBUeQlPTlKiUf0Ozxt6lfCZD7oLDQRcqVh_cNQBxQw%3D%3D&rank=1&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_A&position=1&beaconIssued=2022-03-26T10%3A20%3A34&sort=RECOMMENDED&top_dp=108&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201270585&selectedRatePlan=207156158&expediaPropertyId=11751238
1,Hotel Campanile Paris Ouest - Chaville,"3,9",3.0,74 €,"1 Parvis Robert Schuman, 885 AVENUE ROGER SALENGRO, Chaville, Hauts-de-Seine, 92370",,https://fr.hotels.com/ho250341/hotel-campanile-paris-ouest-chaville-chaville-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEM1ZfXWMmyWpIHkrvHyB1bTrMqiJGtukFXa-kp8feYlZ-_SS49yk2Mxtwn0Biz-ii-5lGVIgXkLzis4sg-Dn5HRcjzqvBa5F_izvE6kdpIYmLgtSz0ERBNvpD7q5oi9T7-hAbkSrrYiHtnJCuUKe0pUxqGzTC4Dr97HBa9-IPSXdRZxZcZ87xEdELfKAwNYQRk-asHOMMRTpBSzxyDnbi2-vUeeersKnznb7J3FyOZAoB5n6MsBT0O1xD1fV06w8H5A-JeHPPobuyXUKWz0NX_ymB2lGCxtURaEEocjDzolegEe2qDTfAhHZrL-i47Rj5QUbGACniwFIqPelHVOyCqyk3qxT4Z6v6_eb4DCLbCUS0HgcKmKuN_KBi4lQmkESO4mNXtbCqZaxYpdNnI5ByOy3VDl11Qr7GgOtyibIrxtCFarEXLs5HFaCJGOfvynLzqRb3HTWwY-VH_ngXHV4SBdxwMyqdsBEiu-7mq8a6esdw7k9IFsTD5YUBzqYkkZ5xZOHEW_eoXs78fujq9K4mg8kkDR4nM0oQvtMb0IQm35LMC8WSc6gDIfaVAmBsSO_s37g3hmQYfNu6oCvEawLkz95vsru5RLESH1XI_AJCjLV_VxPTNt42G2L9web40r3XityynbpYv6nNkpm3R_UxXeBvExL-nj6ZDUqObHtQhvjzA-uGubcKuRV4RW0XwFcCP6L2cWj_sFGE2WgWwCMez05YGeJGzN38f6d63rnCVlbxCfyi_mCk218bkQ1Sc2oT46XOH-JmP7FHXmZoBuZn4kAoEozRG9KzB8PsDTZnbNXGJ1de0LYiGTt475pYMv2-u90TuWrYQVBWttRV71PFxv7Uk4eV92H7pMGzhncH3mXmsdlMhLVw3EA5sinxj4nNpbnZpJA25KcwlcCS3Q-sIqix_jyIerQAmI8m7jUfOpsZb7_Lhrb-4aRV7fnXLWH39fxCBKqiAR0L6w3NONzEaURpnmhhU6iHWoZ-vgkPC7p2sIEOUr1_n8mnNXpwPuplw%3D%3D&rank=2&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AA&position=2&beaconIssued=2022-03-26T10%3A20%3A34&sort=RECOMMENDED&top_dp=74&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201008507&selectedRatePlan=384123119&expediaPropertyId=1177528
2,Hôtel Bonne Nouvelle Paris,"4,0",3.0,110 €,"17, Rue Beauregard, Paris, Paris, 75002","[48.8693177, 2.3495226]",https://fr.hotels.com/ho349955/hotel-bonne-nouvelle-paris-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=110&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200536351&selectedRatePlan=205117593&expediaPropertyId=3673089
3,Libertel Canal Saint Martin,"4,1",3.0,93 €,"5 Avenue Secretan, Paris, Paris, 75019","[48.8807961, 2.3742721]",https://fr.hotels.com/ho127853/libertel-canal-saint-martin-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037929&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=800105&sort=RECOMMENDED&top_dp=93&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=231848&selectedRatePlan=2049970&expediaPropertyId=1285
4,Hotel Libertel Gare de l'Est Francais,"4,2",3.0,129 €,"13 Rue Du 8 Mai 1945, Paris, Paris, 75010","[48.8762368, 2.3570905]",https://fr.hotels.com/ho190978/hotel-libertel-gare-de-l-est-francais-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=363807&selectedRatePlan=200228399&expediaPropertyId=565122
5,Campanile Val de France,"4,0",3.0,169 €,"10 Avenue de la Fosse des Pressoirs, Magny-le-Hongre, Seine-et-Marne, 77700","[48.8711175, 2.8088325658567728]",https://fr.hotels.com/ho241317/campanile-val-de-france-magny-le-hongre-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAELFCOkyyG1-biqIgOXbM5LaW4e-OlhZwSz333NXF9rsEZYuZI5YVIrrFvceht7nYtbLd7HqoJgtYmkZG9-f-uHgmdQyOL7i_mzTOHx3UbL_Zs08JDRuKu-R8ezDvwtzaTGFhmtTyHkVcATuafoj13q1DNo9W6Us4SelyCKMGT-kiwIhcxJMaNOroJqTt_ev8351JhvaAkUF8zp9roSUFGup-KzgCS466rhtOU45pO5SthWHT3WukYfbJbi3QYke6ATlFMpIqafFTQgWp687S-0JRsoH9ajvPGFXVw4rvhogmBCArys8Z5KG_w4h9IU2Bvr9ULT4nSVUXyCGKN2rQlo8-6SLPvdjUVAVUD8EyVMNmADt9IBssbaTp05HmtEETJfv52HuPW6JWUa71j7HC7Ftfm4Kef_s3eQzKxKAz6BejEqiJ2d2qiSHxBRL1AQl8_tG-kc8J3jVtT7CAaUWPN3JpDGYVH_t78mgSfCZLQVsSx2MgX9tccb8a74cih8XqAvaj7LoEDHJ95ELYF2NeP6-jGVO7IIaoXFkTLSRzp7e0C3Y_nrCy3Xpti5pren84ZN5VM3N_szCIh4YslzUw9SSw1SqGupMuUboR3BMxTKGjOAN_nMAKXX30STRFo5msRFGjjg1M_njvnN_YikqUorMrcKoYnPWVL0HL1Nh6bqjTeeVKt8k-a3hIixztijrflZFSWOvFLAVla0-AX50LT1Q_APJBTrJ_cFa8kgYsRe4tJPFxtO3uinUbh6kDMZ0mguUhdivhZgQOi47raLkbd-HrHB_Sve2ISKKF4zOQDK5JfsoDlVseePaF8FxwzEKjduZ3qCjhpP-J-1dXESMuq0Qst72euH7uQEtoODKKLaEhhIHg30fV0UOqlTqd5Semrb2KVVqbdq5Hq-Cd4BqeHi2H8QOE7-EKpb7Y6i-1LhcqSWPIEcGRvK4U-8idKw6Smof9LMZFFwmnj18gsCMDIROV6u1mkIbwCQRiQxK_nVKMeUPfO8xW-tvGqNqyISMUFA%3D%3D&rank=3&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_DYN&position=6&beaconIssued=2022-03-26T10%3A20%3A34&sort=RECOMMENDED&top_dp=169&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=151222&selectedRatePlan=208579602&expediaPropertyId=1133407
6,Disney's Sequoia Lodge,"3,9",3.0,389 €,"Avenue Robert Schuman, Disneyland Resort Paris, Chessy, Coupvray, Seine-et-Marne, 77400",,https://fr.hotels.com/ho230009/disney-s-sequoia-lodge-coupvray-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEElPjhzH5QBXfGQ9ocanNs3Q5tVZIO_-R1ns91CyQ8RWgcKcaKJ57vLTREJt9kA83G94rE9qWpV1sCZr07o3jdrTEIFlIPVZhMglG9i3LYObMOMgmJ0wZiALqONvw65C9xasK81duUHLNi14eiIkTt7XBRfvx0cBM1XpyvS4aExSH0HD50j6CCpmPmw9PgxXsBZCKCD4M0EG2S5DSeD3PWa6bA8rIZl01DjSzfY2Na81C_zkWg9rbWAimxA8bJgc8PzIsb1ebw3ob_x8PCv1Re7BFlmeSMGJaXMwlHODTJHIh4hWttZGa8zXuIIp9tDmztDswSgfmvMv6yjMh8nUVnu2y3s_qV0ZPN-83E1m_RsZW09z4Z0aqNCMKoaqHQuvieiCPlFizrjWXzMQo4ddUcx5hkMTnnJ9gsxbjXWzm1Ix5msWjGeh3gO1-_FNM55DtyX1PV-bGu-Zc3n_hvCOEvMrbKQxQUH9GNb6VC52tETWmmEheNYMevWfkjLBPKNkbZKI1CizjuGoeRRTNQps7n3YtlSoFmFnOKWcUatLpX1Q0vfWgOZ6bL82kBqkVxJM06Ax4sX0lh_Zf5MoFeXeagf2a76XukjAm_Edi7k9Da_89GtzDLRqyLPEkH2ngKd7e4bLk8I10D5Fu4lwQ0aT8GO4wAPOqp6ZXlC7rh8Vw6hvXw-VH4yo-CCv0gcW5I6fjN_LDhqPRWKnXtseyKZSuFe4I0B_UqwhrZ8v9B2WsJV-ofVqSri-wLvfikyVFoFCgMatyhSFons9-bzQwjl_BpwJPDaY9ZUPQ5QhWArbN6Hva2P7WmUeEcKG35JpoN1q1X3mHroHrJaOFM382joKIbkf6QZDjqYWk6dV110t-K_RZAIBMCVv6AKKbu7bfIOAEKR1suySX8z87Jp-4CL3jAkspW_5QMyRyvTpZ_j0AhPatNWUujlPR4yh-XQ7PeeurVQqZCSPBuTkVxsRzzvJDYhncs7VvOGMlP1hwj8NvBaxWWIBUB6Xgp6uS0I2EcT6sQ%3D%3D&rank=4&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AB&position=7&beaconIssued=2022-03-26T10%3A20%3A34&sort=RECOMMENDED&top_dp=389&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202162500&selectedRatePlan=384799943&expediaPropertyId=1102910
7,9Hotel Bastille - Lyon,"4,3",3.0,132 €,"23, Rue de Lyon, Property near Gare de Lyon, Paris, Paris, 75012",,https://fr.hotels.com/ho350434/9hotel-bastille-lyon-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037930&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=132&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213914723&selectedRatePlan=246113007&expediaPropertyId=560198
8,Odalys City Paris Montmartre,"4,3",4.0,157 €,"7 rue Saint-Vincent, Paris, 75018","[48.8882183, 2.3426593]",https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=157&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105441&selectedRatePlan=294018486&expediaPropertyId=23188944
9,Lennon Hotel,,0,109 €,"129 Bd de Magenta, Paris, Département de Paris, 75010",,https://fr.hotels.com/ho2372847296/lennon-hotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037929&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=109&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315954110&selectedRatePlan=385139025&expediaPropertyId=74120228
