name;grade;stars;prices;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
De Crillon;8.9;5;5 130€;10 Pl. de la Concorde, 75008, Paris, France;[48.86762185, 2.3213665307395894];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_wMhzLM1MKFeZ7VvXktR6X9ULyiJz7BabaTv2VPDyEQv5j715puIkwgbBRkIdUbdPgJvFDvQk8sXI1UqHdGMBlJtEzqwaxa4xVNMjZhRM2lpEUGuVD8BwGLzCnHJ414j1RAElgWR822ikgtrb
Hotel Les Rives de Notre-Dame;8.6;4;987€;15, Quai Saint-Michel, 75005, Paris, France;[48.8532743, 2.3457732];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_64D3Tg-6dQ9VST0Tb7eyr5Cd8xmouKF0BKfnfRaFRdDwrHnqEtP9kuZvU21PZ7eGNS2PNJfbn7HsUtgpM3FadXqSdhH9BDiol.Ht38R-g2RTPvlgLOgpKIWfIHoz.jmz3qNYTlqO1pIQyElKa5KtPHMYs.PE
Best Western Premier Elysée Secret;7.6;4;492€;5, Rue de Ponthieu, 75008, Paris, France;[48.8701324, 2.3111491];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_lHHgyqJXbuFetT5d.xspyb45J4.uRIy-S6gQ8aw1AC91odXeaZp85exChm9cEqQMxRRu94v-7RKTfsnhHRg8gMDl7txXGtZHA8s04OuIlcbu.UNqucfnqfG3fdcYmDGGkGWxNYnz3eZo8tIPxHX-zCD3yTPbPfEI6izfxOooJ2-9
Hotel Pullman Paris la Defense;8.3;5;551€;11 Avenue de l'Arche, 92081, Paris, France;;20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_A73D3D05j5KfOWIPlmpITFxYwLDZ6jfnvGRFJbBIO69wu9L0JWHWUlSDCqc47pB5kpb0oeC3AcS9hWwFaY78Du6GjwH2S.LPvhG.wuSVFDHgishEXftrZaN89pFfMXkyxePSkeLQAsmli8qGavHT51qHJdNEQCSSsqKqLRRxeV16g4cpgmUyEFlygAMny-NMQlU.hxBmORshdHma.lg4qx29SqxHcPevuVwmyjCErXCCS6Aoi3-2bnNNn-JTxrHeGYAWrIgLPXmEnAeuL3orXSc.s5p3PsM-Wg4yBQgW6uQmLtRcBjevmdmW1Sc6bv26v6rKLbT06cP0pFJiC6JMCjDvuSw=
Aparthotel Adagio Paris Centre Tour Eiffel;7.2;4;633€;14 rue du Théatre, 75015, Paris, France;[48.8499587, 2.2851697];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_MljIbHj0Tuu-v13F9Bqdf4fbohGRaQtxldaFe2tfYuL7yfM8QWc7CghkP1zFHV1.Lpnd.KbqXO19FPR5lTSCNIjZo-2czgUHyrGizTsctxU1JFG1aeZTKiy1fa9I-7Qbk8DjCyCF28VAN5MoNmq.N7dPafGSh7gBGHnzQPv5O1OahQCzWWaV9w7O5YbP1qb.IutwVs53UVTTHobCFXEWkHhxMWFh1u922rxzIkj8fcvncZI4IrnZXdZSrGrxHFWL09VPXBbW0zZbS8DcYCZHTe3SaurMmsvq4ycXofPR67eq6iuvO1brLpyjkC0PX4o-IhGbjzhyu1myuKOlvUkZHBMTa9y4
Best Western Premier 61 Paris Nation;7.4;4;389€;61, rue de la Voute, 75012, Paris, France;[48.8465151, 2.4102522];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_xgkiC0FNqyjTBlERM2LNnWIJGK9fqyKXI0fbFll8i.2kyjRWo.chRmPf98ocJQS2mzDjx1S3dNX9TcArBMOBUjWai.iu1sR80WocoAAwDRyUYESPfxiN8ynT37OZ8ePXB42haLSvFueLgbdRuzOj9ACSlxMeA43ivVVfr5m-pRU8Luw=
Le Dokhan's, a Tribute Portfolio Hotel;8.4;5;1 226€;117 Rue Lauriston, 75116, Paris, France;[48.8663034, 2.2866997];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_Llw8Qq-uLnps0mfrsPXHyR7BVFKOiBYvSapRAZJfpGXU.zzSl22l.C.KO6wVuQJ3aul8QI44BrC3-V1dNOh-SwDNpdNmInZrQa2kZ4MNryDp2cSYSv6J9X.uyTGiP52LaWGETlyKhvyNXSOI55HkAVUKW0fvlDtUKDYSKDBa9rpOGD1Yc0eVzDw=
Hotel Mercure Paris Bercy Bibliothèque;8.3;4;525€;6, boulevard Vincent Auriol, 75013, Paris, France;[48.8373946, 2.3729979];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_I8g46KFxna6e7L5WkCbDZE0cCYZ-75.XtP8NyxiswpM2ufMfbxdLnKNpphKVdyNEB0yYzbmsEDyS3l2wvaGjw0C7sUt9LGZVbLRD69V85KzL0hCU99GJMfdil7BWZYpEJ2ougOs0ZCBWNPVejrBGoRQ0KUxwJ3PFy2qbE0KcBbbxepKiDYjzQCF.uLbPonxxgy7r7mOvzHnsK-YON09ljpkKvgIA1IB89ytVMqk2mmZF8tYGcpUoSD9xIm39-2kZKpET6U5R9evPjVYw9RMebTy6J4x09EjB9u08tasKcnCQ6N83N2sgVhi6nFqPkxT9YEV3Z0EBoF2OiM9LY.BilI836W0=
Hotel Novotel Suites Paris Nord 18ème;7.2;4;381€;1 Impasse Marteau, 75018, Paris, France;[48.901704, 2.3596074];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_b6uBW1.OECommNLZq3524eyvJaDMQz2R20kRS6ik70k-k24Mg6JZ5t5w3m.cZq1388b-frC40B.R8kIrFv-dmlsI0LywYx-o0.Qa0TpR324vLFVG6F41vdqJVh6EhQnZpmLTXByTbF4dGorEIaZmpk3zVhi5XWxT8CBNu-bRzs8XFBTNHzOtFVAoFUQjYOAhftOn8V2aqjMgUPpBfi1T50UvbSIQCvsJhkE14r33rSZZ0OfWZIMS.uLVjTX0yYqWt1cZbTp28wGmnVO3XeYshPNVWV9flWONRy-y.VqnRNmgluvrq7G71CAISgRYvQnGo2HNE0bZpqnW7Ot5AguPvQn3u.Q=
Alizé Grenelle Tour Eiffel;7.5;3;419€;87 Av Emile Zola, 75015, Paris, France;[48.8467264, 2.2877372];20-04-2022;21-04-2022;2;3;3;https://www.trivago.fr/forward.php?enc=_p14xLGKzzCc0fu1ydi5grEkNPM9DX7BqvkgBjXy0ZobQuNQ2Qq7T650.NvTQVUL-KPx.ghJFa.DbphKLR0sDYNBW7aGbczahWoVQAMES7Uqvh.hJ1qVi4-pxaV41SOOo3o7wRjBLSx7eMrYCwinI56SJSHoUfU9WLHbA2msufEsgzTCM3JdSScb589dbl11aJK4lG9mR48ASVzdW8PrrR0wO54fUJvFzm.rAdX3bkonWc0od5ovyvoufOK2.L6t-DmeR791x-ZRaCLp5oeeHjx8PqAKmBxqDO5rnz4ggncdoiY4GK1YMMtwHHOEV8wE1rA==
